epoch,method,cohort,stat,value,n,checkpoint_sha256,source
12,C05,normal,p50,3.3854388181708828e-09,12879552,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C05,normal,p90,7.3136572353860174e-09,12879552,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C05,normal,p95,1.608566311261934e-08,12879552,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C05,normal,p99,6.236012239924094e-08,12879552,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C05,normal,p99.5,1.2074894584657084e-07,12879552,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C05,normal,p99.9,5.269066060122891e-07,12879552,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C05,anomaly,p10,3.4999936282531507e-09,12879552,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C05,anomaly,p50,6.553932063724233e-09,12879552,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C05,anomaly,p90,1.5792248575507983e-07,12879552,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C05,anomaly,p95,6.169175833292658e-07,12879552,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C05,anomaly,p99,0.00020075703301699986,12879552,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C05,anomaly,p99.5,0.003613567729480535,12879552,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C05,anomaly,p99.9,0.479268021106531,12879552,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C05,all,top_precision_0.001,0.6732015994409721,25759,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C05,all,top_precision_0.005,0.2434858225410727,128796,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C05,all,top_precision_0.01,0.13090131254585757,257591,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C05,all,top_precision_0.02,0.06749459414342893,515182,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C05,all,top_precision_0.05,0.02752580641404397,1287955,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
14,C0,normal,p10,3.0728151134695736e-09,12879552,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,new_CIR_checkpoint
14,C0,normal,p50,3.3201930094151066e-09,12879552,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,new_CIR_checkpoint
14,C0,normal,p90,6.307761868384887e-09,12879552,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,new_CIR_checkpoint
14,C0,normal,p95,2.3387924930062776e-08,12879552,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,new_CIR_checkpoint
14,C0,normal,p99,6.503178332195631e-07,12879552,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,new_CIR_checkpoint
14,C0,normal,p99.5,2.037980796103505e-06,12879552,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,new_CIR_checkpoint
14,C0,normal,p99.9,9.327693079285341e-06,12879552,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,new_CIR_checkpoint
14,C0,anomaly,p10,3.4375713386936013e-09,12879552,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,new_CIR_checkpoint
