epoch,method,split,category,n_images,pixel_auroc,pixel_ap,image_auroc,image_ap,checkpoint_sha256,source
12,C0,seen_categories,fryum,8,0.9959782682125574,0.17778755912410169,1.0,1.0,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C0,seen_categories,macaroni1,8,0.9995405777866023,0.44452876821002024,1.0,1.0,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C0,seen_categories,pcb1,8,0.8469575762535028,0.1641088582933527,0.875,0.8875,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C0,seen_categories,pcb2,8,0.9043167705546964,0.06609222549833382,1.0,1.0,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C0,seen_categories,pcb4,8,0.99217709734966,0.41638049209760425,1.0,1.0,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C05,heldout_categories,__macro__,32,0.9925291315683412,0.41208376856486195,0.98828125,0.9891493055555556,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C05,heldout_categories,cashew,8,0.9997672890131921,0.8788158285456159,1.0,1.0,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C05,heldout_categories,macaroni2,8,0.9448240641732372,0.3950324228912505,0.9375,0.95,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C05,heldout_categories,pcb3,8,0.996394797690216,0.5465602175999158,1.0,1.0,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C05,heldout_categories,pipe_fryum,8,0.9931605382808397,0.38326422558575346,1.0,1.0,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C05,seen_categories,__macro__,64,0.9555218367811655,0.563267561514244,0.9375,0.9557351224861799,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C05,seen_categories,candle,8,0.9990469424805258,0.5896368239753215,1.0,1.0,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C05,seen_categories,capsules,8,0.9996941835303956,0.9371280692570678,1.0,1.0,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C05,seen_categories,chewinggum,8,0.9988900025953494,0.8748050796443518,1.0,1.0,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C05,seen_categories,fryum,8,0.9959935237906686,0.17775000049868864,1.0,1.0,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C05,seen_categories,macaroni1,8,0.9995410088959393,0.4444833061943946,1.0,1.0,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C05,seen_categories,pcb1,8,0.8518272061850573,0.1641069528087238,0.875,0.8875,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C05,seen_categories,pcb2,8,0.9045883522311294,0.06611929369856268,1.0,1.0,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C05,seen_categories,pcb4,8,0.9921738156728344,0.41646295577185355,1.0,1.0,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
14,C0,heldout_categories,__macro__,32,0.9897456078773589,0.4089533671389216,0.98828125,0.9901315789473684,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,new_CIR_checkpoint
14,C0,heldout_categories,cashew,8,0.9997861451930536,0.8759457435823413,1.0,1.0,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,new_CIR_checkpoint
14,C0,heldout_categories,macaroni2,8,0.9021055553965124,0.3359544968763933,0.875,0.9166666666666666,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,new_CIR_checkpoint
14,C0,heldout_categories,pcb3,8,0.995945307810797,0.5334796057206103,1.0,1.0,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,new_CIR_checkpoint
14,C0,heldout_categories,pipe_fryum,8,0.9946719402164372,0.46944841227155154,1.0,1.0,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,new_CIR_checkpoint
14,C0,seen_categories,__macro__,64,0.9538120043828983,0.5655600860497138,0.9775390625,0.9824307377339762,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,new_CIR_checkpoint
14,C0,seen_categories,candle,8,0.998710532799783,0.5157165414273831,1.0,1.0,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,new_CIR_checkpoint
14,C0,seen_categories,capsules,8,0.9996966231493423,0.9378294659345127,1.0,1.0,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,new_CIR_checkpoint
14,C0,seen_categories,chewinggum,8,0.9985651521120257,0.8764912583174908,1.0,1.0,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,new_CIR_checkpoint
14,C0,seen_categories,fryum,8,0.9961375721295818,0.21504524402469555,1.0,1.0,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,new_CIR_checkpoint
14,C0,seen_categories,macaroni1,8,0.999460648739641,0.37299096619458794,1.0,1.0,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,new_CIR_checkpoint
14,C0,seen_categories,pcb1,8,0.8504056343153632,0.18412051083228254,0.9375,0.95,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,new_CIR_checkpoint
14,C0,seen_categories,pcb2,8,0.8457810284118586,0.07729166458260538,1.0,1.0,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,new_CIR_checkpoint
14,C0,seen_categories,pcb4,8,0.9940906120816528,0.4725133285638466,1.0,1.0,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,new_CIR_checkpoint
14,C05,heldout_categories,__macro__,32,0.9897097251919085,0.4090747262377565,0.98828125,0.9901315789473684,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,new_CIR_checkpoint
14,C05,heldout_categories,cashew,8,0.9997854957610856,0.8756608769015612,1.0,1.0,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,new_CIR_checkpoint
14,C05,heldout_categories,macaroni2,8,0.9018940242132173,0.33554086015179085,0.875,0.9166666666666666,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,new_CIR_checkpoint
14,C05,heldout_categories,pcb3,8,0.995950880735171,0.5335702773588308,1.0,1.0,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,new_CIR_checkpoint
14,C05,heldout_categories,pipe_fryum,8,0.9946181593848937,0.469572162957979,1.0,1.0,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,new_CIR_checkpoint
14,C05,seen_categories,__macro__,64,0.9541238694910991,0.5655208189573764,0.9775390625,0.9824307377339762,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,new_CIR_checkpoint
14,C05,seen_categories,candle,8,0.9987091556107891,0.5155355876620537,1.0,1.0,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,new_CIR_checkpoint
14,C05,seen_categories,capsules,8,0.9996968818789062,0.9378899056083987,1.0,1.0,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,new_CIR_checkpoint
14,C05,seen_categories,chewinggum,8,0.99856374819066,0.8765545818568512,1.0,1.0,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,new_CIR_checkpoint
14,C05,seen_categories,fryum,8,0.996143229916559,0.2147807357227572,1.0,1.0,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,new_CIR_checkpoint
14,C05,seen_categories,macaroni1,8,0.999460549217592,0.37382644620063993,1.0,1.0,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,new_CIR_checkpoint
14,C05,seen_categories,pcb1,8,0.8585254769475066,0.18408648293976476,0.9375,0.95,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,new_CIR_checkpoint
14,C05,seen_categories,pcb2,8,0.8456562757906502,0.07726658118729703,1.0,1.0,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,new_CIR_checkpoint
14,C05,seen_categories,pcb4,8,0.994087577719854,0.4725635211620355,1.0,1.0,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,new_CIR_checkpoint
