threshold,coverage,opposite_sign_rate,opposite_sign_errors,acted_patches
0.503344464302063,0.2391770599011142,0.14609463619014254,103422,707911
0.5066777229309082,0.23088893829199353,0.149277122537973,102013,683380
0.5100109815597534,0.22279779091539972,0.15259799342464425,100628,659432
0.5133442401885986,0.21482320633506974,0.15615676541963328,99289,635829
0.5166774988174438,0.20720979749156862,0.1598056400264147,98008,613295
0.5200107574462891,0.19981532398713686,0.16357377043636467,96739,591409
0.5233440160751343,0.19264755667485872,0.16754297660094636,95532,570194
0.5266772747039795,0.1856152724967886,0.17165532054315774,94304,549380
0.5300105333328247,0.17877894896171267,0.17580403140154136,93026,529146
0.5333437919616699,0.17221595673729584,0.1802123122257078,91858,509721
0.5366770505905152,0.16579993499512463,0.1848670656632656,90720,490731
0.5400103092193603,0.15958764474903187,0.1896626187693715,89586,472344
0.5433435678482056,0.15358787044163447,0.19469583313168465,88506,454586
0.5466768264770507,0.14785500804452226,0.19990036972885028,87480,437618
0.550010085105896,0.14233770235470364,0.20521353563358083,86454,421288
0.5533433437347413,0.1369889903904955,0.2107523115891451,85451,405457
0.5566766023635864,0.13180684497283243,0.21651854946823917,84468,390119
0.5600098609924317,0.126793969007135,0.22238210199263486,83456,375282
0.5633431196212768,0.12198414881116083,0.22843349600881882,82475,361046
0.5666763782501221,0.11737468147948935,0.23458346646402017,81495,347403
0.5700096368789673,0.11297874367604598,0.24103447450895954,80600,334392
0.5733428955078125,0.10877167138886767,0.24750885258122632,79683,321940
0.5766761541366577,0.10474197726991687,0.2541764377622874,78798,310013
0.5800094127655029,0.10089945935134324,0.26077216715778195,77877,298640
0.5833426713943481,0.09718499157707099,0.26761018752216265,76977,287646
0.5866759300231934,0.09366884948803593,0.27442026554705506,76080,277239
0.5900091886520387,0.09028785267003134,0.2817327266195665,75288,267232
0.5933424472808838,0.08704639334436569,0.2889907544694494,74455,257638
0.596675705909729,0.08401947713646091,0.296088531802042,73631,248679
0.6000089645385742,0.08110979945117505,0.3034444550896208,72847,240067
0.6033422231674195,0.07834337575318148,0.3107396530086812,72054,231879
0.6066754817962647,0.07576108748696693,0.31769207442159153,71238,224236
0.6100087404251099,0.07328522612168886,0.32486123148984825,70465,216908
0.613341999053955,0.07090768294108545,0.33216118472776135,69711,209871
0.6166752576828003,0.06867609665319493,0.3393189220036799,68972,203266
0.6200085163116456,0.06658269640493307,0.3461714111736946,68220,197070
0.6233417749404908,0.06460923758471075,0.35272369776550627,67451,191229
0.626675033569336,0.06275538232935038,0.3588956724919512,66662,185742
0.6300082921981811,0.0610008588481974,0.3652692620839772,65949,180549
0.6333415508270264,0.05937877773265427,0.3711734984181897,65233,175748
0.6366748094558716,0.0577800091763639,0.3770582869439117,64483,171016
0.6400080680847169,0.05631233153297308,0.38252375923970433,63756,166672
0.643341326713562,0.05488958969219989,0.3880685210604391,63046,162461
0.6466745853424072,0.05353070399198859,0.3932996295104109,62314,158439
0.6500078439712524,0.052283651003555,0.39821516271615787,61623,154748
0.6533411026000977,0.05114403850559062,0.40272832369942196,60963,151375
0.656674361228943,0.05002706284052385,0.40726283016701675,60303,148069
0.6600076198577881,0.04896515887340199,0.41142376109186757,59626,144926
0.6633408784866333,0.04799650514329115,0.4153063163896691,58998,142059
0.6666741371154785,0.04703190577131123,0.41901813166288326,58329,139204
0.6700073957443238,0.04612744604493986,0.42270759629963306,57711,136527
0.673340654373169,0.045300019123055854,0.42599829949730755,57117,134078
0.6766739130020142,0.0444945533077143,0.428857806733792,56478,131694
0.6800071716308593,0.04373571261087825,0.4315323527594092,55861,129448
0.6833404302597046,0.042985318493481604,0.43418456774112413,55240,127227
0.6866736888885498,0.042270062146552885,0.43641595396051475,54600,125110
0.6900069475173951,0.041630149288223645,0.4387011427087391,54055,123216
0.6933402061462403,0.041011183946904124,0.44023100243854213,53437,121384
0.6966734647750854,0.040398638005958554,0.44176263475257377,52822,119571
0.7000067234039307,0.039789470696788745,0.4431933971876911,52194,117768
0.7033399820327759,0.03922490132705899,0.44460235837274004,51617,116097
0.7066732406616212,0.03869648331732988,0.44575799114665643,51054,114533
0.7100064992904663,0.038181917697881394,0.44694274842934256,50509,113010
0.7133397579193115,0.037649445330021375,0.44836405405890484,49963,111434
0.7166730165481567,0.037153124322162,0.4494793798026645,49427,109965
0.720006275177002,0.03668788672663963,0.45012340221755626,48878,108588
0.7233395338058473,0.036195282213733596,0.4508354335853636,48298,107130
0.7266727924346924,0.035735112565874874,0.4518379850238257,47790,105768
0.7300060510635376,0.035286430266053735,0.452307545001915,47239,104440
0.7333393096923828,0.03485464112511141,0.4526957600666912,46701,103162
0.7366725683212281,0.03443906941669274,0.45311580269199075,46187,101932
0.7400058269500733,0.03404951317294743,0.4536064060965082,45714,100779
0.7433390855789185,0.03365015889705241,0.4538690924425435,45204,99597
0.7466723442077636,0.03326195410601741,0.45427027466276615,44722,98448
0.7500056028366089,0.03287003282002907,0.4542081243318806,44189,97288
0.7533388614654541,0.03249804546151772,0.4541570066641022,43684,96187
0.7566721200942994,0.032136869724688814,0.4543724636766963,43219,95118
0.7600053787231446,0.03177772116692536,0.4546276115039073,42760,94055
0.7633386373519897,0.03142769491495646,0.4545630462593664,42283,93019
0.766671895980835,0.031072262852146343,0.45432600824208685,41783,91967
0.7700051546096802,0.030742508390832014,0.4543086678902309,41338,90991
0.7733384132385255,0.03041782187718133,0.4545262690214373,40921,90030
0.7766716718673706,0.030093135363530643,0.45460261145853215,40491,89069
0.7800049304962158,0.02979176140913271,0.45426811980448417,40056,88177
0.783338189125061,0.029485319507071138,0.45381001489629885,39604,87270
0.7866714477539063,0.029189013500336848,0.453867790214485,39211,86393
0.7900047063827516,0.028890680314537103,0.4535259034031108,38781,85510
0.7933379650115967,0.028605861655840403,0.45303364947382097,38357,84667
0.7966712236404419,0.0283352332506019,0.4527937423985882,37974,83866
0.8000044822692871,0.028058523308167032,0.4525148409936542,37580,83047
0.8033377408981324,0.0277713396072273,0.4521211236419821,37163,82197
0.8066709995269776,0.027524699487596706,0.45160617182417423,36791,81467
0.8100042581558228,0.027260152619554574,0.4513162460958802,36414,80684
0.8133375167846679,0.027004728057307,0.4505680112100891,36013,79928
0.8166707754135132,0.02677531895973279,0.4499362767984454,35657,79249
0.8200040340423584,0.026534084650943417,0.4490481950722608,35266,78535
0.8233372926712037,0.026286430941780094,0.4482661114110177,34876,77802
0.8266705513000489,0.026053305349252546,0.44749195974686173,34507,77112
0.830003809928894,0.02582423411485591,0.4468037784232148,34151,76434
0.8333370685577393,0.025592797838216243,0.4459728841304836,33782,75749
0.8366703271865845,0.02538028189952084,0.44544728434504793,33462,75120
0.8400035858154297,0.02516607664493756,0.44460704024917436,33117,74486
0.8433368444442749,0.024933288915587586,0.4435139639822757,32730,73797
0.8466701030731202,0.024717732208294,0.44276165611886437,32392,73159
0.8500033617019653,0.02449271533202828,0.4420150911122453,32043,72493
0.8533366203308106,0.024285267340996522,0.4411302327522642,31708,71879
0.8566698789596557,0.024069372770525357,0.4406934306569343,31395,71240
0.860003137588501,0.023862262642671172,0.43971852124541605,31056,70627
0.8633363962173463,0.02364265157724667,0.4388156108435629,30707,69977
0.8666696548461914,0.023428446322663388,0.43792452013901906,30367,69343
0.8700029134750367,0.023220998331631628,0.43670066493037873,30014,68729
0.8733361721038818,0.023006117350693193,0.4358744658041208,29680,68093
0.8766694307327271,0.022783803379848082,0.4351301253058501,29343,67435
0.8800026893615723,0.022564868040778733,0.43424618563492895,29002,66787
0.8833359479904175,0.02235606859703667,0.43307288911726033,28656,66169
0.8866692066192627,0.022136795394789743,0.43231074481074483,28325,65520
0.8900024652481079,0.02191549501347736,0.4309257689046481,27952,64865
0.8933357238769531,0.021693856768987402,0.4296126711208709,27585,64209
0.8966689825057984,0.021474921429918054,0.42851748713833954,27237,63561
0.9000022411346436,0.021254296774960824,0.4274178164939276,26888,62908
0.9033354997634888,0.021024211951031463,0.42624584183714465,26524,62227
