epoch,method,cohort,stat,value,n
14,P0,normal,p95,7.040957816784034e-09,12879552
14,P0,normal,p99,1.7724328671420153e-08,12879552
14,P0,normal,p99.5,2.6897153571070432e-08,12879552
14,P0,normal,p99.9,1.185845211750755e-07,12879552
14,P0,anomaly,p10,2.7872890662195005e-09,12879552
14,P0,anomaly,p50,4.456250479734081e-09,12879552
14,P0,anomaly,p90,8.059263478799039e-08,12879552
14,P0,anomaly,p95,1.0019706223829345e-06,12879552
14,P0,anomaly,p99,0.00041842681122944035,12879552
14,P0,anomaly,p99.5,0.004492158256471111,12879552
14,P0,anomaly,p99.9,0.38200528433912145,12879552
14,P0,all,top_precision_0.001,0.634846073217128,25759
14,P0,all,top_precision_0.005,0.22177707382216838,128796
14,P0,all,top_precision_0.01,0.1254003439561165,257591
14,P0,all,top_precision_0.02,0.06565446774149718,515182
14,P0,all,top_precision_0.05,0.027151569736520297,1287955
14,P05,normal,p10,2.5929991487316784e-09,12879552
14,P05,normal,p50,2.801445075917286e-09,12879552
14,P05,normal,p90,5.161321592339618e-09,12879552
14,P05,normal,p95,7.2345049950683915e-09,12879552
14,P05,normal,p99,1.8260642775658198e-08,12879552
14,P05,normal,p99.5,2.764136712407506e-08,12879552
14,P05,normal,p99.9,1.2033501270990886e-07,12879552
14,P05,anomaly,p10,2.87122903230852e-09,12879552
14,P05,anomaly,p50,4.567481948214436e-09,12879552
14,P05,anomaly,p90,8.183975666042903e-08,12879552
14,P05,anomaly,p95,1.0096755659105825e-06,12879552
14,P05,anomaly,p99,0.0004198536206968138,12879552
14,P05,anomaly,p99.5,0.004502874405588757,12879552
14,P05,anomaly,p99.9,0.38264652177683184,12879552
14,P05,all,top_precision_0.001,0.634846073217128,25759
14,P05,all,top_precision_0.005,0.2217926022547284,128796
14,P05,all,top_precision_0.01,0.1254158724489598,257591
14,P05,all,top_precision_0.02,0.065658349864708,515182
14,P05,all,top_precision_0.05,0.027151569736520297,1287955
14,C0,normal,p10,2.3847723795711318e-09,12879552
14,C0,normal,p50,2.611129312768412e-09,12879552
14,C0,normal,p90,4.7383004186940525e-09,12879552
14,C0,normal,p95,7.48753770096755e-09,12879552
14,C0,normal,p99,2.8188822653874037e-08,12879552
14,C0,normal,p99.5,4.421318918090812e-08,12879552
14,C0,normal,p99.9,8.831570871590975e-08,12879552
14,C0,anomaly,p10,3.065690590275949e-09,12879552
14,C0,anomaly,p50,8.30947577412644e-09,12879552
14,C0,anomaly,p90,3.663401059839091e-07,12879552
14,C0,anomaly,p95,2.629463324410608e-06,12879552
14,C0,anomaly,p99,0.000223267468682028,12879552
14,C0,anomaly,p99.5,0.003959849283564785,12879552
14,C0,anomaly,p99.9,0.497574015498109,12879552
14,C0,all,top_precision_0.001,0.6344578593889514,25759
14,C0,all,top_precision_0.005,0.243734277462033,128796
14,C0,all,top_precision_0.01,0.13171655842013114,257591
14,C0,all,top_precision_0.02,0.06776634276818677,515182
14,C0,all,top_precision_0.05,0.027527359263328298,1287955
14,C05,normal,p10,2.4804851506132763e-09,12879552
14,C05,normal,p50,2.70157451964792e-09,12879552
14,C05,normal,p90,4.8695953935862235e-09,12879552
14,C05,normal,p95,7.696170678528325e-09,12879552
14,C05,normal,p99,2.8710058135317264e-08,12879552
14,C05,normal,p99.5,4.4891225030596336e-08,12879552
14,C05,normal,p99.9,8.958733736363523e-08,12879552
14,C05,anomaly,p10,3.1469147288021304e-09,12879552
14,C05,anomaly,p50,8.480383506537237e-09,12879552
14,C05,anomaly,p90,3.704749360622378e-07,12879552
14,C05,anomaly,p95,2.652775003753044e-06,12879552
14,C05,anomaly,p99,0.00022390682584955376,12879552
14,C05,anomaly,p99.5,0.003967650705017036,12879552
14,C05,anomaly,p99.9,0.49837239584319476,12879552
14,C05,all,top_precision_0.001,0.6344190380061338,25759
14,C05,all,top_precision_0.005,0.24378086275971303,128796
14,C05,all,top_precision_0.01,0.13171267629692032,257591
14,C05,all,top_precision_0.02,0.06776634276818677,515182
14,C05,all,top_precision_0.05,0.02752891211261263,1287955
16,P0,normal,p10,2.5099253786464715e-09,12879552
16,P0,normal,p50,2.711330937543721e-09,12879552
16,P0,normal,p90,4.950952536830755e-09,12879552
16,P0,normal,p95,6.915007677577023e-09,12879552
16,P0,normal,p99,1.8263620180647476e-08,12879552
16,P0,normal,p99.5,2.754272250271579e-08,12879552
16,P0,normal,p99.9,6.89994117237783e-08,12879552
16,P0,anomaly,p10,2.7997842710902892e-09,12879552
16,P0,anomaly,p50,4.8771244820500215e-09,12879552
16,P0,anomaly,p90,6.359249482557061e-08,12879552
16,P0,anomaly,p95,5.526822690171653e-07,12879552
16,P0,anomaly,p99,0.0007892788853496339,12879552
16,P0,anomaly,p99.5,0.007355138580314764,12879552
16,P0,anomaly,p99.9,0.49197043016542347,12879552
16,P0,all,top_precision_0.001,0.6196669125354245,25759
16,P0,all,top_precision_0.005,0.2092922140439144,128796
16,P0,all,top_precision_0.01,0.1212814112294296,257591
16,P0,all,top_precision_0.02,0.06541377610242594,515182
16,P0,all,top_precision_0.05,0.027462139593386416,1287955
16,P05,normal,p10,2.5865678487946298e-09,12879552
16,P05,normal,p50,2.80609757652428e-09,12879552
16,P05,normal,p90,5.074271225424809e-09,12879552
16,P05,normal,p95,7.0764141213430776e-09,12879552
16,P05,normal,p99,1.8785756239481104e-08,12879552
16,P05,normal,p99.5,2.8399304863313502e-08,12879552
16,P05,normal,p99.9,7.088154107748299e-08,12879552
16,P05,anomaly,p10,2.883852490143113e-09,12879552
16,P05,anomaly,p50,4.996097313636483e-09,12879552
16,P05,anomaly,p90,6.487803148047538e-08,12879552
16,P05,anomaly,p95,5.587237524196074e-07,12879552
16,P05,anomaly,p99,0.0007930724811740226,12879552
16,P05,anomaly,p99.5,0.0073847273061982055,12879552
16,P05,anomaly,p99.9,0.4924562154411699,12879552
16,P05,all,top_precision_0.001,0.6197445553010599,25759
16,P05,all,top_precision_0.005,0.20926115717879437,128796
16,P05,all,top_precision_0.01,0.1212814112294296,257591
16,P05,all,top_precision_0.02,0.06541183504082053,515182
16,P05,all,top_precision_0.05,0.027462139593386416,1287955
16,C0,normal,p10,2.3737312115912346e-09,12879552
16,C0,normal,p50,2.568162571492394e-09,12879552
16,C0,normal,p90,5.309642059359021e-09,12879552
16,C0,normal,p95,8.962230069187171e-09,12879552
16,C0,normal,p99,9.944725476884775e-08,12879552
16,C0,normal,p99.5,4.197734737941789e-07,12879552
16,C0,normal,p99.9,3.781399764920662e-05,12879552
16,C0,anomaly,p10,2.924710917895368e-09,12879552
16,C0,anomaly,p50,8.379202220964999e-09,12879552
16,C0,anomaly,p90,9.21011803711736e-07,12879552
16,C0,anomaly,p95,7.570786056021445e-06,12879552
16,C0,anomaly,p99,0.002697833038400894,12879552
16,C0,anomaly,p99.5,0.01923509546555548,12879552
16,C0,anomaly,p99.9,0.6483744705319129,12879552
16,C0,all,top_precision_0.001,0.6147754183003998,25759
16,C0,all,top_precision_0.005,0.22047268548712692,128796
16,C0,all,top_precision_0.01,0.13176702602187187,257591
16,C0,all,top_precision_0.02,0.06807303050184206,515182
16,C0,all,top_precision_0.05,0.02803669382858873,1287955
16,C05,normal,p10,2.478442118203361e-09,12879552
16,C05,normal,p50,2.6835127453495033e-09,12879552
16,C05,normal,p90,5.442237327457633e-09,12879552
16,C05,normal,p95,9.167941072973917e-09,12879552
16,C05,normal,p99,1.0051919439035837e-07,12879552
16,C05,normal,p99.5,4.2559669665817936e-07,12879552
16,C05,normal,p99.9,3.799683122632248e-05,12879552
16,C05,anomaly,p10,3.025585115778995e-09,12879552
16,C05,anomaly,p50,8.589188915664181e-09,12879552
16,C05,anomaly,p90,9.346373985863465e-07,12879552
16,C05,anomaly,p95,7.626146270922618e-06,12879552
16,C05,anomaly,p99,0.0027048242418095904,12879552
16,C05,anomaly,p99.5,0.01925058804452412,12879552
16,C05,anomaly,p99.9,0.6488592856526342,12879552
16,C05,all,top_precision_0.001,0.6149695252144881,25759
16,C05,all,top_precision_0.005,0.22051150656852697,128796
16,C05,all,top_precision_0.01,0.13177479026829353,257591
16,C05,all,top_precision_0.02,0.06808273580986914,515182
16,C05,all,top_precision_0.05,0.02803669382858873,1287955
18,P0,normal,p10,2.432819057318625e-09,12879552
18,P0,normal,p50,2.5845510176480957e-09,12879552
18,P0,normal,p90,5.551268600356711e-09,12879552
18,P0,normal,p95,8.433540088503833e-09,12879552
18,P0,normal,p99,2.3435975382568596e-08,12879552
18,P0,normal,p99.5,3.392434649640542e-08,12879552
18,P0,normal,p99.9,6.912782855294847e-08,12879552
18,P0,anomaly,p10,2.6783326667612073e-09,12879552
18,P0,anomaly,p50,3.911054147209825e-09,12879552
18,P0,anomaly,p90,3.7978178824005226e-08,12879552
18,P0,anomaly,p95,3.1458403810802183e-07,12879552
18,P0,anomaly,p99,8.856392749294254e-05,12879552
18,P0,anomaly,p99.5,0.0029837871948256867,12879552
18,P0,anomaly,p99.9,0.52584600573778,12879552
18,P0,all,top_precision_0.001,0.6029737179238325,25759
18,P0,all,top_precision_0.005,0.24110220814311004,128796
18,P0,all,top_precision_0.01,0.12815665143580326,257591
18,P0,all,top_precision_0.02,0.06671234631644739,515182
18,P0,all,top_precision_0.05,0.027790567217022333,1287955
18,P05,normal,p10,2.5108399803741577e-09,12879552
18,P05,normal,p50,2.6802542407722285e-09,12879552
18,P05,normal,p90,5.682285753039196e-09,12879552
18,P05,normal,p95,8.63304943088393e-09,12879552
18,P05,normal,p99,2.417493176309907e-08,12879552
18,P05,normal,p99.5,3.51887297966868e-08,12879552
18,P05,normal,p99.9,7.141988879765951e-08,12879552
18,P05,anomaly,p10,2.7710049810281134e-09,12879552
18,P05,anomaly,p50,4.014982124544986e-09,12879552
18,P05,anomaly,p90,3.869407159129426e-08,12879552
18,P05,anomaly,p95,3.178124529767929e-07,12879552
18,P05,anomaly,p99,8.907404531782974e-05,12879552
18,P05,anomaly,p99.5,0.0029957104614003523,12879552
18,P05,anomaly,p99.9,0.526236381649827,12879552
18,P05,all,top_precision_0.001,0.6029737179238325,25759
18,P05,all,top_precision_0.005,0.24109444392683002,128796
18,P05,all,top_precision_0.01,0.12819547266791154,257591
18,P05,all,top_precision_0.02,0.0667278748092907,515182
18,P05,all,top_precision_0.05,0.02778979079238017,1287955
18,C0,normal,p10,2.3904236368110787e-09,12879552
18,C0,normal,p50,2.648538055538552e-09,12879552
18,C0,normal,p90,5.591426877060712e-09,12879552
18,C0,normal,p95,9.608881201827998e-09,12879552
18,C0,normal,p99,1.7872572072974546e-07,12879552
18,C0,normal,p99.5,4.380917681601194e-07,12879552
18,C0,normal,p99.9,2.1182800066979787e-06,12879552
18,C0,anomaly,p10,2.9564277692628593e-09,12879552
18,C0,anomaly,p50,1.0367735114868992e-08,12879552
18,C0,anomaly,p90,8.620603182407652e-07,12879552
18,C0,anomaly,p95,1.0590180818326182e-05,12879552
