epoch,component,parameter_count,l2_distance,normalized_l2,cosine_flattened,relative_update_magnitude,max_abs_delta,common_initialization_reference
10,soft_prompt,6144,0.9053102135658264,0.7538015934438265,0.7206429839134216,0.7415512647141335,0.052706606686115265,UNAVAILABLE_NO_INIT_CHECKPOINT
10,soft_prompt:ctx_abnormal,3072,0.7239348292350769,0.8387780785560608,0.6542710065841675,0.8247048258781433,0.052706606686115265,UNAVAILABLE_NO_INIT_CHECKPOINT
10,soft_prompt:ctx_normal,3072,0.5436037182807922,0.6509072780609131,0.7916081547737122,0.6406959295272827,0.04084501042962074,UNAVAILABLE_NO_INIT_CHECKPOINT
12,image_adapter,14015247,174.5089874267578,0.7393268870494495,0.7136697769165039,0.7786526894433133,0.8763239979743958,UNAVAILABLE_NO_INIT_CHECKPOINT
12,image_adapter:det_layer_norms,4608,3.789314031600952,0.08251430839300156,0.9966776967048645,0.08170489966869354,0.3061123490333557,UNAVAILABLE_NO_INIT_CHECKPOINT
12,image_adapter:det_proj,1379328,62.11897659301758,1.1205438375473022,0.37181776762008667,1.121212363243103,0.5424412488937378,UNAVAILABLE_NO_INIT_CHECKPOINT
12,image_adapter:dfg_raw_gamma,3,0.0,0.0,0.0,0.0,0.0,UNAVAILABLE_NO_INIT_CHECKPOINT
12,image_adapter:dfg_ss2d_branches,3550476,20.917728424072266,0.2342638224363327,0.9735051989555359,0.22876626253128052,0.06226259469985962,UNAVAILABLE_NO_INIT_CHECKPOINT
12,image_adapter:lora_adapters,6514176,121.25279998779297,0.7983088493347168,0.6649209856987,0.843515932559967,0.4647945761680603,UNAVAILABLE_NO_INIT_CHECKPOINT
12,image_adapter:m_i_w,3072,4.305290699005127,0.3935801088809967,0.9256301522254944,0.38071927428245544,0.3907303512096405,UNAVAILABLE_NO_INIT_CHECKPOINT
12,image_adapter:seg_layer_norms,4608,2.622220277786255,0.05543648451566696,0.9984696507453918,0.05530864745378494,0.23517245054244995,UNAVAILABLE_NO_INIT_CHECKPOINT
12,image_adapter:seg_proj,1379328,53.55501937866211,1.0028961896896362,0.4877673089504242,1.0218597650527954,0.34682416915893555,UNAVAILABLE_NO_INIT_CHECKPOINT
12,image_adapter:vision_text_k,589824,60.96242904663086,0.8214340209960938,0.6334889531135559,0.9033921360969543,0.8763239979743958,UNAVAILABLE_NO_INIT_CHECKPOINT
12,image_adapter:vision_text_q,589824,69.53372955322266,0.7420232892036438,0.6890056133270264,0.8748734593391418,0.6825146675109863,UNAVAILABLE_NO_INIT_CHECKPOINT
12,text_adapter,80640,6.796309947967529,0.08059381517160316,0.9967626333236694,0.08041514606653126,0.4052565097808838,UNAVAILABLE_NO_INIT_CHECKPOINT
12,text_adapter:layer_norms,4608,4.658892631530762,0.0971638411283493,0.9953158497810364,0.09667669236660004,0.4052565097808838,UNAVAILABLE_NO_INIT_CHECKPOINT
