domain,epoch,inference,scope,dataset,class_name,prompt_config,score_rule,pixel_auroc,pixel_ap,image_auroc,image_ap,sample_count,pixel_count,dataset_count,image_dataset_count,valid
,15,,dataset,Liver,Liver,current_shared,cls_only,95.69509259051175,4.931221115872411,64.99599814414978,57.28016495704651,1493,400607732,,,True
,15,,dataset,Retina,Retina,current_shared,cls_only,93.02996477984698,48.18168528127178,78.89092564582825,78.82505655288696,1805,484324820,,,True
,15,,dataset,Colon_clinicDB,Colon_clinicDB,current_shared,cls_only,85.97060066227932,43.076752207758325,,,612,164214288,,,True
,15,,dataset,Colon_colonDB,Colon_colonDB,current_shared,cls_only,80.92990438338234,25.486485088318283,,,380,101963120,,,True
,15,,dataset,Colon_Kvasir,Colon_Kvasir,current_shared,cls_only,84.03387037028605,53.54070918304568,,,1000,268324000,,,True
,16,,dataset,Brain,Brain,current_shared,cls_only,94.78303994762425,32.13066387710177,83.75919461250305,95.04446387290955,3715,996823660,,,True
,16,,dataset,Liver,Liver,current_shared,cls_only,95.73839430945044,4.783977280836342,64.74134922027588,57.29324817657471,1493,400607732,,,True
,16,,dataset,Retina,Retina,current_shared,cls_only,93.17114854046856,47.964704253804,77.93024778366089,78.05373668670654,1805,484324820,,,True
,16,,dataset,Colon_clinicDB,Colon_clinicDB,current_shared,cls_only,85.65953147312287,41.33229254215194,,,612,164214288,,,True
,16,,dataset,Colon_colonDB,Colon_colonDB,current_shared,cls_only,80.71437343994839,25.143493097077517,,,380,101963120,,,True
,16,,dataset,Colon_Kvasir,Colon_Kvasir,current_shared,cls_only,83.93128993047225,52.55153018338725,,,1000,268324000,,,True
,17,,dataset,Brain,Brain,current_shared,cls_only,95.22680980552718,34.55337524715992,83.95136594772339,95.13810276985168,3715,996823660,,,True
,17,,dataset,Liver,Liver,current_shared,cls_only,95.935469062691,5.27202748780813,62.15341091156006,54.688262939453125,1493,400607732,,,True
,17,,dataset,Retina,Retina,current_shared,cls_only,94.5437234098469,53.52838522795946,77.31923460960388,77.83598303794861,1805,484324820,,,True
,17,,dataset,Colon_clinicDB,Colon_clinicDB,current_shared,cls_only,86.29292871739084,44.196470317928544,,,612,164214288,,,True
,17,,dataset,Colon_colonDB,Colon_colonDB,current_shared,cls_only,81.91276778828566,28.094150888012305,,,380,101963120,,,True
,17,,dataset,Colon_Kvasir,Colon_Kvasir,current_shared,cls_only,84.49660770306707,54.858477543417386,,,1000,268324000,,,True
,18,,dataset,Brain,Brain,current_shared,cls_only,95.032576933278,32.80133531627078,83.43737125396729,94.91989016532898,3715,996823660,,,True
,18,,dataset,Liver,Liver,current_shared,cls_only,96.1082935964974,5.361682954188296,62.19078302383423,54.859066009521484,1493,400607732,,,True
,18,,dataset,Retina,Retina,current_shared,cls_only,94.78072050563159,52.961694767106934,77.40373611450195,77.58580446243286,1805,484324820,,,True
,18,,dataset,Colon_clinicDB,Colon_clinicDB,current_shared,cls_only,86.03390163920317,42.78264125483148,,,612,164214288,,,True
,18,,dataset,Colon_colonDB,Colon_colonDB,current_shared,cls_only,81.9673539027459,27.77674079542126,,,380,101963120,,,True
,18,,dataset,Colon_Kvasir,Colon_Kvasir,current_shared,cls_only,84.00472491383323,53.49819132194198,,,1000,268324000,,,True
,19,,dataset,Brain,Brain,current_shared,cls_only,94.76026069473296,30.39886126666759,83.40572118759155,94.88790035247803,3715,996823660,,,True
,19,,dataset,Liver,Liver,current_shared,cls_only,96.15615320617201,5.383943154648984,63.407450914382935,55.02317547798157,1493,400607732,,,True
,19,,dataset,Retina,Retina,current_shared,cls_only,94.18779619121396,51.70440512069578,78.01399230957031,77.97787189483643,1805,484324820,,,True
,19,,dataset,Colon_clinicDB,Colon_clinicDB,current_shared,cls_only,85.95073045331017,42.556920438754474,,,612,164214288,,,True
,19,,dataset,Colon_colonDB,Colon_colonDB,current_shared,cls_only,81.64565659185405,27.431268905898033,,,380,101963120,,,True
,19,,dataset,Colon_Kvasir,Colon_Kvasir,current_shared,cls_only,84.44940380498923,54.7070603119628,,,1000,268324000,,,True
,20,,dataset,Brain,Brain,current_shared,cls_only,94.65743155688965,30.10126118721606,83.47442150115967,94.94476318359375,3715,996823660,,,True
,20,,dataset,Liver,Liver,current_shared,cls_only,96.06569981600892,5.326182219252189,61.83891296386719,53.81112098693848,1493,400607732,,,True
,20,,dataset,Retina,Retina,current_shared,cls_only,94.41482270627787,52.79632740967794,76.38352513313293,77.24480628967285,1805,484324820,,,True
,20,,dataset,Colon_clinicDB,Colon_clinicDB,current_shared,cls_only,85.19509648271178,41.20791311223513,,,612,164214288,,,True
,20,,dataset,Colon_colonDB,Colon_colonDB,current_shared,cls_only,80.9442645554617,26.607300517618903,,,380,101963120,,,True
,20,,dataset,Colon_Kvasir,Colon_Kvasir,current_shared,cls_only,83.93188436831775,54.09887584609243,,,1000,268324000,,,True
Medical,1,equal,macro,ALL_MEDICAL_MACRO,,,,86.58791443421678,31.97126692495428,70.71446379025777,72.24679787953694,,,6,3,True
Medical,2,equal,macro,ALL_MEDICAL_MACRO,,,,86.76508254119476,34.13257423228927,72.53372470537822,73.49761923154195,,,6,3,True
Medical,3,equal,macro,ALL_MEDICAL_MACRO,,,,86.50814396098956,33.381688276339595,73.7739344437917,76.4311710993449,,,6,3,True
Medical,4,equal,macro,ALL_MEDICAL_MACRO,,,,88.87120157796085,37.399317344397865,76.77968541781108,77.80615488688152,,,6,3,True
Medical,5,equal,macro,ALL_MEDICAL_MACRO,,,,88.16317863195319,37.581121395317744,75.778063138326,77.12296843528748,,,6,3,True
Medical,6,equal,macro,ALL_MEDICAL_MACRO,,,,88.1617492355726,38.141614904804015,74.61545666058858,75.94162821769714,,,6,3,True
Medical,7,equal,macro,ALL_MEDICAL_MACRO,,,,87.78786555666058,36.637835704047994,75.29468139012654,76.06641054153442,,,6,3,True
Medical,8,equal,macro,ALL_MEDICAL_MACRO,,,,88.20497945222729,36.65066151937423,75.10533332824707,76.58864657084148,,,6,3,True
Medical,9,equal,macro,ALL_MEDICAL_MACRO,,,,86.75215611032702,33.80922026710197,74.98718897501628,76.84791286786397,,,6,3,True
Medical,10,equal,macro,ALL_MEDICAL_MACRO,,,,87.81846050707533,33.87476592291002,74.9479075272878,76.62000854810078,,,6,3,True
Medical,11,equal,macro,ALL_MEDICAL_MACRO,,,,88.5251348080978,35.19356819899249,75.79281528790791,77.48263478279114,,,6,3,True
Medical,12,equal,macro,ALL_MEDICAL_MACRO,,,,88.85092516152095,34.91081952343194,75.16592741012573,77.15385953585307,,,6,3,True
Medical,13,equal,macro,ALL_MEDICAL_MACRO,,,,88.92751581907106,33.88190144453829,74.93803302447002,76.78415775299072,,,6,3,True
Medical,14,equal,macro,ALL_MEDICAL_MACRO,,,,88.7668339588418,34.45476820910667,74.98621940612793,76.63217186927795,,,6,3,True
Medical,15,equal,macro,ALL_MEDICAL_MACRO,,,,89.14736866254971,34.74910069173085,75.75354973475139,76.98346773783366,,,6,3,True
Medical,16,equal,macro,ALL_MEDICAL_MACRO,,,,88.99962960684779,33.984443539059804,75.47693053881328,76.79714957873027,,,6,3,True
Medical,17,equal,macro,ALL_MEDICAL_MACRO,,,,89.73471774780144,36.75048111871429,74.4746704896291,75.8874495824178,,,6,3,True
Medical,18,equal,macro,ALL_MEDICAL_MACRO,,,,89.65459524853155,35.86371440162679,74.34396346410115,75.78825354576111,,,6,3,True
Medical,19,equal,macro,ALL_MEDICAL_MACRO,,,,89.5250001570454,35.36374319977128,74.9423881371816,75.96298257509868,,,6,3,True
Medical,20,equal,macro,ALL_MEDICAL_MACRO,,,,89.20153324761128,35.022976715348776,73.8989531993866,75.33356348673503,,,6,3,True
