class,candidate,matched_pairs_n,matched_pair_win_rate,spearman_vs_C_AP,spearman_vs_R_pos,triage_budget_k,triage_actual_fraction,selected_positive_count,selected_positive_fraction,positive_C_AP_mass_capture,positive_R_pos_mass_capture,negative_R_neg_mass_capture,oracle_triage_delta_AP,oracle_triage_delta_AP_pp,fraction_A1_positive_oracle_recovered,extreme_C_AP_recall_top1pct,extreme_C_AP_recall_top5pct,extreme_C_AP_recall_top10pct,shifted_matched_pair_win_rate,shifted_positive_C_AP_capture,corr_D_rank,corr_D_logit,corr_G_rescue
pcb2,E_local,12527,0.32681408158377906,-0.3568902453199996,-0.34966267302008774,1073296,0.02,181,0.00016863940609114354,0.0018223293346079014,0.0005319877430615804,0.03960794383242493,0.003860083211608023,0.3860083211608023,0.022039849047986112,0.0,0.0,0.0,0.33343977009659137,0.004026149478053988,0.25072063479152434,0.43514115524534125,-0.19335989973788792
pcb2,E_multistage,12527,0.6131555839386924,-0.7382540655000088,-0.7809005009490858,1073296,0.02,1888,0.0017590673961330333,0.02120718110207742,0.033536641253855304,0.03864599528738862,0.033546537622792444,3.3546537622792445,0.19154007433454562,0.0,0.0,0.003246753246753247,0.4272371677177297,0.005031827205904436,0.172182823002899,0.795145460809569,-0.5095678947042267
pcb2,E_xstage,12527,0.56980921210186,-0.7287151457022379,-0.8132923901332886,1073296,0.02,953,0.0008879190828997779,0.010037199712135167,0.005823448376489682,0.04307960921914448,0.017726361560102682,1.7726361560102681,0.1012118940285579,0.0,0.0,0.0,0.32569649556956976,0.005088352758398144,0.16076831355369237,0.9939292604516272,-0.34327922164519925
pcb2,E_global,12527,0.31739442803544343,-0.3624786730905288,-0.3739460358933622,1073296,0.02,589,0.000548776851865655,0.0058511272190035785,0.0006116365393008436,0.0409872498184155,0.011215920076719815,1.1215920076719814,0.06403934109031935,0.0,0.0,0.0,0.3336792528139219,0.003464169266366764,0.3381611037266769,0.47058057639114237,-0.14247199204819586
pcb3,E_local,13061,0.4410075798177781,-0.7054341892833359,-0.7054466724651409,1078663,0.020000009641570178,454,0.0004208914183577262,0.006316314931803571,0.005242510216498938,0.031163862786095738,0.004386563487815687,0.4386563487815687,0.03607132672396535,0.0,0.0,0.0,0.3029630196769007,0.013967330180074915,-0.027186579435504163,0.7627724895752634,-0.3860700190220141
pcb3,E_multistage,13061,0.32654467498660134,-0.7155738076436332,-0.715632801851357,1078663,0.020000009641570178,386,0.000357850412964939,0.005135665482945319,0.005045121081258491,0.031332798646331,0.003596464168063862,0.3596464168063862,0.02957422921555962,0.0,0.0,0.0,0.3461450118673915,0.011376842493524155,-0.05689866956088284,0.6968326403370766,-0.33823574474337664
pcb3,E_xstage,13061,0.6331061940127096,-0.9525449476610769,-0.9525906994881241,1078663,0.020000009641570178,1789,0.0016585346859955333,0.024164842689441995,0.007599324874149634,0.0393695968674485,0.01677946913918188,1.677946913918188,0.13797992785361793,0.0,0.0,0.0,0.41229614884005816,0.00704711003247963,-0.064416593022377,0.987925067458717,-0.2813771859734594
pcb3,E_global,13061,0.5736926728428144,-0.8116996685819977,-0.8116976807883629,1078663,0.020000009641570178,1438,0.0013331318493357055,0.0192644228309122,0.005162340478206626,0.03640449475655948,0.013423352991462967,1.3423352991462967,0.11038211411532252,0.0,0.0,0.0,0.39506929025342624,0.015219397972800919,0.012476741808441317,0.8743678862544341,-0.23927659405509405
pcb4,E_local,10858,0.37658869036655,-0.2080352606805857,-0.208035960513157,1078663,0.020000009641570178,1950,0.0018077935369990442,0.008893219913537488,0.020481686123098232,0.01679326603630221,0.008430235969466848,0.8430235969466848,0.18760982143434432,0.0,0.0349839445665033,0.031744690439975215,0.3806410020261558,0.004973214061888493,-0.22640037503723215,-0.26694898114329313,-0.07954752644515262
pcb4,E_multistage,10858,0.3752072204825935,-0.46919313969868515,-0.46919391644735264,1078663,0.020000009641570178,2251,0.002086842693222999,0.010116829140768694,0.022176368971499032,0.021086937889186246,0.009587461003206232,0.9587461003206232,0.21336316721559287,0.0,0.03650498563461214,0.03315306179933525,0.3409467673604715,0.0018750619921440279,-0.34189155667114846,-0.09125096820461431,-0.0777294814960923
pcb4,E_xstage,10858,0.4013630502855038,-0.6770998333180525,-0.6770998023256107,1078663,0.020000009641570178,5692,0.005276902980819774,0.026444689241411017,0.06846893667735314,0.037744075955010836,0.023960259379344873,2.3960259379344873,0.5332211340181209,0.007040270346381301,0.11824685933186863,0.11512027491408934,0.3712470068152514,0.0006593664842161897,-0.10271129051731873,0.9726768688908158,0.23521873845243227
pcb4,E_global,10858,0.32298765886903663,-0.41655208249021214,-0.41655454322437674,1078663,0.020000009641570178,1898,0.0017595857093457364,0.008336829693045361,0.014961473367128084,0.021127644136683423,0.007997910658418872,0.7997910658418872,0.17798868215650893,0.0,0.015830094079206804,0.022336769759450172,0.38773254743046603,0.0022036608980797985,-0.18852599296237546,0.22116418267610446,0.08726578560239755
pipe_fryum,E_local,70334,0.3907925043364518,-0.5687419638534367,-0.5687419764348718,804972,0.02,9859,0.0122476309734997,0.0250872386156283,0.010514629973807048,0.058723510922077914,0.017056909555509536,1.7056909555509536,0.11668944968468338,0.0,0.0,0.005172996955890253,0.49112804617965705,0.03426472115242837,0.0435087193619241,0.4613210165288054,-0.2147472836418038
pipe_fryum,E_multistage,70334,0.562174766115961,-0.7968392486863908,-0.7968392669402283,804972,0.02,23513,0.029209711642144073,0.0634345627687709,0.02644208641813993,0.061353948977161725,0.0418360087931382,4.18360087931382,0.2862078166732144,0.0,0.0,0.008873679393565587,0.5301276765149145,0.05907973003049702,0.03997828356749328,0.7041511129003725,-0.47697989321406503
pipe_fryum,E_xstage,70334,0.4823271817328746,-0.8570394160265048,-0.8570393958728086,804972,0.02,25708,0.031936514561997184,0.06952012169871727,0.024988202049859843,0.0707458317921148,0.04572244884007115,4.572244884007115,0.31279566653155133,0.0,0.0,0.0008953263962117745,0.4821707851110416,0.05930416460644391,-0.018332617691857504,0.978637511690842,-0.34114075954095874
pipe_fryum,E_global,70334,0.4491142264054369,-0.35735007825325943,-0.3573500767882127,804972,0.02,10982,0.013642710553907466,0.030347558544303436,0.019550934069167063,0.05650775336297403,0.020332406387396307,2.0332406387396307,0.13909772484806618,0.0,0.002825195973100951,0.016215355842502138,0.4823840532317229,0.041985969770241625,0.1133388629525236,0.22799496675273212,0.09138312158588292
