K_per_anomalous_sample,anchor_loss,anomaly_sample_count,arm,attempt_index,batch,epoch,existing_task_loss,file_names,global_step_after,global_step_before,hard_background_max,hard_background_mean,image_sha256,labels,mask_sha256,nonfinite_grad_skip,nonfinite_loss_skip,optimizer_state_finite,paired_control_skip,parameters_finite,safe_anchor_effective_ratio,safe_anchor_max_family_ratio,status,successful_step,thbr_enabled,thbr_grad_norm,thbr_raw,thbr_weighted,total_loss,violation_fraction,weak_anomaly_mean,weak_anomaly_min
"[613, 371]",0.3054547905921936,2,A_THBR_R1_CANDIDATE,384,23,12,0.9709094166755676,"[""capsules/Data/Images/Normal/320.JPG"",""pcb1/Data/Images/Anomaly/088.JPG"",""candle/Data/Images/Normal/0784.JPG"",""fryum/Data/Images/Anomaly/095.JPG"",""pcb2/Data/Images/Normal/0011.JPG"",""macaroni2/Data/Images/Normal/0417.JPG""]",3991,3990,0.9999743700027466,0.4853385469632485,4b7dada05e5534cd58fd8ed5af742ac0006669739f584ed1bd3befaba5ce6c3b,"[0,1,0,1,0,0]",8ca5debe5265f1225d375df67ff7bc6866171bcf428018101e12e8ce525b29d2,0,0,1,0,1,3.5482271062038025e-06,0.013450637356284004,success,1,True,,0.804973840713501,0.15071631968021393,1.1216257810592651,0.8181076645851135,0.30317410897724173,1.4993862151868598e-08
"[659, 10, 4099]",0.30547672510147095,3,A_THBR_R1_CANDIDATE,385,24,12,0.9138984084129333,"[""capsules/Data/Images/Normal/046.JPG"",""pipe_fryum/Data/Images/Normal/012.JPG"",""pcb2/Data/Images/Anomaly/078.JPG"",""candle/Data/Images/Anomaly/047.JPG"",""pipe_fryum/Data/Images/Normal/484.JPG"",""capsules/Data/Images/Anomaly/067.JPG""]",3992,3991,0.9999645948410034,0.306840763737758,90920e86c6c3b67de1ced1cd85e095ffde7c2f9026df4d2e52a0b6eb1dd1a7c7,"[0,0,1,1,0,1]",4d377c29bdb3f75c535632869b61552a9855932645f6d0fd5adc83e2a47dc2f3,0,0,1,0,1,9.531630553081112e-06,0.06831838918095655,success,1,True,,0.6225863099098206,0.11656765639781952,1.030466079711914,0.4688057601451874,0.5430549134810766,8.953242591758226e-09
[306],0.3055011034011841,1,A_THBR_R1_CANDIDATE,386,25,12,1.0076379776000977,"[""cashew/Data/Images/Normal/309.JPG"",""macaroni2/Data/Images/Normal/0755.JPG"",""macaroni2/Data/Images/Anomaly/057.JPG"",""candle/Data/Images/Normal/0306.JPG"",""pcb1/Data/Images/Normal/0469.JPG"",""candle/Data/Images/Normal/0286.JPG""]",3993,3992,2.7969301299890503e-05,1.102080545933859e-06,e3c3f3eefc7eca311e7375963dd4253a70a5da704eb4e5e9a8552743454c6623,"[0,0,1,0,0,0]",43eb717bb06365a398bf4c6cdef18a039b28c000a08e42694c989bcc92f6bc5a,0,0,1,0,1,8.262899434148395e-06,0.09999995262161003,success,1,True,,0.6931429505348206,0.12977807223796844,1.1374160051345825,0.3202614486217499,9.566032531438395e-06,6.118430917467776e-08
"[1620, 546, 77]",0.30551877617836,3,A_THBR_R1_CANDIDATE,387,26,12,0.9079615473747253,"[""macaroni2/Data/Images/Normal/0674.JPG"",""pcb2/Data/Images/Anomaly/045.JPG"",""candle/Data/Images/Normal/0024.JPG"",""pcb2/Data/Images/Normal/0659.JPG"",""cashew/Data/Images/Anomaly/060.JPG"",""macaroni1/Data/Images/Anomaly/033.JPG""]",3994,3993,0.9923785924911499,0.28901425796313635,40a89d7618e25a9cb18eec298858eb388b5c44d3b635c477ed879bfa2d662fa3,"[0,1,0,0,1,1]",9cdd3d0c220a8bac54e7bd17183310fa17c35395f985c50e55de8e943e319268,0,0,1,0,1,1.8465874893556548e-05,0.05870239272537358,success,1,True,,0.6136611700057983,0.11489658802747726,1.0228581428527832,0.4958930015563965,0.5252738238311553,5.473007824718934e-09
"[484, 5229, 4, 437]",0.3055393695831299,4,A_THBR_R1_CANDIDATE,388,27,12,1.3521208763122559,"[""pcb3/Data/Images/Normal/0333.JPG"",""pcb1/Data/Images/Anomaly/074.JPG"",""pcb1/Data/Images/Anomaly/056.JPG"",""candle/Data/Images/Anomaly/059.JPG"",""capsules/Data/Images/Normal/423.JPG"",""cashew/Data/Images/Anomaly/015.JPG""]",3995,3994,0.9992341995239258,0.050224789100553835,636f691ba0a155dd8ea9a4faacd8be0b9d72d71bd4034347662840d1a29d8ca7,"[0,1,1,1,0,1]",09fef8e0f3d04eca281eac402021ea4819b7f87927fecfcab187d54facfe3307,0,0,1,0,1,7.87852875305437e-06,0.09999993763913198,success,1,True,,0.6530362963676453,0.12226884812116623,1.474389672279358,0.673111692070961,0.1752117027851554,3.8207752517394056e-09
"[34, 415, 41438, 283]",0.3055627942085266,4,A_THBR_R1_CANDIDATE,389,28,12,1.4172006845474243,"[""pcb3/Data/Images/Normal/0100.JPG"",""macaroni2/Data/Images/Anomaly/078.JPG"",""candle/Data/Images/Anomaly/035.JPG"",""pipe_fryum/Data/Images/Anomaly/099.JPG"",""pcb1/Data/Images/Anomaly/003.JPG"",""fryum/Data/Images/Normal/484.JPG""]",3996,3995,0.9967648983001709,0.14668556254649268,133a524d28a8ee8b796598986e4140aa72de73a9498fead4ff2af7c822ddf612,"[0,1,1,1,1,0]",b6403c5e03b61a6b876a4a5c4ae8683a9cf4b8ea6abd6d973af2fafe5068880a,0,0,1,0,1,2.466779552921614e-06,0.017289560543070685,success,1,True,,0.7129353284835815,0.13348382711410522,1.5506844520568848,0.7016211971640587,0.14578761284577757,5.061704833053682e-09
"[389, 597, 4103]",0.30557936429977417,3,A_THBR_R1_CANDIDATE,390,29,12,0.9800342321395874,"[""macaroni2/Data/Images/Normal/0423.JPG"",""candle/Data/Images/Normal/0484.JPG"",""cashew/Data/Images/Anomaly/003.JPG"",""cashew/Data/Images/Anomaly/086.JPG"",""capsules/Data/Images/Anomaly/082.JPG"",""chewinggum/Data/Images/Normal/276.JPG""]",3997,3996,0.99903404712677,0.10628553728262584,88fd0d69c0a523c1f2fed78e6b7308777841c6d853f1d1b249fba5f08c7dd956,"[0,0,1,1,1,0]",a3730a4c0689c97b8614793e06be4333b978c7508674bd8cc0c65185b990d15e,0,0,1,0,1,1.805637160333556e-05,0.05311720980504152,success,1,True,,0.6273012161254883,0.11745043098926544,1.0974847078323364,0.4574669102827708,0.3155113294099768,5.141415293508089e-09
"[14291, 4466, 34140, 769, 388]",0.3055812418460846,5,A_THBR_R1_CANDIDATE,391,30,12,1.486348271369934,"[""pcb1/Data/Images/Anomaly/059.JPG"",""capsules/Data/Images/Anomaly/079.JPG"",""pcb3/Data/Images/Normal/0208.JPG"",""pcb1/Data/Images/Anomaly/043.JPG"",""pcb3/Data/Images/Anomaly/076.JPG"",""pcb3/Data/Images/Anomaly/097.JPG""]",3998,3997,0.999972939491272,0.12971062943217043,0e6717c2ea4749df0d9d100fb1d79cb6e0d2ca6670a4a9460410da47812ed500,"[1,1,0,1,1,1]",4a2883d4dd0769d99b2ba6af4750a261b913f0046808f865a1ff7183b9b15f8e,0,0,1,0,1,3.5492401384096065e-06,0.09999995262127646,success,1,True,,0.6201453804969788,0.11611063778400421,1.6024589538574219,0.40231031477451323,0.3552870710380375,4.099093509069007e-09
"[8754, 84, 4450, 5551]",0.3055916428565979,4,A_THBR_R1_CANDIDATE,392,31,12,1.1599363088607788,"[""pcb4/Data/Images/Anomaly/052.JPG"",""macaroni1/Data/Images/Anomaly/024.JPG"",""pcb3/Data/Images/Normal/0674.JPG"",""pcb4/Data/Images/Anomaly/009.JPG"",""pcb4/Data/Images/Anomaly/001.JPG"",""pcb2/Data/Images/Normal/0730.JPG""]",3999,3998,0.9999903440475464,0.25054712386079814,07355c1d9a00928dc100477d51c98132832783a5fc1d9de186cfab4ade5121bd,"[1,1,0,1,1,0]",6f689483a690a9807086c77749897ea356ffdedeaa4c5491cf0f39098b6dcbd8,0,0,1,0,1,4.236604765371827e-06,0.030566826834563125,success,1,True,,0.6207674741744995,0.11622711271047592,1.2761634588241577,0.4417240396142006,0.46054673561826576,3.533639603148231e-09
"[687, 4579]",0.305597186088562,2,A_THBR_R1_CANDIDATE,393,32,12,1.1872656345367432,"[""pcb3/Data/Images/Anomaly/032.JPG"",""macaroni2/Data/Images/Normal/0964.JPG"",""candle/Data/Images/Normal/0659.JPG"",""pcb3/Data/Images/Normal/0615.JPG"",""pcb2/Data/Images/Normal/0654.JPG"",""pcb3/Data/Images/Anomaly/048.JPG""]",4000,3999,0.95743727684021,0.036726512134549694,c250e7aab0eedebcc5d7beb0e10d5df21de72370393449459d54b4de34960679,"[1,0,0,0,0,1]",55f356945ac1385b68343d67bdc7e595d5ca9b294b2ffad5dedcf6ab57450821,0,0,1,0,1,5.252692564793719e-06,0.06826597124018885,success,1,True,,0.6827918291091919,0.12784001231193542,1.315105676651001,0.7127726525068283,0.07358000003191134,3.4249207914172075e-09
