arm,category,component,count,max,mean,min,stage,std
A,candle,gap_ss2d_l1,18,1.8603363037109375,1.8595695495605469,1.858826756477356,1,0.0004235839587636292
A,candle,gap_normal,54,0.5520076155662537,0.3333333432674408,0.08144872635602951,2,0.19093665480613708
A,candle,gap_abnormal,54,0.5376265048980713,0.3333333432674408,0.055224545300006866,2,0.2016904354095459
A,candle,ss2d_normal,54,0.9999971389770508,0.3333333432674408,1.450683927599144e-26,2,0.47140246629714966
A,candle,ss2d_abnormal,54,0.999821126461029,0.3333333432674408,1.6556792087052237e-31,2,0.47127795219421387
A,candle,final_normal,54,0.596806526184082,0.333333283662796,0.07330384850502014,2,0.2113063782453537
A,candle,final_abnormal,54,0.5838459730148315,0.33333325386047363,0.04970208927989006,2,0.21738862991333008
A,candle,entropy_normal,18,0.8808106184005737,0.8712751269340515,0.865449070930481,2,0.0047539337538182735
A,candle,entropy_abnormal,18,0.8461770415306091,0.836880087852478,0.8312458992004395,2,0.004618129692971706
A,candle,routing_l1,18,0.07312463223934174,0.07223441451787949,0.07077354192733765,2,0.0007219059043563902
A,candle,gap_ss2d_l1,18,0.9155751466751099,0.9033874869346619,0.8959790468215942,2,0.006059359293431044
A,candle,gap_normal,54,0.5788062214851379,0.3333333432674408,0.05914224311709404,3,0.20211848616600037
A,candle,gap_abnormal,54,0.5522661209106445,0.3333333432674408,0.032358553260564804,3,0.21254362165927887
A,candle,ss2d_normal,54,1.0,0.3333333432674408,1.8076682161521376e-29,3,0.471404492855072
A,candle,ss2d_abnormal,54,1.0,0.3333333432674408,1.6145098147828855e-36,3,0.471404492855072
A,candle,final_normal,54,0.5209255814552307,0.3333333432674408,0.1532280147075653,3,0.13989019393920898
A,candle,final_abnormal,54,0.4970394968986511,0.3333333432674408,0.12912270426750183,3,0.1459488719701767
A,candle,entropy_normal,18,1.0168204307556152,1.0066765546798706,0.9925311803817749,3,0.009268085472285748
A,candle,entropy_abnormal,18,0.9988768100738525,0.9906642436981201,0.9796178340911865,3,0.007447085343301296
