P,arm,background_count,background_max,background_mean,background_median,background_p900,background_p950,background_p990,background_p995,background_top_0.001_mass_fraction,background_top_0.005_mass_fraction,background_top_0.01_mass_fraction,background_top_0.05_mass_fraction,boundary_count,boundary_max,boundary_mean,boundary_median,boundary_p950,boundary_p990,category,far_background_count,far_background_max,far_background_mean,far_background_median,far_background_p900,far_background_p950,far_background_p990,far_background_p995,file_name,interior_count,interior_max,interior_mean,interior_median,interior_p950,interior_p990,near_background_count,near_background_max,near_background_mean,near_background_median,near_background_p900,near_background_p950,near_background_p990,near_background_p995,positive_count,positive_max,positive_mean,positive_median,positive_p950,positive_p990,top_P_P,top_P_anomaly_boundary_fraction,top_P_anomaly_fraction,top_P_far_background_fraction,top_P_near_background_fraction
181,A_LATE_CONVLORA_FREEZE_R1,268143,0.00017743678472470492,7.646453080532984e-08,5.964145621817352e-09,9.382918442213395e-09,1.6726859897175927e-08,6.629520044043602e-07,2.0500258415268036e-06,0.5358034249495838,0.784542656793769,0.863259724381997,0.9210179193423076,147,0.0001621928095119074,6.75846431662723e-05,5.4333650041371584e-05,0.00013446628872770816,0.00015448910970008,capsules,267921,4.702220030594617e-05,4.214994375476386e-08,5.964145621817352e-09,9.382918442213395e-09,1.633938317979755e-08,5.692723448191828e-07,1.6797313264760305e-06,capsules/Data/Images/Anomaly/024.JPG,34,9.206085815094411e-05,6.572527597788448e-05,6.453986497945152e-05,8.919523170334286e-05,9.194242797093466e-05,222,0.00017743678472470492,4.148907028384447e-05,2.6740756766230334e-05,8.839711445034482e-05,0.00010306201038474682,0.00014637620857683938,0.00016763431245635753,181,0.0001621928095119074,6.72353697717685e-05,5.7837671192828566e-05,0.0001334200205747038,0.0001542839949252084,181,0.44751381215469616,0.6077348066298343,0.0,0.39226519337016574
676,A_LATE_CONVLORA_FREEZE_R1,267648,0.1211128756403923,5.610194987397049e-05,9.456509353356068e-09,1.4419455851566454e-08,2.8453348122070565e-08,2.7969301299890503e-05,0.0005058283515973292,0.7306364687185449,0.9850611924015619,0.9985351217337409,0.9998294656295295,353,0.2223622053861618,0.06574720696403669,0.039601683616638184,0.1807421863079071,0.20140786767005922,pipe_fryum,267209,0.062273990362882614,1.8073443218441188e-05,9.456509353356068e-09,1.43072416136647e-08,2.7150374393158927e-08,1.3627094194816025e-05,0.0001713081874186173,pipe_fryum/Data/Images/Anomaly/014.JPG,323,0.4876924753189087,0.19150949490397892,0.17681370675563812,0.3980057209730148,0.4578865420818329,439,0.1211128756403923,0.023203161710505703,0.010714440606534481,0.06920133680105209,0.0872134394943714,0.1080816575884819,0.10889106892049312,676,0.4876924753189087,0.125837767621731,0.09713589027523994,0.3441954106092453,0.43729519098997116,676,0.3180473372781065,0.7928994082840237,0.042899408284023666,0.16420118343195267
246,A_LATE_CONVLORA_FREEZE_R1,268078,0.014036569744348526,5.895727067150368e-06,1.2142398198022875e-08,2.286290801123414e-08,7.097504095554541e-08,2.4921962449298007e-06,3.867972918669693e-05,0.7240419286782985,0.9851628218023842,0.9950357264311417,0.9978266045301362,189,0.015603532083332539,0.006299856448085318,0.005587386433035135,0.012916452437639234,0.014565056785941128,pipe_fryum,267779,0.009002837352454662,2.2837814840478326e-06,1.2142398198022875e-08,2.268498633384297e-08,6.772485505734949e-08,1.859292751760222e-06,1.7716865022520266e-05,pipe_fryum/Data/Images/Anomaly/021.JPG,57,0.015276945196092129,0.009791904055562458,0.009994227439165115,0.014871112443506716,0.015211377628147602,299,0.014036569744348526,0.003240688958831745,0.002420194214209914,0.007176935393363237,0.009489770047366586,0.013459917474538083,0.013823787374421952,246,0.015603532083332539,0.007108989430305631,0.006673480616882443,0.01365666906349361,0.015224256971850992,246,0.46747967479674796,0.6829268292682927,0.044715447154471545,0.27235772357723576
1355,A_LATE_CONVLORA_FREEZE_R1,266969,0.48673561215400696,0.00010592797523528548,1.022492401858699e-08,1.8954017022565495e-08,7.704267801500464e-08,6.868318450869992e-05,0.0006512682302854955,0.8292506838188046,0.9863321445204549,0.9977209775691821,0.9998949705618884,544,0.5634680390357971,0.08331114469979184,0.017094542272388935,0.46185796558856984,0.5295633649826054,pipe_fryum,266327,0.14366760849952698,2.750205599342094e-05,1.022492401858699e-08,1.8806513679692216e-08,6.513035799571298e-08,3.25717956002336e-05,0.0002234163403045386,pipe_fryum/Data/Images/Anomaly/019.JPG,811,0.6785932183265686,0.24506842821272196,0.18025092780590057,0.5836038589477539,0.645980370044708,642,0.48673561215400696,0.03264010210907961,0.0036704184021800756,0.10491672605276108,0.18723584040999375,0.3584108796715742,0.39438258603215104,1355,0.6785932183265686,0.18012675866952343,0.08042966574430466,0.5554019272327422,0.6325837719440461,1355,0.2132841328413284,0.7623616236162362,0.08634686346863468,0.15129151291512916
741,A_LATE_CONVLORA_FREEZE_R1,267583,0.26293647289276123,0.00024088482052691732,1.022492401858699e-08,2.3042222352387398e-08,1.2702189167157485e-07,8.49307594762603e-05,0.0018386653391644359,0.6540689222870725,0.9880811502040483,0.9991058987101851,0.9999499913341307,741,0.2989005148410797,0.04736128821118295,0.008445627987384796,0.21866938471794128,0.2745170176029206,pipe_fryum,265310,0.16132023930549622,3.056422698546237e-05,1.022492401858699e-08,2.0980184700647442e-08,8.105604365482577e-08,6.6175330175610725e-06,8.34962775115855e-05,pipe_fryum/Data/Images/Anomaly/084.JPG,0,nan,nan,nan,nan,nan,2273,0.26293647289276123,0.024790007861654684,0.0005517006502486765,0.10354970395565029,0.16075290441513063,0.2123944586515432,0.22945543646812383,741,0.2989005148410797,0.04736128821118295,0.008445627987384796,0.21866938471794128,0.2745170176029206,741,0.34143049932523617,0.34143049932523617,0.07557354925775979,0.582995951417004
2032,A_LATE_CONVLORA_FREEZE_R1,266292,3.206682958989404e-05,9.947917353791474e-08,4.466938818836752e-09,2.4337436954624536e-08,7.322802986209354e-08,2.50195034823264e-06,5.550802598008886e-06,0.16991093240656707,0.49394125495370206,0.6842980607510832,0.9247924576618755,875,7.766951966914348e-06,3.7925391998681693e-07,3.352623778596353e-08,2.7599042141446227e-06,5.633445780404145e-06,pcb4,265194,3.206682958989404e-05,9.794068928309016e-08,4.466938818836752e-09,2.3773662150006203e-08,7.153170145102195e-08,2.4344647044927115e-06,5.422219146566931e-06,pcb4/Data/Images/Anomaly/048.JPG,1157,4.747856110043358e-06,2.7612314482258745e-07,4.23811385985573e-08,1.812079608498609e-06,3.3073064605559926e-06,1098,1.26562872537761e-05,4.7106095265808557e-07,2.9471676654679868e-08,9.349120091428631e-07,3.3333992746520327e-06,8.665669738547875e-06,1.0053821069959683e-05,2032,7.766951966914348e-06,3.205323122776567e-07,3.7990204759807966e-08,2.0823088107135845e-06,4.5549552532975235e-06,2032,0.014763779527559055,0.018208661417322834,0.9566929133858267,0.025098425196850394
1459,A_LATE_CONVLORA_FREEZE_R1,266865,0.01578456163406372,6.369175626272541e-06,4.397685327006684e-09,2.6729447100137804e-08,1.8919853062016045e-07,5.4333650041371584e-05,0.00022576738090719411,0.5479390358156782,0.8625390637177917,0.9539973320977897,0.9985785611470627,578,0.08756384998559952,0.009523520396078232,0.003895845729857683,0.03744478151202201,0.051512090265750925,pcb4,266193,0.0025163611862808466,2.7202824238412946e-06,4.397685327006684e-09,2.611026062027122e-08,1.5321765545195376e-07,3.5081120586255565e-05,0.0001392770209349692,pcb4/Data/Images/Anomaly/041.JPG,881,0.6690289378166199,0.11708195594839128,0.0634823590517044,0.43098536133766174,0.5746468782424932,672,0.01578456163406372,0.0014517707057375535,0.00037666950083803385,0.004355998849496245,0.007202026457525775,0.011813831934705374,0.013115638643503178,1459,0.6690289378166199,0.0744714173951103,0.0204885546118021,0.3536514192819595,0.5455786752700813,1459,0.2556545579163811,0.8238519533927348,0.02467443454420836,0.1514736120630569
766,A_LATE_CONVLORA_FREEZE_R1,267558,0.024703869596123695,9.173553667350182e-06,4.163644540255973e-09,2.1987043297144737e-08,4.8024119791989506e-08,5.093705112813041e-06,9.170197881758213e-05,0.6876963694068398,0.9824734283278352,0.99767743314925,0.9992632340381399,590,0.03567855432629585,0.004916932262938367,0.001162685570307076,0.020516157615929835,0.03010964782908559,pcb4,266733,0.005159622523933649,2.6628153201487325e-06,4.163644540255973e-09,2.147771382965402e-08,4.476340009773594e-08,2.0823088107135845e-06,2.9311537218745798e-05,pcb4/Data/Images/Anomaly/058.JPG,176,0.026784729212522507,0.00495545611635275,2.668529123184271e-05,0.019554436206817627,0.02442661114037037,825,0.024703869596123695,0.0021141781252601802,0.00017952796770259738,0.0065035379491746445,0.00970854833722114,0.017252417579293248,0.019487872868776318,766,0.03567855432629585,0.004925783696621045,0.0010213535279035568,0.020395752973854542,0.029576097801327708,766,0.3668407310704961,0.47127937336814624,0.16057441253263707,0.3681462140992167
959,A_LATE_CONVLORA_FREEZE_R1,267365,0.058560825884342194,0.00011058766346993061,4.397685327006684e-09,1.5084224003203417e-07,2.868499223040999e-06,0.0007613258785568178,0.004793995209038193,0.37278137681829115,0.8759995154513851,0.9719911390634954,0.99949185587343,378,3.25717956002336e-05,8.891765173817601e-06,4.927365580442711e-06,2.8443167957448163e-05,3.159811501973309e-05,pcb4,266915,0.058560825884342194,0.00011076182630370227,4.397685327006684e-09,1.3896239181576675e-07,2.6633117613528157e-06,0.0007657963433302939,0.0048203435726463795,pcb4/Data/Images/Anomaly/093.JPG,581,2.576658698671963e-05,8.51659988025974e-06,7.127360277081607e-06,1.8486754925106652e-05,2.298952131241096e-05,450,3.0479142878903076e-05,7.283946189570796e-06,3.792732400142995e-06,2.4414480321865998e-05,2.6745979357656318e-05,2.9141492195776663e-05,2.9864431844544012e-05,959,3.25717956002336e-05,8.664475251443131e-06,6.364021828630939e-06,2.40549650698085e-05,2.98711861250922e-05,959,0.0,0.0,1.0,0.0
325,A_LATE_CONVLORA_FREEZE_R1,267999,7.380236155540842e-08,5.633804953355864e-09,5.141415293508089e-09,6.4993579407257585e-09,7.539386892574385e-09,1.4646527546346988e-08,2.396012099836753e-08,0.009465446074407904,0.032669328475244674,0.04896590270650392,0.11612381151504393,250,8.297822517988607e-08,5.8365744877164615e-08,5.792814405936042e-08,7.707335569762107e-08,8.138026217352489e-08,macaroni2,267632,6.564118137930564e-08,5.577049953843755e-09,5.141415293508089e-09,6.448779288348305e-09,7.480714714347414e-09,1.3545824906202597e-08,2.0176443626951368e-08,macaroni2/Data/Images/Anomaly/052.JPG,75,9.184851990085008e-08,7.312187231415617e-08,7.322802986209354e-08,8.71650513545319e-08,9.027404374251092e-08,367,7.380236155540842e-08,4.702196307168003e-08,4.618434346070899e-08,6.07081602765902e-08,6.447263629638654e-08,7.0610500984003e-08,7.20927317843234e-08,325,9.184851990085008e-08,6.17710050549319e-08,6.166417421127335e-08,8.297822517988607e-08,8.747878780468454e-08,325,0.46153846153846156,0.6861538461538461,0.055384615384615386,0.25846153846153846
103,A_LATE_CONVLORA_FREEZE_R1,268221,6.085040877223946e-05,5.158234127911971e-08,5.181739481940895e-09,7.778712785011521e-09,1.2047905784129398e-08,7.438119808966803e-08,5.919496288697701e-07,0.546393487564404,0.8594196402333243,0.8805178067399638,0.8984432640434619,96,0.00010071400174638256,5.886329684775168e-05,5.529976078832988e-05,9.108056292461697e-05,9.923079051077366e-05,macaroni2,268034,3.719798769452609e-05,3.0578595122305223e-08,5.181739481940895e-09,7.778712785011521e-09,1.1954147893789013e-08,6.719781708852679e-08,3.9845940790434865e-07,macaroni2/Data/Images/Anomaly/016.JPG,7,8.220189192797989e-05,6.813097466614895e-05,6.631065480178222e-05,8.04380229965318e-05,8.184911814169026e-05,187,6.085040877223946e-05,3.015702671237865e-05,2.9541426556534134e-05,4.3357982940506195e-05,4.9627694170339955e-05,5.546605782001279e-05,5.619049745291701e-05,103,0.00010071400174638256,5.94931390295845e-05,5.62776840524748e-05,9.052812529262154e-05,9.914499634760433e-05,103,0.7475728155339806,0.8155339805825242,0.0,0.18446601941747573
126,A_LATE_CONVLORA_FREEZE_R1,268198,9.098841110244393e-05,5.6399172555662537e-08,5.222380305980323e-09,7.59851825904434e-09,9.60542756445193e-09,9.971233467352887e-08,8.955908583629935e-07,0.5351203918255095,0.8609914125441449,0.8903209535984327,0.9070718572292125,113,0.00016410437820013613,6.383516156991359e-05,5.497408710652962e-05,0.00012751033063977956,0.00015357189287897193,macaroni2,268005,4.575390994432382e-05,3.466076135197583e-08,5.222380305980323e-09,7.59851825904434e-09,9.530678468649967e-09,8.428494169265832e-08,6.059872816877032e-07,macaroni2/Data/Images/Anomaly/017.JPG,13,0.00012982171028852463,8.646482176398142e-05,8.648363291285932e-05,0.00012257543712621553,0.0001283724556560628,193,9.098841110244393e-05,3.024294266812072e-05,2.4682904040673748e-05,5.6586893333587805e-05,6.352479977067557e-05,7.713523315032928e-05,8.666382404044267e-05,126,0.00016410437820013613,6.616996778041265e-05,5.9907062677666545e-05,0.00012768471060553566,0.00015162150157266296,126,0.5714285714285714,0.6746031746031746,0.007936507936507936,0.31746031746031744
35,A_LATE_CONVLORA_FREEZE_R1,268289,1.370957193103095e-06,7.549481234610858e-09,5.101404187968228e-09,8.953242591758226e-09,1.272512406558235e-08,4.271353759577323e-08,7.734421103577915e-08,0.07199599927992699,0.14661865961390638,0.18474389628370283,0.2863976254953699,35,8.680364658175677e-07,6.030807786113915e-07,5.873430382052902e-07,8.219727760661043e-07,8.600757723797868e-07,macaroni2,268163,1.0227965958620189e-06,7.290295350478427e-09,5.101404187968228e-09,8.953242591758226e-09,1.2626097500856304e-08,4.075754134191811e-08,7.265816037715922e-08,macaroni2/Data/Images/Anomaly/034.JPG,0,nan,nan,nan,nan,nan,126,1.370957193103095e-06,5.591690387473497e-07,4.547517420405711e-07,1.0368781886427314e-06,1.1657978973289573e-06,1.3128313867127872e-06,1.3511083949424574e-06,35,8.680364658175677e-07,6.030807786113915e-07,5.873430382052902e-07,8.219727760661043e-07,8.600757723797868e-07,35,0.02857142857142857,0.02857142857142857,0.2571428571428571,0.7142857142857143
9646,A_LATE_CONVLORA_FREEZE_R1,258678,1.1125607670692261e-05,2.3304583967405172e-08,5.101404187968228e-09,1.1406728006591038e-08,1.6212228004519602e-08,1.0448535903151424e-07,4.75644895914229e-07,0.3257084490801862,0.6500740879498556,0.6941334832665284,0.7494324998054023,5220,6.339210813166574e-06,1.600414924289121e-07,1.4877177711980494e-08,7.905108475370076e-07,3.419757376832422e-06,pcb2,254959,1.1125607670692261e-05,1.9744112504750355e-08,5.101404187968228e-09,1.1055779403079669e-08,1.5229980832032197e-08,7.555253489499592e-08,2.3730810028155247e-07,pcb2/Data/Images/Anomaly/044.JPG,4426,3.966986241721315e-06,3.7788457155695446e-08,1.4877177711980494e-08,6.000226804303566e-08,4.664557451405926e-07,3719,8.365331268578302e-06,2.673955341279348e-07,1.397581517181834e-08,2.798361776967798e-07,1.476578972869902e-06,6.260960090003213e-06,7.1454116414315485e-06,9646,6.339210813166574e-06,1.0394653761663169e-07,1.4877177711980494e-08,3.3695405932121503e-07,2.4354342940568902e-06,9646,0.2001866058469832,0.2963922869583247,0.5618909392494298,0.14171677379224548
461,A_LATE_CONVLORA_FREEZE_R1,267863,0.00011279297177679837,6.241416499025714e-08,5.101404187968228e-09,1.1317959902612529e-08,1.4646527546346988e-08,1.1386169518345923e-07,7.842056106710515e-07,0.5658310529820312,0.8637176361010114,0.8868142448830382,0.9078863467228032,285,0.00024729344295337796,7.468415925687641e-05,6.377049430739135e-05,0.00018800339021254336,0.00023336923797614875,pcb2,267406,4.702220030594617e-05,2.701501492511442e-08,5.101404187968228e-09,1.1317959902612529e-08,1.4532547609746871e-08,9.625642150012936e-08,3.943235356018704e-07,pcb2/Data/Images/Anomaly/063.JPG,176,0.0007138378568924963,0.00025952084198169444,0.00023367951507680118,0.0005436831415863708,0.0006755985814379528,457,0.00011279297177679837,2.07756420037639e-05,1.606160913070198e-05,4.935587348882109e-05,6.288035656325518e-05,9.146028780378401e-05,9.744639333803185e-05,461,0.0007138378568924963,0.00014525087543815183,0.00010472557187313214,0.00043393249507062137,0.0006195928668603292,461,0.4360086767895879,0.8177874186550976,0.006507592190889371,0.175704989154013
