record_type,arm,map,threshold,tpr,fpr,precision,recall,size_stratum,image_count,macro_image_pixel_auroc,macro_image_pixel_ap,positive_negative_mean_margin,p01_positive_minus_p99_negative,component_count,component_area_mean_pixels,compactness_mean,boundary_area_ratio_mean
curve,H,raw,0.04687571526665141,0.7929464452555266,0.0014854475464403931,0.7484938185515065,0.7929464452555266,,,,,,,,,,
curve,H,raw,0.03906309605554284,0.7986238134191717,0.0015499613036194966,0.7417752261917482,0.7986238134191717,,,,,,,,,,
curve,H,raw,0.03125047684443427,0.80538068992149,0.0016309077121516521,0.7335548821930222,0.80538068992149,,,,,,,,,,
curve,H,raw,0.023437857633325704,0.813509027046472,0.0017383162362487547,0.7229207138272603,0.813509027046472,,,,,,,,,,
curve,H,raw,0.015625238422217136,0.8241682391359705,0.001898388981169532,0.70763488751543,0.8241682391359705,,,,,,,,,,
curve,H,raw,0.007812619211108568,0.8402927731083031,0.0021997599935000196,0.6804755092205824,0.8402927731083031,,,,,,,,,,
curve,H,raw,0.0,1.0,1.0,0.005544195116895212,1.0,,,,,,,,,,
curve,H,final,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,
curve,H,final,0.9921873807888915,0.1274388820124125,3.504938927834571e-06,0.9950910534327423,0.1274388820124125,,,,,,,,,,
curve,H,final,0.9843747615777828,0.17539367697889394,6.588661159594068e-06,0.99330710879778,0.17539367697889394,,,,,,,,,,
curve,H,final,0.9765621423666743,0.2046240391458577,9.651582566856029e-06,0.9916106169089463,0.2046240391458577,,,,,,,,,,
curve,H,final,0.9687495231555657,0.22580441559951733,1.2275953257628305e-05,0.9903427097140176,0.22580441559951733,,,,,,,,,,
curve,H,final,0.9609369039444572,0.24265338921157026,1.4846588485115283e-05,0.9891445692428195,0.24265338921157026,,,,,,,,,,
curve,H,final,0.9531242847333485,0.2562712998468106,1.714507959209285e-05,0.9881421503337006,0.2562712998468106,,,,,,,,,,
curve,H,final,0.94531166552224,0.2679077281541807,1.928583111329745e-05,0.987252403780053,0.2679077281541807,,,,,,,,,,
curve,H,final,0.9374990463111315,0.2780626307605777,2.1509785932492183e-05,0.9863146494679819,0.2780626307605777,,,,,,,,,,
curve,H,final,0.9296864271000229,0.287108487789772,2.3667871474111393e-05,0.9854291278713017,0.287108487789772,,,,,,,,,,
curve,H,final,0.9218738078889143,0.29530740336892414,2.5725419697325852e-05,0.9846148583086607,0.29530740336892414,,,,,,,,,,
curve,H,final,0.9140611886778057,0.3028048872625789,2.766856338580387e-05,0.9838746013353309,0.3028048872625789,,,,,,,,,,
curve,H,final,0.9062485694666972,0.309719399343154,2.9518103364042983e-05,0.9831924064300963,0.309719399343154,,,,,,,,,,
curve,H,final,0.8984359502555886,0.3160910480713893,3.1421378805567395e-05,0.9824819958947161,0.3160910480713893,,,,,,,,,,
curve,H,final,0.89062333104448,0.3219792188426439,3.326918538176505e-05,0.9818035814510869,0.3219792188426439,,,,,,,,,,
curve,H,final,0.8828107118333715,0.3275623787612953,3.523486329678206e-05,0.9810710717142567,0.3275623787612953,,,,,,,,,,
curve,H,final,0.8749980926222629,0.332879392614882,3.7119071315850396e-05,0.9803909538692016,0.332879392614882,,,,,,,,,,
curve,H,final,0.8671854734111544,0.3378836226583577,3.895474407775782e-05,0.9797394701230886,0.3378836226583577,,,,,,,,,,
curve,H,final,0.8593728542000457,0.3426462691824932,4.0837218694784696e-05,0.9790699223972885,0.3426462691824932,,,,,,,,,,
curve,H,final,0.8515602349889372,0.34713655127555787,4.2617422591365366e-05,0.9784536322797645,0.34713655127555787,,,,,,,,,,
curve,H,final,0.8437476157778286,0.35152827226742456,4.441496050836064e-05,0.9778392992434071,0.35152827226742456,,,,,,,,,,
curve,H,final,0.8359349965667201,0.35580184430517375,4.607209285999756e-05,0.9773010845160756,0.35580184430517375,,,,,,,,,,
curve,H,final,0.8281223773556114,0.35989757107514614,4.783842954024654e-05,0.9767130835546173,0.35989757107514614,,,,,,,,,,
curve,H,final,0.8203097581445029,0.363836905940063,4.947822787146884e-05,0.9761884304001268,0.363836905940063,,,,,,,,,,
curve,H,final,0.8124971389333944,0.36766493205346923,5.123763094355197e-05,0.9756128348810962,0.36766493205346923,,,,,,,,,,
curve,H,final,0.8046845197222858,0.37143046358851334,5.29571657686815e-05,0.9750639704532006,0.37143046358851334,,,,,,,,,,
curve,H,final,0.7968719005111772,0.37495285701271563,5.462296513052572e-05,0.9745350373545918,0.37495285701271563,,,,,,,,,,
curve,H,final,0.7890592813000686,0.3784096466755527,5.629916490461871e-05,0.9740074426793646,0.3784096466755527,,,,,,,,,,
curve,H,final,0.7812466620889601,0.3817921268646159,5.7961497462380015e-05,0.9734911066222288,0.3817921268646159,,,,,,,,,,
curve,H,final,0.7734340428778516,0.38505459258975977,5.965849806097054e-05,0.9729608912213441,0.38505459258975977,,,,,,,,,,
curve,H,final,0.7656214236667429,0.38827290791625974,6.135029845343669e-05,0.9724393721475143,0.38827290791625974,,,,,,,,,,
curve,H,final,0.7578088044556344,0.39140167877227067,6.302303142344675e-05,0.9719289847631475,0.39140167877227067,,,,,,,,,,
curve,H,final,0.7499961852445258,0.39446266943881425,6.462642831179837e-05,0.9714521989149952,0.39446266943881425,,,,,,,,,,
curve,H,final,0.7421835660334173,0.3973560751414911,6.63060948899743e-05,0.9709388722592801,0.3973560751414911,,,,,,,,,,
curve,H,final,0.7343709468223086,0.4001863644292053,6.799442847835752e-05,0.9704253142300938,0.4001863644292053,,,,,,,,,,
