parameter_name,module_name,stage,shape,requires_grad,selected_for_freeze
image_adapter.lora_adapters.1.fusion_conv.weight,image_adapter.lora_adapters.1.fusion_conv,stage2,"[1024,2048,1,1]",true,true
image_adapter.lora_adapters.2.conv_lora_blocks.0.conv_lora_A.weight,image_adapter.lora_adapters.2.conv_lora_blocks.0.conv_lora_A,stage3,"[8,16,3,3]",true,true
image_adapter.lora_adapters.2.conv_lora_blocks.0.conv_lora_B.weight,image_adapter.lora_adapters.2.conv_lora_blocks.0.conv_lora_B,stage3,"[16,8,3,3]",true,true
image_adapter.lora_adapters.2.conv_lora_blocks.0.lora_A,image_adapter.lora_adapters.2.conv_lora_blocks.0,stage3,"[1024,16]",true,true
image_adapter.lora_adapters.2.conv_lora_blocks.0.lora_B,image_adapter.lora_adapters.2.conv_lora_blocks.0,stage3,"[16,1024]",true,true
image_adapter.lora_adapters.2.conv_lora_blocks.1.conv_lora_A.weight,image_adapter.lora_adapters.2.conv_lora_blocks.1.conv_lora_A,stage3,"[8,16,5,5]",true,true
image_adapter.lora_adapters.2.conv_lora_blocks.1.conv_lora_B.weight,image_adapter.lora_adapters.2.conv_lora_blocks.1.conv_lora_B,stage3,"[16,8,5,5]",true,true
image_adapter.lora_adapters.2.conv_lora_blocks.1.lora_A,image_adapter.lora_adapters.2.conv_lora_blocks.1,stage3,"[1024,16]",true,true
image_adapter.lora_adapters.2.conv_lora_blocks.1.lora_B,image_adapter.lora_adapters.2.conv_lora_blocks.1,stage3,"[16,1024]",true,true
image_adapter.lora_adapters.2.fusion_conv.weight,image_adapter.lora_adapters.2.fusion_conv,stage3,"[1024,2048,1,1]",true,true
image_adapter.m_i_w.0.i_w,image_adapter.m_i_w.0,stage1,"[1,1,1024]",true,false
image_adapter.m_i_w.1.i_w,image_adapter.m_i_w.1,stage2,"[1,1,1024]",true,false
image_adapter.m_i_w.2.i_w,image_adapter.m_i_w.2,stage3,"[1,1,1024]",true,false
image_adapter.seg_layer_norms.0.bias,image_adapter.seg_layer_norms.0,stage1,[768],true,false
image_adapter.seg_layer_norms.0.weight,image_adapter.seg_layer_norms.0,stage1,[768],true,false
image_adapter.seg_layer_norms.1.bias,image_adapter.seg_layer_norms.1,stage2,[768],true,false
image_adapter.seg_layer_norms.1.weight,image_adapter.seg_layer_norms.1,stage2,[768],true,false
image_adapter.seg_layer_norms.2.bias,image_adapter.seg_layer_norms.2,stage3,[768],true,false
image_adapter.seg_layer_norms.2.weight,image_adapter.seg_layer_norms.2,stage3,[768],true,false
image_adapter.seg_proj.0.fc.0.bias,image_adapter.seg_proj.0.fc.0,stage1,[256],true,false
image_adapter.seg_proj.0.fc.0.weight,image_adapter.seg_proj.0.fc.0,stage1,"[256,1024]",true,false
image_adapter.seg_proj.0.fc.2.bias,image_adapter.seg_proj.0.fc.2,stage1,[768],true,false
image_adapter.seg_proj.0.fc.2.weight,image_adapter.seg_proj.0.fc.2,stage1,"[768,256]",true,false
image_adapter.seg_proj.1.fc.0.bias,image_adapter.seg_proj.1.fc.0,stage2,[256],true,false
image_adapter.seg_proj.1.fc.0.weight,image_adapter.seg_proj.1.fc.0,stage2,"[256,1024]",true,false
image_adapter.seg_proj.1.fc.2.bias,image_adapter.seg_proj.1.fc.2,stage2,[768],true,false
image_adapter.seg_proj.1.fc.2.weight,image_adapter.seg_proj.1.fc.2,stage2,"[768,256]",true,false
image_adapter.seg_proj.2.fc.0.bias,image_adapter.seg_proj.2.fc.0,stage3,[256],true,false
image_adapter.seg_proj.2.fc.0.weight,image_adapter.seg_proj.2.fc.0,stage3,"[256,1024]",true,false
image_adapter.seg_proj.2.fc.2.bias,image_adapter.seg_proj.2.fc.2,stage3,[768],true,false
image_adapter.seg_proj.2.fc.2.weight,image_adapter.seg_proj.2.fc.2,stage3,"[768,256]",true,false
image_adapter.vision_text_k.0.weight,image_adapter.vision_text_k.0,stage1,"[256,768]",true,false
image_adapter.vision_text_k.1.weight,image_adapter.vision_text_k.1,stage2,"[256,768]",true,false
image_adapter.vision_text_k.2.weight,image_adapter.vision_text_k.2,stage3,"[256,768]",true,false
image_adapter.vision_text_q.0.weight,image_adapter.vision_text_q.0,stage1,"[256,768]",true,false
image_adapter.vision_text_q.1.weight,image_adapter.vision_text_q.1,stage2,"[256,768]",true,false
image_adapter.vision_text_q.2.weight,image_adapter.vision_text_q.2,stage3,"[256,768]",true,false
