scope,arm,map,score_space,auroc,ap,pixel_count,positive_mean,positive_median,interior_mean,interior_median,boundary_mean,boundary_median,near_p95,near_p99,far_p95,far_p99,near_gt_positive_inversion,near_gt_interior_inversion,near_p95_over_interior_p95,near_p99_over_interior_p99,near_gt_far_p95,near_gt_interior_p95,stage,near_mean,far_mean,checkpoint,resolution,bin,count,mean,median,p90,p95,p99,max,distance_spearman,distance_linear_slope,sample_seed,sample_cap,family,parameter_count,l2_delta,reference_l2,final_l2,relative_l2_delta,cosine_to_e10
distance,CANDIDATE,CANDIDATE_final_production_fused,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,>16,12652272,6.999263242148792e-06,6.529825125056732e-09,1.4946804682836046e-08,2.6691107279930256e-08,2.545966398770315e-07,0.06418943405151367,,,,,,,,,,,
distance,CANDIDATE,CANDIDATE_final_production_fused,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,ALL_OUTSIDE,200000,,,,,,,-0.3506394213765294,-1.9019959537828022e-06,1729,200000,,,,,,,
drift,CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stage1_convlora,2171392,6.529905796051025,91.68008422851562,91.95246887207031,0.07122491052446048,0.9976248145103455
drift,CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stage2_convlora,2171392,12.196882247924805,95.68140411376953,96.37378692626953,0.12747390530998226,0.9921202063560486
drift,CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stage3_convlora,2171392,10.258770942687988,75.22328186035156,75.89933776855469,0.13637760396751777,0.9912078976631165
drift,CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stage2_projection,459776,5.026772975921631,29.171920776367188,29.294536590576172,0.1723154609686836,0.9852302074432373
drift,CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stage2_dfg_q,196608,3.737868309020996,42.69768524169922,43.78410339355469,0.08754264517764855,0.9965800642967224
drift,CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stage2_dfg_k,196608,6.3911590576171875,36.50564193725586,37.8701171875,0.17507318645709624,0.9859022498130798
drift,CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stage2_ss2d,1183492,0.07086480408906937,52.071475982666016,52.04279327392578,0.0013609140657480005,1.000029444694519
drift,CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stage2_ss2d_gamma,0,,,,,
