transform,n,l1,rmse,pearson,spearman,top1_overlap,feature_cosine,routing_abnormal_l1,routing_raw_score_l1,routing_entropy_abs_delta,gap_ss2d_disagreement_abs_delta,margin_abs_delta,stage_margin_rank_preserved,anomalous_pixel_ap_delta,record_type,stage,linear_CKA,clean_effective_rank,perturbed_effective_rank,effective_rank_ratio,index,category,label,clean_margin,perturbed_margin,clean_pixel_ap,perturbed_pixel_ap,pixel_ap_delta,setting,pixel_auroc,pixel_ap
gamma,,3.182754537239961e-10,1.493940961470653e-09,0.9946754636033737,0.9872917820518585,0.9772642564293701,0.999978244304657,0.0006520311969021956,0.0016543467839558919,0.0009521842002868652,0.0007244795560836792,0.0007414917151133219,1.0,,,,,,,,9,candle,0,-1.0082555611928303,-1.0089970529079437,,,,,,
gamma,,2.126538392678865e-10,6.959689801464574e-10,0.9931749790740463,0.9797775489889778,0.9735370853522176,0.9999725222587585,0.0008224383927881718,0.004326264063517253,0.0012020717064539592,0.0009138261278470358,0.0005153020222981771,1.0,,,,,,,,10,candle,0,-1.0086678862571716,-1.0091831882794697,,,,,,
gamma,,1.994881393753704e-05,0.0005406366991110299,0.999929410103223,0.9928410057688511,0.995527394707417,0.9999691843986511,0.0008701576540867487,0.0035224358240763345,0.0012285411357879639,0.00096684197584788,0.00048348307609558105,1.0,,,,,,,,0,candle,1,-1.011217753092448,-1.0117012361685436,0.8371158566584326,0.8367250730530282,-0.0003907836054043434,,,
gamma,,7.135903133495158e-07,1.625430616171766e-05,0.9997867282180941,0.9865938827537666,0.9891912038762579,0.9998413920402527,0.0020141182467341423,0.006307388345400493,0.0028958717981974282,0.0022376875082651773,0.0013727645079294841,1.0,,,,,,,,1,candle,1,-1.0090133150418599,-1.0103860795497894,0.6083958137002626,0.6068995640670659,-0.0014962496331967223,,,
gamma,,7.859049336423603e-08,1.6767121076365636e-06,0.9964329254192685,0.9877588405638783,0.9813641446142378,0.9999701380729675,0.0008454057388007641,0.0027802189191182456,0.0012062937021255493,0.0009393617510795593,0.00039142370223999023,1.0,,,,,,,,2,candle,1,-1.01030628879865,-1.01069771250089,0.562022013237768,0.5790642393966033,0.017042226158835327,,,
gamma,,9.985579439881923e-07,2.3851292048543707e-05,0.9999008303149707,0.9852649222582345,0.9962728289228475,0.9999561309814453,0.001430892540762822,0.004661758740743001,0.0020006150007247925,0.001589857041835785,0.00015242894490559897,1.0,,,,,,,,3,candle,1,-1.0122383137543995,-1.012365072965622,0.24731700167458026,0.24618826027085292,-0.0011287414037273458,,,
saturation,,1.7542891524559978e-10,3.5662229755150813e-10,0.9876070549433646,0.9954024893628397,0.8110324263883713,0.9999842047691345,0.00031264980013171834,0.0013358592987060547,0.0004661083221435547,0.00034738828738530475,0.0001675089200337728,1.0,,,,,,,,4,candle,0,-1.0099693636099498,-1.0101368725299835,,,,,,
saturation,,4.081407796317064e-10,2.0564332944183026e-09,0.9849041113956839,0.9924620771968705,0.9362653745806933,0.9999796748161316,0.0006058714352548122,0.0022273858388264975,0.0009032934904098511,0.0006732021768887838,0.000304718812306722,1.0,,,,,,,,5,candle,0,-1.0077207485834758,-1.0079970161120098,,,,,,
saturation,,2.2721378370543206e-10,7.574057997548436e-10,0.989431952802852,0.9922223719728086,0.8975027953783079,0.9999699592590332,0.0006899754516780376,0.0026715993881225586,0.0010197659333546956,0.0007666299740473429,0.0002795755863189697,1.0,,,,,,,,9,candle,0,-1.0082555611928303,-1.0085351367791493,,,,,,
saturation,,2.0243478270899894e-10,5.144291661264381e-10,0.9811181333438926,0.9880226510598762,0.9116660454714871,0.9999772906303406,0.000559306393067042,0.0029224157333374023,0.0008260707060496012,0.0006214454770088196,0.0003538827101389567,1.0,,,,,,,,10,candle,0,-1.0086678862571716,-1.0083321034908295,,,,,,
