arm,stage,region,sample_count,anomalous_image_count,feature_norm_mean,feature_cosine_to_E1,cosine_drift_from_E1,linear_CKA_to_E1,effective_rank,covariance_trace,condition_number_nonzero,anisotropy_mean_cosine,spectrum_top1_share,spectrum_top10_share
H,2,normal_patch,2162,1200,0.9827624559402466,0.9159141778945923,0.0840858444571495,0.3799000680446625,4.6109161376953125,0.0023916661739349365,1211466240.0,0.9977499842643738,0.5153422355651855,0.9833604097366333
H,2,anomalous_patch,1002,1002,0.8221295475959778,0.22806166112422943,0.7719383239746094,0.3766494691371918,2.9322972297668457,0.49207794666290283,9994128384.0,0.34973007440567017,0.7511168122291565,0.9706382155418396
H,3,all,2162,1200,0.9721948504447937,0.8405123353004456,0.15948767960071564,0.07802832126617432,1.444729208946228,0.0856086015701294,9856562176.0,0.9043660163879395,0.912036120891571,0.9988710284233093
H,3,normal_patch,2162,1200,0.975341796875,0.844055712223053,0.1559443175792694,0.05502861365675926,1.3853713274002075,0.08174627274274826,9605364736.0,0.9108742475509644,0.9291852712631226,0.9988226294517517
H,3,anomalous_patch,1002,1002,0.938805878162384,0.26088088750839233,0.7391190528869629,0.15885600447654724,2.42071795463562,0.36804306507110596,9515673600.0,0.6006478071212769,0.7332643866539001,0.99355149269104
A,1,all,2162,1200,0.9722358584403992,0.84809809923172,0.15190188586711884,0.5582984685897827,5.513223648071289,0.003892461769282818,1673928448.0,0.9960468411445618,0.44401681423187256,0.9849875569343567
A,1,normal_patch,2162,1200,0.9747475981712341,0.848228394985199,0.15177160501480103,0.5650511980056763,5.349070072174072,0.003811893053352833,1642160640.0,0.9960813522338867,0.4482012391090393,0.9859614372253418
A,1,anomalous_patch,1002,1002,0.7929232716560364,0.48105388879776,0.51894611120224,0.5280393958091736,5.749048709869385,0.5123165249824524,9580229632.0,0.25907742977142334,0.6210746765136719,0.9102325439453125
A,2,all,2162,1200,0.9794915318489075,0.8641088604927063,0.1358911395072937,0.5794205069541931,5.28208065032959,0.0032245549373328686,1213633280.0,0.9976816177368164,0.3777327537536621,0.98745197057724
A,2,normal_patch,2162,1200,0.9847920536994934,0.8640643358230591,0.1359356939792633,0.7495753169059753,5.0762810707092285,0.0022206020075827837,930080960.0,0.9978145360946655,0.4297347068786621,0.9839571714401245
A,2,anomalous_patch,1002,1002,0.778596818447113,0.2900629937648773,0.7099369764328003,0.40914568305015564,2.6986305713653564,0.5658360123634338,9000885248.0,0.1833764910697937,0.7794085144996643,0.9666513204574585
A,3,all,2162,1200,0.9689629673957825,0.865790843963623,0.13420917093753815,0.18977127969264984,2.4080843925476074,0.006232629530131817,4470235136.0,0.9935674667358398,0.7537840604782104,0.9943353533744812
A,3,normal_patch,2162,1200,0.9713931083679199,0.8666917681694031,0.13330823183059692,0.1970946341753006,2.391441583633423,0.005957025568932295,4449058816.0,0.9938105344772339,0.7490326762199402,0.9939987063407898
A,3,anomalous_patch,1002,1002,0.9287279844284058,0.4579533040523529,0.5420467257499695,0.4567702114582062,2.4878761768341064,0.34274065494537354,9291252736.0,0.6213695406913757,0.7607911229133606,0.9880281686782837
