arm,record,metric,value,count,mean,median,p95,p99,auroc,ap,difference_l2,reference_l2,relative_l2,parameter_count
A_LATE_FREEZE_R1_CONTROL,parameter_drift,Conv-LoRA_stage2,,,,,,,,,12.053261674891617,95.68903248442413,0.12596283358653038,2171392
A_LATE_FREEZE_R1_CONTROL,parameter_drift,Conv-LoRA_stage3,,,,,,,,,7.916185463326486,75.23811932809718,0.10521508955860143,2171392
A_LATE_FREEZE_R1_CONTROL,parameter_drift,DFG_QK,,,,,,,,,9.19120062692497,91.00485250090205,0.10099681911834171,1179648
A_LATE_FREEZE_R1_CONTROL,parameter_drift,SS2D,,,,,,,,,0.10756985876057858,89.48697605410302,0.001202072787614846,3550479
A_LATE_FREEZE_R1_CONTROL,parameter_drift,all_image_adapter,,,,,,,,,20.470062606447055,222.82229942274114,0.09186720835157978,14015247
A_LATE_FREEZE_R1_CONTROL,parameter_drift,image_projection,,,,,,,,,10.007396902178463,100.67933240632367,0.09939872129654585,2770944
A_LATE_FREEZE_R1_STAGE23_CONVLORA,ranking,final,,,,,,,0.8887913675956424,0.4088530469979116,,,,
A_LATE_FREEZE_R1_STAGE23_CONVLORA,ranking,stage_1,,,,,,,0.8389735184330884,0.3580536908047282,,,,
A_LATE_FREEZE_R1_STAGE23_CONVLORA,ranking,stage_2,,,,,,,0.8231464519903606,0.3871458419290552,,,,
A_LATE_FREEZE_R1_STAGE23_CONVLORA,ranking,stage_3,,,,,,,0.9074570851529005,0.28714058200195747,,,,
A_LATE_FREEZE_R1_STAGE23_CONVLORA,coverage,positive,,50031,0.15248629450798035,4.133539550821297e-05,0.9936918020248413,0.9996241331100464,,,,,,
A_LATE_FREEZE_R1_STAGE23_CONVLORA,coverage,negative,,25709073,2.92135573545238e-05,6.153467957403791e-09,1.9555681518568235e-08,2.6577248490866623e-07,,,,,,
A_LATE_FREEZE_R1_STAGE23_CONVLORA,coverage,boundary,,26381,0.04829078167676926,3.748972449102439e-05,0.33780401945114136,0.8127028346061707,,,,,,
A_LATE_FREEZE_R1_STAGE23_CONVLORA,coverage,interior,,23650,0.2687138617038727,7.662160351173952e-05,0.9989012479782104,0.999864935874939,,,,,,
A_LATE_FREEZE_R1_STAGE23_CONVLORA,coverage,near_background,,35879,0.015882739797234535,1.544630686112214e-05,0.07689148187637329,0.3871268928050995,,,,,,
A_LATE_FREEZE_R1_STAGE23_CONVLORA,coverage,far_background,,25673194,7.057814855215838e-06,6.153467957403791e-09,1.9252500038646758e-08,2.0617687823687447e-07,,,,,,
A_LATE_FREEZE_R1_STAGE23_CONVLORA,inversion_rate,near_background_gt_positive,0.4599885658338526,,,,,,,,,,,
A_LATE_FREEZE_R1_STAGE23_CONVLORA,inversion_rate,near_background_gt_interior,0.4463388608187243,,,,,,,,,,,
A_LATE_FREEZE_R1_STAGE23_CONVLORA,parameter_drift,Conv-LoRA,,,,,,,,,5.7451474448170305,152.3930677040007,0.03769953273711942,6514176
A_LATE_FREEZE_R1_STAGE23_CONVLORA,parameter_drift,Conv-LoRA_stage1,,,,,,,,,5.7451474448170305,91.68686681527501,0.062660527558347,2171392
A_LATE_FREEZE_R1_STAGE23_CONVLORA,parameter_drift,Conv-LoRA_stage2,,,,,,,,,0.0,95.68903248442413,0.0,2171392
A_LATE_FREEZE_R1_STAGE23_CONVLORA,parameter_drift,Conv-LoRA_stage3,,,,,,,,,0.0,75.23811932809718,0.0,2171392
A_LATE_FREEZE_R1_STAGE23_CONVLORA,parameter_drift,DFG_QK,,,,,,,,,6.8454295366283,91.00485250090205,0.07522048933116449,1179648
A_LATE_FREEZE_R1_STAGE23_CONVLORA,parameter_drift,SS2D,,,,,,,,,0.07061827479212546,89.48697605410302,0.0007891458389367216,3550479
A_LATE_FREEZE_R1_STAGE23_CONVLORA,parameter_drift,all_image_adapter,,,,,,,,,12.82599156097546,222.82229942274114,0.057561525907430994,14015247
A_LATE_FREEZE_R1_STAGE23_CONVLORA,parameter_drift,image_projection,,,,,,,,,9.199698249282326,100.67933240632367,0.09137623412274923,2770944
