attempt_index,epoch,batch,file_names,image_sha256,mask_sha256,labels,protocol_id,arm,status,global_step_before,global_step_after,scaler_before,scaler_after,base_task_loss,anchor_loss,classification_loss,segmentation_loss,natural_nonfinite_loss_skip,natural_nonfinite_grad_skip,forced_parity_skip,successful_update,selected_grad_norm_before_suppression,stage2_grad_norm_before_suppression,stage3_grad_norm_before_suppression,safe_anchor_effective_ratio,safe_anchor_max_family_ratio,parameters_finite,optimizer_state_finite
20,11,20,"[""pcb1/Data/Images/Normal/0400.JPG"",""pipe_fryum/Data/Images/Normal/013.JPG"",""capsules/Data/Images/Anomaly/096.JPG"",""macaroni2/Data/Images/Anomaly/063.JPG"",""pcb1/Data/Images/Anomaly/074.JPG"",""capsules/Data/Images/Normal/483.JPG""]",c1bf89425511663c93dc6defd8c1bf908d4b71cc8197271f2d6a4ae174034205,a8cfa52492fe1d3ec0b6cce0af05ef3bfa7f98533e9da516b962e70b420c8b7f,"[0,0,1,1,1,0]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_STAGE23_CONVLORA,success,3627,3628,16384.0,16384.0,1.0932118892669678,0.2932450473308563,0.671630859375,0.4178710877895355,0,0,0,1,0.05938789498451787,0.05565749791487506,0.02071629784850085,6.608483495623884e-06,0.09999994581131587,1,1
21,11,21,"[""pcb3/Data/Images/Anomaly/036.JPG"",""pcb1/Data/Images/Anomaly/085.JPG"",""pcb4/Data/Images/Normal/0994.JPG"",""pcb3/Data/Images/Normal/0490.JPG"",""cashew/Data/Images/Anomaly/074.JPG"",""macaroni2/Data/Images/Anomaly/015.JPG""]",621146b5fdd0439018bcdf001b8f214ef31888c5ac5b39e993efb2f9f7f15bd8,70ab9553a0c48efcc64153c8f8fe157ef22094bdf2a2885ebc10994a708a6a50,"[1,1,0,0,1,1]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_STAGE23_CONVLORA,success,3628,3629,16384.0,16384.0,1.1707098484039307,0.2932700514793396,0.652099609375,0.5149754881858826,0,0,0,1,0.08028831747231659,0.07937709637809316,0.012061944002456963,2.2051164447469327e-05,0.0999999457894573,1,1
22,11,22,"[""pcb1/Data/Images/Normal/0654.JPG"",""pcb2/Data/Images/Anomaly/011.JPG"",""pipe_fryum/Data/Images/Anomaly/008.JPG"",""capsules/Data/Images/Normal/469.JPG"",""pipe_fryum/Data/Images/Anomaly/029.JPG"",""fryum/Data/Images/Anomaly/077.JPG""]",313b1c4a9549c30f0d0e13018bbd986ce6d33b98cc4ae8a2fbc0a8b686de5a83,9d1eb63907e2d94ae2bac1166be649f28348bd81fdb45d2e6ee445b8e59d895b,"[0,1,1,0,1,1]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_STAGE23_CONVLORA,success,3629,3630,16384.0,16384.0,1.0857384204864502,0.2932990789413452,0.6353352665901184,0.44672152400016785,0,0,0,1,0.19453886932960665,0.1911335205790115,0.03624015716183288,2.4018858203648993e-06,0.032696474829257506,1,1
23,11,23,"[""pcb2/Data/Images/Normal/0297.JPG"",""fryum/Data/Images/Normal/400.JPG"",""macaroni1/Data/Images/Normal/0690.JPG"",""pcb3/Data/Images/Normal/0923.JPG"",""macaroni2/Data/Images/Normal/0024.JPG"",""fryum/Data/Images/Normal/084.JPG""]",90a7fb50f6fb04d88f145c844e988699def33cafabb5b0e1b0ae625c159c1efb,7efd853f374f03f6cf6fe123a530bd7ad55f820b07d4ed39d0a22bf83ee0c1dc,"[0,0,0,0,0,0]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_STAGE23_CONVLORA,success,3630,3631,16384.0,16384.0,0.7474158406257629,0.2933274209499359,0.7391764521598816,0.00460892915725708,0,0,0,1,0.05874362688116313,0.056010572778240716,0.017709585997609082,8.65125245607153e-06,0.0999999457338826,1,1
24,11,24,"[""capsules/Data/Images/Anomaly/091.JPG"",""capsules/Data/Images/Anomaly/097.JPG"",""macaroni2/Data/Images/Normal/0490.JPG"",""candle/Data/Images/Normal/0178.JPG"",""pcb1/Data/Images/Anomaly/092.JPG"",""macaroni2/Data/Images/Anomaly/012.JPG""]",e6999aad0067221ebc2cf7051a49b70a2a2bb92104e12298dd4b4812755bb88c,2c73ceb8f2ae6733553317b3e0807a402b4c01bb6daabc1fdf36a682c47a067f,"[1,1,0,0,1,1]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_STAGE23_CONVLORA,success,3631,3632,16384.0,16384.0,1.0773786306381226,0.2933391034603119,0.5755615234375,0.4981280565261841,0,0,0,1,0.1429572128565896,0.14254640162737126,0.01082996264132266,7.274884093994718e-06,0.03048178237300979,1,1
25,11,25,"[""fryum/Data/Images/Anomaly/024.JPG"",""chewinggum/Data/Images/Anomaly/009.JPG"",""pipe_fryum/Data/Images/Anomaly/095.JPG"",""pcb1/Data/Images/Normal/0648.JPG"",""pcb2/Data/Images/Normal/0483.JPG"",""candle/Data/Images/Normal/0545.JPG""]",8397c593933b1c4a4965d0f9c761ae8a9af0e18fbcd1c8664e1c4e59e0eb422d,dfeb638fba626cbcb426131ec4cbcf6031586671b91ebb4e763d77da55f2b221,"[1,1,1,0,0,0]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_STAGE23_CONVLORA,success,3632,3633,16384.0,16384.0,1.0601460933685303,0.2933606207370758,0.5891926884651184,0.4672658443450928,0,0,0,1,0.08066973668535954,0.07138340906876417,0.03757679239379966,3.40767958275116e-06,0.028251843481896702,1,1
26,11,26,"[""cashew/Data/Images/Anomaly/094.JPG"",""fryum/Data/Images/Normal/143.JPG"",""pcb4/Data/Images/Anomaly/060.JPG"",""cashew/Data/Images/Anomaly/032.JPG"",""macaroni1/Data/Images/Anomaly/062.JPG"",""macaroni1/Data/Images/Anomaly/003.JPG""]",acac221e4e83405425b3de2d2cffc2bd2bed0b1aed27a83e0e5477f7a4baaa57,85eb0fcb5ec936e582568b114bd6b65bd2e6a740a535f31066753f40a95d9acc,"[1,0,1,1,1,1]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_STAGE23_CONVLORA,success,3633,3634,16384.0,16384.0,1.5850383043289185,0.2933747470378876,0.616455078125,0.9649126529693604,0,0,0,1,0.24420684628102332,0.2153712977478353,0.11511814747005195,3.3575026028906204e-06,0.0999999526918476,1,1
27,11,27,"[""pcb2/Data/Images/Normal/0215.JPG"",""chewinggum/Data/Images/Anomaly/032.JPG"",""pcb3/Data/Images/Anomaly/072.JPG"",""candle/Data/Images/Anomaly/054.JPG"",""pcb4/Data/Images/Anomaly/064.JPG"",""pipe_fryum/Data/Images/Anomaly/036.JPG""]",6277e96faded164577adb33a9201a8471d75bb291af5efc5d9e0f0c49dfc4221,0689a8455b4239170cf3e80ecccbe4206ec2712c3b654151ebaf71fffb09cb68,"[0,1,1,1,1,1]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_STAGE23_CONVLORA,success,3634,3635,16384.0,16384.0,1.3450031280517578,0.293395072221756,0.6248372197151184,0.7165310978889465,0,0,0,1,0.14233530798595107,0.1402300469878108,0.024390035285991818,3.2698440921716e-06,0.09999994563341381,1,1
28,11,28,"[""cashew/Data/Images/Normal/181.JPG"",""macaroni1/Data/Images/Anomaly/020.JPG"",""capsules/Data/Images/Normal/046.JPG"",""candle/Data/Images/Anomaly/013.JPG"",""chewinggum/Data/Images/Anomaly/079.JPG"",""macaroni1/Data/Images/Anomaly/000.JPG""]",591243a454f9008339c1ad3cfc04189d5f1589a6c78957744fe2d14923546d5b,98a214900b7e8017728331fb2f3949db3ea7cec768bb7b2bf2f16d33682c52bd,"[0,1,0,1,1,1]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_STAGE23_CONVLORA,success,3635,3636,16384.0,16384.0,1.1620030403137207,0.2934201657772064,0.6876627802848816,0.47059157490730286,0,0,0,1,0.067293934779344,0.06640593866327917,0.010896098766779322,6.883414229085588e-06,0.09999994559678674,1,1
29,11,29,"[""pipe_fryum/Data/Images/Anomaly/055.JPG"",""pcb4/Data/Images/Normal/0525.JPG"",""pcb2/Data/Images/Normal/0705.JPG"",""pcb4/Data/Images/Normal/0490.JPG"",""pcb2/Data/Images/Anomaly/042.JPG"",""pcb1/Data/Images/Anomaly/047.JPG""]",6086cc99bf55d84b49c4ea07055b3396e534b90a1b0498bd928a856e2f3b47ec,81d09bf99e6fe47b3615f664f3ca29cdf8ee0c5c297dfb5f76eb0b3c85d77c4c,"[1,0,0,0,1,1]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_STAGE23_CONVLORA,success,3636,3637,16384.0,16384.0,1.1090524196624756,0.2934463322162628,0.6415202021598816,0.46395426988601685,0,0,0,1,0.8459177452195787,0.8440132822099555,0.05673104203656103,1.3850920890849763e-06,0.09999995269135158,1,1
