cohort,stage,point,resolution,image_count,target_count_total,context_count_total,baseline_mean,baseline_median,baseline_p95,control_a_mean,control_a_median,control_a_p95,candidate_mean,candidate_median,candidate_p95,candidate_minus_control_mean,candidate_minus_control_median,candidate_minus_control_p95,candidate_minus_baseline_mean,candidate_minus_baseline_median,candidate_minus_baseline_p95,control_minus_baseline_mean,control_minus_baseline_median,control_minus_baseline_p95
A,2,final_fusion,full,39,2708,515,-17.059534610846104,-17.09273910522461,-15.496966457366943,-17.05964174026098,-17.092880249023438,-15.49709415435791,-17.675998785556892,-17.788110733032227,-16.59729290008545,-0.616357045295911,-0.6179695129394531,-0.0010738372802734362,-0.6164641747107873,-0.6179237365722656,-0.0012334823608398425,-0.00010712941487630208,-4.00543212890625e-05,9.365081787109381e-05
A,3,pre_lora,native,39,2708,515,-8.330861568450928,-8.436507225036621,-7.168706083297729,-8.330801425836025,-8.436379432678223,-7.168529510498047,-8.330801425836025,-8.436379432678223,-7.168529510498047,0.0,0.0,0.0,6.014261490259415e-05,0.0,0.00036468505859375,6.014261490259415e-05,0.0,0.00036468505859375
A,3,convlora_output,native,39,2708,515,-8.282640738364977,-8.407357215881348,-7.365459299087524,-8.28259486418504,-8.407275199890137,-7.365141868591309,-8.302956189864721,-8.396899223327637,-7.422536516189575,-0.02036132567968124,-0.0031385421752929688,0.016727256774902347,-0.02031545149974334,-0.0030050277709960938,0.016727256774902347,4.587417993790064e-05,0.0,0.00028934478759765634
A,3,post_seg_projection,native,39,2708,515,-8.282640738364977,-8.407357215881348,-7.365459299087524,-8.28259486418504,-8.407275199890137,-7.365141868591309,-8.302956189864721,-8.396899223327637,-7.422536516189575,-0.02036132567968124,-0.0031385421752929688,0.016727256774902347,-0.02031545149974334,-0.0030050277709960938,0.016727256774902347,4.587417993790064e-05,0.0,0.00028934478759765634
A,3,dfg_qk_compatibility,native,39,2708,515,-11.049879807692308,-11.09375,-10.30390625,-11.05108173076923,-11.09375,-10.3046875,-11.046274038461538,-11.0859375,-10.296875,0.004807692307692308,0.0078125,0.015625,0.003605769230769231,0.0,0.0078125,-0.001201923076923077,0.0,0.0
A,3,ss2d_input,native,39,2708,515,-8.509954318022116,-8.526278495788574,-7.888595724105835,-8.509874820709229,-8.52612590789795,-7.888647127151489,-8.500878456311348,-8.519659996032715,-7.8852630138397215,0.008996364397880359,0.008026123046875,0.018201732635498048,0.00907586171076848,0.0077304840087890625,0.01823692321777344,7.9497312888121e-05,5.245208740234375e-05,0.0004393577575683594
A,3,ss2d_output,native,39,2708,515,3.9569514103424854,4.056108474731445,4.3154144287109375,3.9569305456601658,4.056102275848389,4.315400218963623,3.9563901057610145,4.055212020874023,4.3151312351226805,-0.0005404398991511419,-0.00047326087951660156,-4.2629241943359324e-05,-0.0005613045814709786,-0.0004830360412597656,-6.034374237060544e-05,-2.086468231983674e-05,-1.9311904907226562e-05,1.9216537475585973e-05
A,3,stage_logits_pre_blur,native,39,2708,515,-17.97057748452211,-18.070463180541992,-16.925869178771972,-17.970493683448204,-18.070913314819336,-16.925872802734375,-18.012181893373146,-18.063541412353516,-16.98820686340332,-0.04168820992494241,-0.0075511932373046875,0.03732681274414063,-0.04160440885103666,-0.0071620941162109375,0.03729209899902344,8.38010739057492e-05,0.0,0.001164054870605469
A,3,stage_logits_post_blur,native,39,2708,515,-17.419165489001152,-17.562891006469727,-16.07403697967529,-17.419020481598682,-17.56237030029297,-16.073525428771973,-18.071888116689827,-18.092470169067383,-17.273776245117187,-0.6528676350911459,-0.629302978515625,0.008337211608886728,-0.6527226276886768,-0.629302978515625,0.00827045440673829,0.00014500740246895031,0.0,0.0010517120361328127
A,3,stage_map_post_resize,full,39,2708,515,-17.269762503795135,-17.392688751220703,-15.833186817169189,-17.269693619165665,-17.392385482788086,-15.832807159423826,-18.054137596717247,-18.09724998474121,-17.22501735687256,-0.7844439775515826,-0.7693653106689453,0.009001541137695322,-0.7843750929221128,-0.7693977355957031,0.008887290954589852,6.888462946965144e-05,4.38690185546875e-05,0.000755691528320313
A,3,final_fusion,full,39,2708,515,-17.059534488580166,-17.09273910522461,-15.496966457366943,-17.059511575943386,-17.092782974243164,-15.497050952911376,-17.32099315447685,-17.329801559448242,-15.958546161651611,-0.26148157853346604,-0.2564563751220703,0.0029993057250976597,-0.2614586658966847,-0.2564678192138672,0.0029611587524414093,2.291263678135016e-05,1.33514404296875e-05,0.0002506256103515627
B,1,pre_lora,native,44,3229,653,-0.4788914302533323,-0.46176519989967346,-0.3424952611327171,-0.4788914302533323,-0.46176519989967346,-0.3424952611327171,-0.4788914302533323,-0.46176519989967346,-0.3424952611327171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,1,convlora_output,native,44,3229,653,-0.4725448726253076,-0.4608754515647888,-0.3399928346276283,-0.4725361994721673,-0.4608600586652756,-0.339934366941452,-0.4723227335648103,-0.4608275145292282,-0.34005312323570247,0.0002134659073569558,5.689263343811035e-05,0.0014976426959037784,0.00022213906049728394,5.879998207092285e-05,0.0014957740902900698,8.673153140328147e-06,0.0,5.53131103515625e-05
B,1,post_seg_projection,native,44,3229,653,-0.4725448726253076,-0.4608754515647888,-0.3399928346276283,-0.4725361994721673,-0.4608600586652756,-0.339934366941452,-0.4723227335648103,-0.4608275145292282,-0.34005312323570247,0.0002134659073569558,5.689263343811035e-05,0.0014976426959037784,0.00022213906049728394,5.879998207092285e-05,0.0014957740902900698,8.673153140328147e-06,0.0,5.53131103515625e-05
B,1,dfg_qk_compatibility,native,44,3229,653,24.944602272727273,24.796875,25.93125,24.944957386363637,24.796875,25.94453125,24.951704545454547,24.796875,25.94453125,0.006747159090909091,0.0,0.015625,0.007102272727272727,0.0,0.015625,0.0003551136363636364,0.0,0.0
B,1,ss2d_input,native,44,3229,653,-0.4985535348003561,-0.4891708642244339,-0.35364393442869185,-0.49855412813750183,-0.48915281891822815,-0.35364272743463515,-0.49823464859615674,-0.48933297395706177,-0.3532499015331268,0.00031947954134507614,0.00022968649864196777,0.0014671295881271364,0.00031888620419935745,0.00022667646408081055,0.0014681339263916016,-5.933371457186613e-07,-6.854534149169922e-07,2.0138919353485107e-05
B,1,ss2d_output,native,44,3229,653,-0.5054711665619503,-0.4825321435928345,-0.34195268750190727,-0.5054716061462056,-0.4825330078601837,-0.3419518887996673,-0.5055378790606152,-0.48258350789546967,-0.3419727802276611,-6.627291440963745e-05,-4.999339580535889e-05,2.3628771305084253e-05,-6.671249866485596e-05,-4.951655864715576e-05,2.2874772548675563e-05,-4.3958425521850586e-07,-3.5762786865234375e-07,1.1280179023742676e-06
B,1,stage_logits_pre_blur,native,44,3229,653,-17.692039728164673,-17.920964241027832,-15.689357328414916,-17.692202134565875,-17.920923233032227,-15.68921627998352,-17.661834890192207,-17.893593788146973,-15.677307224273681,0.030367244373668324,0.019124984741210938,0.11070165634155274,0.030204837972467594,0.01834583282470703,0.11042118072509767,-0.00016240640120072797,-0.00031566619873046875,0.000568389892578125
B,1,stage_logits_post_blur,native,44,3229,653,-16.938209988854148,-16.931302070617676,-14.978436422348022,-16.93836842883717,-16.93153190612793,-14.978362655639648,-17.82421105558222,-18.02936840057373,-16.173627376556396,-0.8858426267450507,-0.8862342834472656,-0.21505451202392573,-0.8860010667280718,-0.8865337371826172,-0.2153251647949218,-0.00015843998302112925,-0.00011444091796875,0.0010500907897949227
