point,cohort,stage,resolution,zero_near_count,zero_near_mean,zero_near_median,zero_near_p90,zero_near_p95,zero_near_p99,zero_far_count,zero_far_mean,zero_far_median,zero_far_p90,zero_far_p95,zero_far_p99,partial_count,partial_mean,partial_median,partial_p90,partial_p95,partial_p99,full_count,full_mean,full_median,full_p90,full_p95,full_p99,zero_near_vs_zero_far_auroc,anomaly_partial_vs_zero_near_auroc
stage1_dfg_qk_compatibility,A,1,global,3055,24.880078764320785,24.796875,25.71875,25.984375,25.984375,128107,24.990362548494616,25.28125,25.71875,25.984375,25.984375,0,,,,,,0,,,,,,0.45872663574998174,0.541150223911456
stage1_dfg_qk_compatibility,B,1,global,3670,24.92299472070845,25.25,25.71875,25.96875,25.984375,127419,24.98802278310142,24.796875,25.71875,25.984375,26.0,0,,,,,,0,,,,,,0.4480050659100135,0.5517473199407973
stage1_ss2d_input,A,1,global,3055,-0.475952501480396,-0.48128604888916016,-0.3673058748245239,-0.3509625792503357,-0.3499916195869446,128107,-0.5011050403083238,-0.4955926537513733,-0.3690016269683838,-0.35053759813308716,-0.34971535205841064,0,,,,,,0,,,,,,0.5611617689626449,0.4390653432739719
stage1_ss2d_input,B,1,global,3670,-0.4796113721843636,-0.4808846116065979,-0.3699195384979248,-0.35086512565612793,-0.3501737117767334,127419,-0.5010947947826068,-0.4958060383796692,-0.36896437406539917,-0.3508421778678894,-0.3500702977180481,0,,,,,,0,,,,,,0.5622929685970505,0.43801417096779877
stage1_ss2d_output,A,1,global,3055,-0.4816884653755569,-0.48242509365081787,-0.37288516759872437,-0.3364415466785431,-0.33640056848526,128107,-0.5056265201678836,-0.5183762311935425,-0.3729332983493805,-0.3364528715610504,-0.3363850712776184,0,,,,,,0,,,,,,0.578411018346634,0.42185541759671724
stage1_ss2d_output,B,1,global,3670,-0.48422559412850996,-0.4706309735774994,-0.3729724884033203,-0.33648595213890076,-0.3364446759223938,127419,-0.5056993377146121,-0.5190141201019287,-0.3729638457298279,-0.3364795446395874,-0.33641770482063293,0,,,,,,0,,,,,,0.5838609089756076,0.4165619176398237
stage1_logits_pre_blur,A,1,native,2708,-17.625099621636124,-18.5625,-15.03125,-12.698046875,-6.202109375000052,128055,-18.62103945704673,-19.0,-17.875,-16.6875,-12.086562500000127,603,-10.772613373561878,-16.25,10.454687500000006,14.235937499999991,16.9675,58,-4.0249612742456895,-17.7734375,17.1,17.78984375,18.25671875,0.6974590938381755,0.3055290448979386
stage1_logits_pre_blur,B,1,native,3229,-17.53976467837856,-18.53125,-14.693749999999998,-12.431250000000013,-5.157500000000034,127386,-18.63636876738227,-19.0,-17.9375,-16.8125,-12.2109375,724,-6.873686848424416,-11.32421875,13.0,15.056640625,16.682812499999997,85,5.721783088235294,9.8125,16.01875,16.61875,17.134999999999998,0.6963002661074107,0.30833307805839777
stage1_logits_post_blur,A,1,native,2708,-17.173816585118168,-17.8125,-14.450781249999999,-13.130468749999999,-10.286718750000013,128055,-18.624887682538752,-18.90625,-17.703125,-16.8125,-14.789687500000127,603,-13.161522556893267,-14.375,-6.037499999999995,-3.234765625000001,0.3323486328125008,58,-7.899981794686153,-15.71484375,7.919921875000001,9.61953125,10.160234375,0.8062272217664965,0.19764300115583572
stage1_logits_post_blur,B,1,native,3229,-16.81151587662589,-17.609375,-13.59375,-11.990625000000001,-8.886250000000075,127386,-18.641689064143627,-18.90625,-17.75,-16.890625,-14.890625,724,-9.776669075475873,-10.5,-1.8203124999999978,0.2711608886718771,5.89042968749999,85,-0.6579891429227941,0.193359375,6.825000000000002,8.825,12.129999999999997,0.8268177352771439,0.17925133159784953
stage1_map_post_resize,A,1,full,2648,-14.414471218233022,-15.528738975524902,-8.240313243865963,-5.596733641624451,-4.274683084487913,25626900,-18.57076219757848,-18.878883361816406,-17.550527572631836,-16.60784149169922,-14.546239805221568,118188,-13.324260765109562,-14.547019481658936,-6.087375259399414,-3.737558984756471,-0.08418355509638016,11368,-8.538056917929659,-15.885999202728271,7.170855426788337,8.3867525100708,9.634978275299073,0.8994058129094995,0.1036117142058596
stage1_map_post_resize,B,1,full,3170,-11.579481910592186,-11.873955249786377,-5.3303696632385265,-3.9213457584381115,-1.330153386592873,25597370,-18.570523810209423,-18.880329132080078,-17.57005100250244,-16.624855899810797,-14.45505142211914,141904,-9.913147608085493,-10.65835189819336,-2.1462519884109508,0.5177966296672987,5.306384434700012,16660,-1.524643730973022,-0.8887729942798615,5.975463294982911,8.233607912063595,11.284182815551757,0.9745742103293688,0.030343926401560053
stage2_frozen_patch,A,2,native,2708,-18.154682110186165,-18.727676391601562,-17.534875488281248,-16.282669448852538,-4.596660728454591,128055,-18.73961908923393,-18.787439346313477,-18.562821197509766,-18.35595836639404,-17.006708946228034,603,-5.725265726002295,-16.81024742126465,18.61605911254883,18.838313484191893,18.96596649169922,58,-1.385210086045594,-15.92431354522705,18.725080680847167,18.750328540802002,18.775102405548097,0.6109046167212471,0.3917594001020179
stage2_frozen_patch,B,2,native,3229,-17.78695744712606,-18.708040237426758,-16.835422515869137,-14.461532211303714,4.510282440185546,127386,-18.749422075263954,-18.788227081298828,-18.56483745574951,-18.372093200683594,-17.201920890808108,724,-2.7799556402602743,-8.595019340515137,18.52241630554199,18.721517181396486,18.91943347930908,85,8.96191973545972,17.636014938354492,18.931363677978517,18.96289825439453,18.992351531982422,0.6307473968174518,0.3733253147467623
stage2_convlora_raw,A,2,native,2708,-15.839613427197563,-18.779766082763672,0.6553158998489539,9.354654741287233,10.568532085418699,128055,-18.724990286787722,-18.817426681518555,-18.747727966308595,-18.74009838104248,-18.29727439880371,603,-4.973391845599929,-6.873508453369141,10.113201713562011,10.40483989715576,11.10904697418213,58,-5.200846984468657,-18.383146286010742,9.466100692749023,9.496665954589844,10.431136188507079,0.6166879139992872,0.38564668137202557
stage2_convlora_raw,B,2,native,3229,-13.148866104937515,-18.782636642456055,9.679121398925782,10.439258766174316,11.602842140197753,127386,-18.72638543436939,-18.81666660308838,-18.748117446899414,-18.74035358428955,-18.295640277862553,724,0.7300826406404788,9.365833282470703,10.421794986724853,10.635367345809938,11.90260491371154,85,4.555119334950167,9.768383026123047,10.386126708984374,10.45939826965332,11.521636314392078,0.6021697151067206,0.4009110813686175
stage2_post_convlora,A,2,native,2708,-18.08566190481758,-18.824480056762695,-17.866046905517575,-15.392577362060546,1.6303474664687614,128055,-18.85782449564736,-18.865558624267578,-18.739173889160156,-18.704887008666994,-18.371670684814454,603,-4.737522552361338,-16.299121856689453,18.512261962890626,18.72910385131836,18.956421813964845,58,-1.5337250499889767,-17.94655132293701,18.749185943603514,18.784574794769288,18.79191665649414,0.5848241243967883,0.41764657246819503
stage2_post_convlora,B,2,native,3229,-17.307538228078904,-18.8165340423584,-15.876873397827126,-9.108322143554691,14.8531019592285,127386,-18.863973638575313,-18.861326217651367,-18.73904514312744,-18.705533027648926,-18.40425052642823,724,-0.4377606346796766,0.18798968195915222,18.174868774414062,18.62708683013916,18.853937225341795,85,10.698319137797636,17.228233337402344,18.83164863586426,18.890925216674805,18.964395294189455,0.6083091426235393,0.3956070480764741
stage2_post_seg_projection,A,2,native,2708,-18.08567719324389,-18.82450008392334,-17.86589260101318,-15.39066185951233,1.6293066012858843,128055,-18.85782232217473,-18.865571975708008,-18.73917999267578,-18.704917335510252,-18.371724395751954,603,-4.7374642712973785,-16.300600051879883,18.512174606323246,18.729291343688963,18.95646987915039,58,-1.5335720592531665,-17.9466495513916,18.749190521240234,18.784570026397706,18.791858749389647,0.5848249188647765,0.4176457375006359
stage2_post_seg_projection,B,2,native,3229,-17.307534881366475,-18.816364288330078,-15.87680206298826,-9.108926391601566,14.85219978332518,127386,-18.86397077954658,-18.861266136169434,-18.73904514312744,-18.70557737350464,-18.40420722961426,724,-0.437676687583389,0.188836507499218,18.17424774169922,18.62712631225586,18.853852977752684,85,10.698256913353415,17.228334426879883,18.83145980834961,18.8908332824707,18.96444206237793,0.6082980444621471,0.39561803303615717
stage2_dfg_input,A,2,native,2708,-18.08567719324389,-18.82450008392334,-17.86589260101318,-15.39066185951233,1.6293066012858843,128055,-18.85782232217473,-18.865571975708008,-18.73917999267578,-18.704917335510252,-18.371724395751954,603,-4.7374642712973785,-16.300600051879883,18.512174606323246,18.729291343688963,18.95646987915039,58,-1.5335720592531665,-17.9466495513916,18.749190521240234,18.784570026397706,18.791858749389647,0.5848249188647765,0.4176457375006359
stage2_dfg_input,B,2,native,3229,-17.307534881366475,-18.816364288330078,-15.87680206298826,-9.108926391601566,14.85219978332518,127386,-18.86397077954658,-18.861266136169434,-18.73904514312744,-18.70557737350464,-18.40420722961426,724,-0.437676687583389,0.188836507499218,18.17424774169922,18.62712631225586,18.853852977752684,85,10.698256913353415,17.228334426879883,18.83145980834961,18.8908332824707,18.96444206237793,0.6082980444621471,0.39561803303615717
stage2_dfg_qk_compatibility,A,2,global,3055,27.379971358428804,27.828125,28.453125,28.921875,28.921875,128107,27.51541936135418,27.84375,28.46875,28.921875,28.9375,0,,,,,,0,,,,,,0.45832169474430623,0.5415656359105621
stage2_dfg_qk_compatibility,B,2,global,3670,27.373067098092644,27.859375,28.4375,28.921875,28.921875,127419,27.513778851662625,27.828125,28.46875,28.921875,28.9375,0,,,,,,0,,,,,,0.45507068731788,0.5447469419152331
stage2_ss2d_input,A,2,global,3055,-18.911695309902758,-18.870515823364258,-18.766191482543945,-18.763864517211914,-18.76069450378418,128107,-18.931215376837827,-18.911314010620117,-18.81570053100586,-18.767099380493164,-18.76069450378418,0,,,,,,0,,,,,,0.551458640911839,0.4487734169673685
stage2_ss2d_input,B,2,global,3670,-18.93090674584828,-18.910673141479492,-18.809240341186523,-18.760772705078125,-18.757238388061523,127419,-18.92878499570441,-18.87902069091797,-18.80994415283203,-18.76677703857422,-18.757238388061523,0,,,,,,0,,,,,,0.5050929967305403,0.49488439528642814
stage2_ss2d_output,A,2,global,3055,-12.553684576131317,-12.59304428100586,-12.186141967773438,-12.184907913208008,-12.179951667785645,128107,-12.575976680646422,-12.690077781677246,-12.20965576171875,-12.186141967773438,-12.184907913208008,0,,,,,,0,,,,,,0.5484849120538137,0.451625447246946
stage2_ss2d_output,B,2,global,3670,-12.5591102363628,-12.69021224975586,-12.21057415008545,-12.182345390319824,-12.181779861450195,127419,-12.575489498524302,-12.593595504760742,-12.210846900939941,-12.186294555664062,-12.182345390319824,0,,,,,,0,,,,,,0.5258089260446552,0.47434022019242617
stage2_logits_pre_blur,A,2,native,2708,-18.522230139863368,-19.296875,-18.375,-15.859375,1.2776953124999917,128055,-19.271109406419605,-19.296875,-19.1875,-19.15625,-18.859375,603,-4.980617440952789,-16.859375,18.809375000000003,19.125,19.2965625,58,-1.6100148168103448,-18.5078125,19.171875,19.20546875,19.22546875,0.543507397088135,0.4585410722117755
stage2_logits_pre_blur,B,2,native,3229,-17.719476751219418,-19.28125,-16.30624999999999,-9.31718750000001,14.76843749999998,127386,-19.27779110541116,-19.296875,-19.1875,-19.15625,-18.890625,724,-0.5830596165103807,0.0775604248046875,18.4375,19.0,19.2584375,85,10.871553308823529,17.46875,19.13125,19.2125,19.28625,0.5903401629984167,0.41345865759428585
stage2_logits_post_blur,A,2,native,2708,-17.555441232340375,-19.109375,-13.204687499999991,-10.693749999999994,-5.394023437500026,128055,-19.273858871599973,-19.3125,-19.1875,-19.15625,-18.9375,603,-9.958076135436102,-10.8046875,1.833398437500008,5.1160156249999975,9.404531250000002,58,-4.041981664197198,-16.40234375,15.259375000000002,16.596093749999998,17.63984375,0.7736922263888295,0.2296624660112348
stage2_logits_post_blur,B,2,native,3229,-16.67369638621973,-18.578125,-11.015625,-7.7421875,-0.3424414062500104,127386,-19.280386743465726,-19.3125,-19.1875,-19.15625,-18.9375,724,-5.370632234857886,-5.361328125,5.708203125000003,8.612500000000004,13.158671875,85,5.361362591911765,8.90625,14.871875000000001,15.578125,17.558125,0.8351938240037375,0.17072991790056685
