cohort,stage,module,resolution,comparison,valid_counterfactual,current_zero_near_mean,variant_zero_near_mean,delta_zero_near_mean,current_zero_near_median,variant_zero_near_median,delta_zero_near_median,current_zero_near_p95,variant_zero_near_p95,delta_zero_near_p95,current_zero_near_p99,variant_zero_near_p99,delta_zero_near_p99,amplification_ratio_zero_near,current_zero_far_mean,variant_zero_far_mean,delta_zero_far_mean,current_zero_far_median,variant_zero_far_median,delta_zero_far_median,current_zero_far_p95,variant_zero_far_p95,delta_zero_far_p95,current_zero_far_p99,variant_zero_far_p99,delta_zero_far_p99,amplification_ratio_zero_far,current_partial_mean,variant_partial_mean,delta_partial_mean,current_partial_median,variant_partial_median,delta_partial_median,current_partial_p95,variant_partial_p95,delta_partial_p95,current_partial_p99,variant_partial_p99,delta_partial_p99,amplification_ratio_partial,current_full_mean,variant_full_mean,delta_full_mean,current_full_median,variant_full_median,delta_full_median,current_full_p95,variant_full_p95,delta_full_p95,current_full_p99,variant_full_p99,delta_full_p99,amplification_ratio_full,amplification_ratio_zero_near_relative_to_zero_far,near_minus_far_delta,near_selective_abs
A,2,interpolation,full,existing Gaussian7+resize versus same resize without blur,False,-13.0644615129427,-10.793458336429653,-2.2710031765130463,-14.157525062561035,-13.9296875,-0.22783756256103516,0.32013743817806317,8.754687500000003,-8.43455006182194,2.9617778873443674,14.492656250000003,-11.530878362655635,,-19.230979593064134,-19.242674288716742,0.011694695652607834,-19.300094604492188,-19.296875,-0.0032196044921875,-19.157123565673828,-19.15625,-0.000873565673828125,-17.400131187438973,-18.78125,1.3811188125610272,,-10.37609842349164,-6.54402835104362,-3.832070072448021,-11.486592769622803,-11.3125,-0.17409276962280273,4.490713047981259,17.09375,-12.60303695201874,9.44721067428592,18.96875,-9.52153932571408,,-4.728934742610595,-2.1508218012252045,-2.5781129413853905,-16.770506858825684,-18.5625,1.7919931411743164,16.135136127471924,19.1875,-3.052363872528076,17.390341567993165,19.21875,-1.8284084320068352,,-194.19087456171883,-2.282697872165654,True
A,2,stage_fusion,full,equal pre-softmax final fusion versus the corresponding individual resized stage,False,-14.064390568619768,-13.0644615129427,-0.9999290556770681,-14.861159801483154,-14.157525062561035,-0.7036347389221191,-5.354851603507995,0.32013743817806317,-5.674989041686058,-2.6968989944458,2.9617778873443674,-5.658676881790168,,-18.67671593266236,-19.230979593064134,0.554263660401773,-18.76553726196289,-19.300094604492188,0.5345573425292969,-18.003461837768555,-19.157123565673828,1.1536617279052734,-16.90506361007691,-17.400131187438973,0.4950675773620645,,-12.413609131865858,-10.37609842349164,-2.037510708374217,-13.409110069274902,-11.486592769622803,-1.9225172996520996,-2.006151914596558,4.490713047981259,-6.496864962577817,1.443610458374042,9.44721067428592,-8.003600215911877,,-8.371626345376956,-4.728934742610595,-3.6426916027663614,-17.205530166625977,-16.770506858825684,-0.43502330780029297,6.835973119735717,16.135136127471924,-9.299163007736206,7.6663105678558345,17.390341567993165,-9.72403100013733,,-1.8040674991253125,-1.5541927160788411,True
A,3,convlora,native,current stage logits minus valid Conv-LoRA residual-removed local replay,True,-17.975695926998707,-18.226774455173327,0.2510785281746202,-18.28125,-18.71875,0.4375,-17.59375,-15.522265624999978,-2.071484375000022,-4.818242187500013,-5.708398437500003,0.8901562499999898,,-18.244435416392125,-18.597132387191415,0.35269697079928974,-18.25,-18.65625,0.40625,-17.828125,-18.25,0.421875,-17.5625,-17.65625,0.09375,,-10.640317091301306,-10.87994516350539,0.23962807220408422,-17.90625,-17.234375,-0.671875,5.697656249999999,4.814843749999997,0.8828125000000018,7.643203125000001,7.188750000000006,0.45445312499999524,,-10.968880488954742,-11.688699656519397,0.7198191675646548,-16.8515625,-14.94921875,-1.90234375,1.014721679687499,1.428076171875,-0.413354492187501,4.627656249999999,3.6871093749999995,0.9405468749999999,,0.7118817255663421,-0.10161844262466957,False
A,3,seg_projection,native,"post-seg normalized margin versus pre-LayerNorm raw projection; representation attribution only, no identity bypass",False,-17.975695926998707,-8.576766810001615,-9.398929116997092,-18.28125,-8.640625,-9.640625,-17.59375,-7.93359375,-9.66015625,-4.818242187500013,-7.583398437500003,2.7651562499999898,,-18.244435416392125,-8.534340450350467,-9.710094966041659,-18.25,-8.6015625,-9.6484375,-17.828125,-7.93359375,-9.89453125,-17.5625,-6.60546875,-10.95703125,,-10.640317091301306,-8.520468539464138,-2.1198485518371672,-17.90625,-8.640625,-9.265625,5.697656249999999,-7.90625,13.603906249999998,7.643203125000001,-4.582968749999996,12.226171874999997,,-10.968880488954742,-8.644800646551724,-2.324079842403018,-16.8515625,-8.62890625,-8.22265625,1.014721679687499,-8.108203125,9.122924804687498,4.627656249999999,-7.948046875,12.575703125,,0.9679543969309484,0.311165849044567,False
A,3,dfg_qk,native,stage native margin versus exact DFG-input direct text margin,False,-17.975695926998707,-8.288275181839966,-9.687420745158741,-18.28125,-8.451189994812012,-9.830060005187988,-17.59375,-7.743440580368042,-9.850309419631959,-4.818242187500013,-2.005514204502127,-2.8127279829978864,,-18.244435416392125,-8.42159911058417,-9.822836305807956,-18.25,-8.43753433227539,-9.81246566772461,-17.828125,-7.853941297531128,-9.974183702468872,-17.5625,-7.771461877822876,-9.791038122177124,,-10.640317091301306,-4.925047042802792,-5.715270048498514,-17.90625,-8.04025650024414,-9.86599349975586,5.697656249999999,2.599166631698608,3.098489618301391,7.643203125000001,3.4710832595825205,4.17211986541748,,-10.968880488954742,-5.119152911778154,-5.849727577176588,-16.8515625,-7.943102121353149,-8.90846037864685,1.014721679687499,0.6377977579832065,0.37692392170429245,4.627656249999999,2.260647940635681,2.3670083093643184,,0.986214209782856,0.13541556064921423,False
A,3,ss2d,native,current weight-residual DFG versus exact beta=0 GAP-only component,True,-17.975695926998707,-18.09995998906596,0.1242640620672546,-18.28125,-18.421875,0.140625,-17.59375,-17.703125,0.109375,-4.818242187500013,-4.8594921875000185,0.041250000000005116,,-18.244435416392125,-18.368992777456462,0.1245573610643369,-18.25,-18.40625,0.15625,-17.828125,-17.9375,0.109375,-17.5625,-17.640625,0.078125,,-10.640317091301306,-10.720413941846756,0.08009685054545024,-17.90625,-18.03125,0.125,5.697656249999999,5.694140624999999,0.003515624999999467,7.643203125000001,7.716250000000002,-0.07304687500000107,,-10.968880488954742,-11.047721073545258,0.07884058459051602,-16.8515625,-16.93359375,0.08203125,1.014721679687499,0.9845703124999988,0.03015136718750011,4.627656249999999,4.64671875,-0.019062500000000426,,0.9976452696606922,-0.000293298997082303,False
A,3,interpolation,full,existing Gaussian7+resize versus same resize without blur,False,-14.714237681328349,-13.414125586564447,-1.300112094763902,-16.562936782836914,-17.234375,0.6714382171630859,-6.166844248771667,-0.31315917968749907,-5.853685069084167,-2.528326976299282,2.5370312500000125,-5.065358226299295,,-18.22840410560737,-18.23112625726482,0.0027221516574478244,-18.234725952148438,-18.25,0.0152740478515625,-17.906715393066406,-17.859375,-0.04734039306640625,-17.58068462371827,-17.5,-0.08068462371826968,,-13.540467036367986,-11.483473392357078,-2.056993644010907,-14.949213027954102,-16.21875,1.2695369720458984,-3.9755763053894055,3.0149414062499886,-6.990517711639394,-1.8756969213485657,6.09765625,-7.973353171348566,,-11.847886513404806,-11.095137078689907,-0.7527494347148984,-17.370777130126953,-17.9375,0.5667228698730469,-1.0965092062950135,0.5349853515624998,-1.6314945578575133,-0.6489170420169831,3.778281249999992,-4.427198292016975,,-477.60457842486,-1.3028342464213498,True
A,3,stage_fusion,full,equal pre-softmax final fusion versus the corresponding individual resized stage,False,-14.064390568619768,-14.714237681328349,0.6498471127085814,-14.861159801483154,-16.562936782836914,1.7017769813537598,-5.354851603507995,-6.166844248771667,0.8119926452636719,-2.6968989944458,-2.528326976299282,-0.1685720181465178,,-18.67671593266236,-18.22840410560737,-0.4483118270549902,-18.76553726196289,-18.234725952148438,-0.5308113098144531,-18.003461837768555,-17.906715393066406,-0.09674644470214844,-16.90506361007691,-17.58068462371827,0.6756210136413614,,-12.413609131865858,-13.540467036367986,1.1268579045021276,-13.409110069274902,-14.949213027954102,1.5401029586791992,-2.006151914596558,-3.9755763053894055,1.9694243907928475,1.443610458374042,-1.8756969213485657,3.3193073797226074,,-8.371626345376956,-11.847886513404806,3.4762601680278493,-17.205530166625977,-17.370777130126953,0.16524696350097656,6.835973119735717,-1.0965092062950135,7.932482326030731,7.6663105678558345,-0.6489170420169831,8.315227609872817,,-1.4495426475306235,1.0981589397635716,True
B,1,convlora,native,current stage logits minus valid Conv-LoRA residual-removed local replay,True,-17.53976467837856,-17.96822089002981,0.42845621165124825,-18.53125,-18.71875,0.1875,-12.431250000000013,-14.234375,1.8031249999999872,-5.157500000000034,-7.012187500000042,1.8546875000000078,,-18.63636876738227,-18.8141004065185,0.1777316391362298,-19.0,-19.03125,0.03125,-16.8125,-17.59765625,0.78515625,-12.2109375,-14.375,2.1640625,,-6.873686848424416,-7.979890433464261,1.1062035850398448,-11.32421875,-13.8203125,2.49609375,15.056640625,14.565234375000003,0.49140624999999716,16.682812499999997,16.502499999999998,0.18031249999999943,,5.721783088235294,4.789496208639706,0.9322868795955879,9.8125,9.453125,0.359375,16.61875,16.234375,0.3843749999999986,17.134999999999998,16.805,0.3299999999999983,,2.4106918370501282,0.25072457251501845,True
B,1,seg_projection,native,"post-seg normalized margin versus pre-LayerNorm raw projection; representation attribution only, no identity bypass",False,-17.53976467837856,-0.46776837171434654,-17.071996306664214,-18.53125,-0.46142578125,-18.06982421875,-12.431250000000013,-0.34423828125,-12.087011718750013,-5.157500000000034,-0.33203125,-4.825468750000034,,-18.63636876738227,-0.4901571575808813,-18.146211609801387,-19.0,-0.4833984375,-18.5166015625,-16.8125,-0.34423828125,-16.46826171875,-12.2109375,-0.3271484375,-11.8837890625,,-6.873686848424416,-0.4574216136616238,-6.416265234762792,-11.32421875,-0.458984375,-10.865234375,15.056640625,-0.3466796875,15.4033203125,16.682812499999997,-0.3209472656250001,17.003759765625,,5.721783088235294,-0.4131002987132353,6.1348833869485295,9.8125,-0.419921875,10.232421875,16.61875,-0.29931640625000017,16.91806640625,17.134999999999998,-0.012939453125000687,17.147939453124998,,0.9408022276915942,1.0742153031371728,False
