abnormal_norm,arm,category,comparison,cosine_distance,family,final_norm,hard_reference_available,kind,l2_distance,l2_drift,name,normal_abnormal_cos,normal_norm,normalized_drift,reference_norm,region,stage
,,,,,dfg_ss2d_branches,0.6828544735908508,,H_image_adapter,,0.6828544735908508,dfg_ss2d_branches.2.pre_norm.bias,,,682854473590.8508,0.0,,
,,,,,dfg_ss2d_branches,22.259750366210938,,H_image_adapter,,15.387240409851074,dfg_ss2d_branches.2.in_proj.weight,,,0.963271517799312,15.973938941955566,,
,,,,,dfg_ss2d_branches,0.7131695747375488,,H_image_adapter,,0.4423932135105133,dfg_ss2d_branches.2.in_proj.bias,,,0.7705712117342436,0.574110746383667,,
,,,,,dfg_ss2d_branches,0.06161222606897354,,H_image_adapter,,0.06161222606897354,dfg_ss2d_branches.2.ss2d.direction_logits,,,61612226068.97354,0.0,,
,,,,,dfg_ss2d_branches,31.732786178588867,,H_image_adapter,,15.117941856384277,dfg_ss2d_branches.2.ss2d.out_proj.weight,,,0.5452494508573477,27.726652145385742,,
,,,,,dfg_ss2d_branches,27.677978515625,,H_image_adapter,,0.5922266840934753,dfg_ss2d_branches.2.post_norm.weight,,,0.021370140101221687,27.712812423706055,,
,,,,,dfg_ss2d_branches,0.2493409812450409,,H_image_adapter,,0.2493409812450409,dfg_ss2d_branches.2.post_norm.bias,,,249340981245.0409,0.0,,
,,,,,dfg_raw_gamma,0.0,,H_image_adapter,,0.0,dfg_raw_gamma.0,,,0.0,0.0,,
,,,,,dfg_raw_gamma,0.0,,H_image_adapter,,0.0,dfg_raw_gamma.1,,,0.0,0.0,,
,,,,,dfg_raw_gamma,0.0,,H_image_adapter,,0.0,dfg_raw_gamma.2,,,0.0,0.0,,
,,,,,m_t_w,7.856312274932861,,H_text_adapter,,2.4825899600982666,m_t_w.0.i_w,,,0.4383675744117546,5.6632609367370605,,
,,,,,m_t_w,7.919903755187988,,H_text_adapter,,2.254953384399414,m_t_w.1.i_w,,,0.3828639445240833,5.8896989822387695,,
,,,,,m_t_w,8.258273124694824,,H_text_adapter,,2.45803165435791,m_t_w.2.i_w,,,0.40296937126466803,6.09979772567749,,
,,,,,layer_norms,28.2802791595459,,H_text_adapter,,4.016751289367676,layer_norms.0.weight,,,0.14504436319136174,27.693260192871094,,
,,,,,layer_norms,3.667332410812378,,H_text_adapter,,3.332380533218384,layer_norms.0.bias,,,3.811236453231186,0.8743568062782288,,
,,,,,layer_norms,26.652225494384766,,H_text_adapter,,3.219367742538452,layer_norms.1.weight,,,0.11641114965636529,27.655149459838867,,
,,,,,layer_norms,4.626838684082031,,H_text_adapter,,4.175875663757324,layer_norms.1.bias,,,4.708593208709647,0.8868626952171326,,
,,,,,layer_norms,26.703996658325195,,H_text_adapter,,2.445124387741089,layer_norms.2.weight,,,0.08865936728738513,27.578861236572266,,
,,,,,layer_norms,3.7162024974823,,H_text_adapter,,3.2667670249938965,layer_norms.2.bias,,,3.5080642471951524,0.9312164187431335,,
,,,,,conv_lora,39.444244384765625,,H_text_adapter,,5.573676586151123,lora_adapters.0.lora_A,,,0.14182536253604588,39.29957580566406,,
,,,,,conv_lora,2.7251086235046387,,H_text_adapter,,2.1462690830230713,lora_adapters.0.lora_B,,,0.8796823213179563,2.4398229122161865,,
,,,,,conv_lora,39.33308029174805,,H_text_adapter,,3.2058284282684326,lora_adapters.1.lora_A,,,0.08156421851662737,39.30434799194336,,
,,,,,conv_lora,2.8539388179779053,,H_text_adapter,,2.048478841781616,lora_adapters.1.lora_B,,,0.831354322137423,2.4640262126922607,,
,,,,,conv_lora,39.09442901611328,,H_text_adapter,,1.7946439981460571,lora_adapters.2.lora_A,,,0.045941688458904444,39.06351852416992,,
,,,,,conv_lora,2.9295833110809326,,H_text_adapter,,1.9465737342834473,lora_adapters.2.lora_B,,,0.7855692723114736,2.477914810180664,,
,,,,,m_i_w,6.774327278137207,,A_image_adapter,,1.715455412864685,m_i_w.0.i_w,,,0.2767901643289546,6.197674751281738,,
,,,,,m_i_w,6.511789798736572,,A_image_adapter,,1.8046369552612305,m_i_w.1.i_w,,,0.30579274180190447,5.901503562927246,,
,,,,,m_i_w,5.683455944061279,,A_image_adapter,,1.8385227918624878,m_i_w.2.i_w,,,0.3024594281681737,6.078576564788818,,
,,,,,conv_lora,46.159210205078125,,A_image_adapter,,8.074740409851074,lora_adapters.0.conv_lora_blocks.0.lora_A,,,0.1776267190520286,45.459041595458984,,
,,,,,conv_lora,7.897130012512207,,A_image_adapter,,5.55988073348999,lora_adapters.0.conv_lora_blocks.0.lora_B,,,1.450115537491854,3.834095001220703,,
,,,,,conv_lora,4.639230251312256,,A_image_adapter,,1.738055944442749,lora_adapters.0.conv_lora_blocks.0.conv_lora_A.weight,,,0.41745410054102305,4.163465976715088,,
,,,,,conv_lora,5.917051315307617,,A_image_adapter,,1.8017162084579468,lora_adapters.0.conv_lora_blocks.0.conv_lora_B.weight,,,0.3263327184052635,5.521101951599121,,
,,,,,conv_lora,45.80967712402344,,A_image_adapter,,5.927292823791504,lora_adapters.0.conv_lora_blocks.1.lora_A,,,0.13036649682487383,45.46638107299805,,
