ap,arm,auroc,count,difference_l2,linear_cka_to_e1,mean,median,metric,p95,p99,parameter_count,pooled_feature_cosine_to_e1_mean,pooled_feature_cosine_to_e1_median,record,reference_l2,relative_l2,stage,value
,A_GRADBUDGET_SHORT_R1_CANDIDATE,,25673194,,,2.24649666051846e-05,5.388156587571302e-09,far_background,1.9403497475423137e-08,1.4060042019536922e-07,,,,coverage,,,,
,A_GRADBUDGET_SHORT_R1_CANDIDATE,,,,,,,near_background_gt_positive,,,,,,inversion_rate,,,,0.47975306398413375
,A_GRADBUDGET_SHORT_R1_CANDIDATE,,,,,,,near_background_gt_interior,,,,,,inversion_rate,,,,0.4704144291180239
,A_GRADBUDGET_SHORT_R1_CANDIDATE,,,40.23332576828016,,,,Conv-LoRA,,,6514176,,,parameter_drift,126.46747159582748,0.318131810975555,,
,A_GRADBUDGET_SHORT_R1_CANDIDATE,,,25.26323146310854,,,,Conv-LoRA_stage1,,,2171392,,,parameter_drift,74.2758752068334,0.34012701153313796,,
,A_GRADBUDGET_SHORT_R1_CANDIDATE,,,26.20731499052514,,,,Conv-LoRA_stage2,,,2171392,,,parameter_drift,74.0056892733952,0.3541256793610675,,
,A_GRADBUDGET_SHORT_R1_CANDIDATE,,,17.136693946189137,,,,Conv-LoRA_stage3,,,2171392,,,parameter_drift,70.71261336755995,0.24234281735726018,,
,A_GRADBUDGET_SHORT_R1_CANDIDATE,,,27.819574576710263,,,,image_projection,,,2770944,,,parameter_drift,86.7573237292431,0.3206596674596727,,
,A_GRADBUDGET_SHORT_R1_CANDIDATE,,,8.910574147727568,,,,DFG_QK,,,1179648,,,parameter_drift,77.3035106814165,0.11526739302241858,,
,A_GRADBUDGET_SHORT_R1_CANDIDATE,,,0.0,,,,SS2D,,,3550479,,,parameter_drift,87.64346845227016,0.0,,
,A_GRADBUDGET_SHORT_R1_CANDIDATE,,,,0.9402679306509332,,,stage_1,,,,0.979182779788971,0.9794331789016724,geometry,,,1,
,A_GRADBUDGET_SHORT_R1_CANDIDATE,,,,0.7641856325654998,,,stage_2,,,,0.9893920421600342,0.9894325733184814,geometry,,,2,
,A_GRADBUDGET_SHORT_R1_CANDIDATE,,,,0.6354034858678491,,,stage_3,,,,0.9896256327629089,0.9896122813224792,geometry,,,3,
,A_GRADBUDGET_SHORT_R1_CONTROL,,,,,,,activity_fraction,,,,,,gradient_telemetry,,,,0.0
,A_GRADBUDGET_SHORT_R1_CONTROL,,,,,,,alpha_median,,,,,,gradient_telemetry,,,,1.0
