attempt_index,epoch,batch,file_names,image_sha256,mask_sha256,labels,protocol_id,arm,status,global_step_before,global_step_after,scaler_before,scaler_after,base_task_loss,anchor_loss,classification_loss,segmentation_loss,natural_nonfinite_loss_skip,natural_nonfinite_grad_skip,forced_parity_skip,successful_update,selected_grad_norm_before_suppression,stage2_grad_norm_before_suppression,stage3_grad_norm_before_suppression,safe_anchor_effective_ratio,safe_anchor_max_family_ratio,parameters_finite,optimizer_state_finite
20,11,20,"[""pcb1/Data/Images/Normal/0400.JPG"",""pipe_fryum/Data/Images/Normal/013.JPG"",""capsules/Data/Images/Anomaly/096.JPG"",""macaroni2/Data/Images/Anomaly/063.JPG"",""pcb1/Data/Images/Anomaly/074.JPG"",""capsules/Data/Images/Normal/483.JPG""]",c1bf89425511663c93dc6defd8c1bf908d4b71cc8197271f2d6a4ae174034205,a8cfa52492fe1d3ec0b6cce0af05ef3bfa7f98533e9da516b962e70b420c8b7f,"[0,0,1,1,1,0]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_CONTROL,success,3627,3628,16384.0,16384.0,1.0984466075897217,0.29347068071365356,0.6724446415901184,0.42228958010673523,0,0,0,1,0.024158272943014255,0.022107822303909133,0.009739935552556426,5.555003856237689e-06,0.0999999457144034,1,1
21,11,21,"[""pcb3/Data/Images/Anomaly/036.JPG"",""pcb1/Data/Images/Anomaly/085.JPG"",""pcb4/Data/Images/Normal/0994.JPG"",""pcb3/Data/Images/Normal/0490.JPG"",""cashew/Data/Images/Anomaly/074.JPG"",""macaroni2/Data/Images/Anomaly/015.JPG""]",621146b5fdd0439018bcdf001b8f214ef31888c5ac5b39e993efb2f9f7f15bd8,70ab9553a0c48efcc64153c8f8fe157ef22094bdf2a2885ebc10994a708a6a50,"[1,1,0,0,1,1]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_CONTROL,success,3628,3629,16384.0,16384.0,1.1660888195037842,0.29349666833877563,0.6476237177848816,0.5148279666900635,0,0,0,1,0.07986046590130087,0.07873908967715393,0.013336032797873243,1.1202894994645956e-05,0.09999994569909516,1,1
22,11,22,"[""pcb1/Data/Images/Normal/0654.JPG"",""pcb2/Data/Images/Anomaly/011.JPG"",""pipe_fryum/Data/Images/Anomaly/008.JPG"",""capsules/Data/Images/Normal/469.JPG"",""pipe_fryum/Data/Images/Anomaly/029.JPG"",""fryum/Data/Images/Anomaly/077.JPG""]",313b1c4a9549c30f0d0e13018bbd986ce6d33b98cc4ae8a2fbc0a8b686de5a83,9d1eb63907e2d94ae2bac1166be649f28348bd81fdb45d2e6ee445b8e59d895b,"[0,1,1,0,1,1]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_CONTROL,success,3629,3630,16384.0,16384.0,1.0799940824508667,0.29352250695228577,0.63818359375,0.4381254315376282,0,0,0,1,0.19952599583314662,0.19607745884183908,0.0369357976404427,2.4851878393863728e-06,0.03649864946828768,1,1
23,11,23,"[""pcb2/Data/Images/Normal/0297.JPG"",""fryum/Data/Images/Normal/400.JPG"",""macaroni1/Data/Images/Normal/0690.JPG"",""pcb3/Data/Images/Normal/0923.JPG"",""macaroni2/Data/Images/Normal/0024.JPG"",""fryum/Data/Images/Normal/084.JPG""]",90a7fb50f6fb04d88f145c844e988699def33cafabb5b0e1b0ae625c159c1efb,7efd853f374f03f6cf6fe123a530bd7ad55f820b07d4ed39d0a22bf83ee0c1dc,"[0,0,0,0,0,0]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_CONTROL,success,3630,3631,16384.0,16384.0,0.7706258893013,0.29354655742645264,0.761962890625,0.00502932071685791,0,0,0,1,0.05840191187798707,0.056731283586832326,0.013868841825998892,8.180763579106208e-06,0.0999999456562091,1,1
24,11,24,"[""capsules/Data/Images/Anomaly/091.JPG"",""capsules/Data/Images/Anomaly/097.JPG"",""macaroni2/Data/Images/Normal/0490.JPG"",""candle/Data/Images/Normal/0178.JPG"",""pcb1/Data/Images/Anomaly/092.JPG"",""macaroni2/Data/Images/Anomaly/012.JPG""]",e6999aad0067221ebc2cf7051a49b70a2a2bb92104e12298dd4b4812755bb88c,2c73ceb8f2ae6733553317b3e0807a402b4c01bb6daabc1fdf36a682c47a067f,"[1,1,0,0,1,1]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_CONTROL,success,3631,3632,16384.0,16384.0,1.0530709028244019,0.2935616970062256,0.5658366084098816,0.4835413992404938,0,0,0,1,0.1996256634801651,0.19893793871701226,0.01655602787272361,7.896064396786367e-06,0.030471193006694822,1,1
25,11,25,"[""fryum/Data/Images/Anomaly/024.JPG"",""chewinggum/Data/Images/Anomaly/009.JPG"",""pipe_fryum/Data/Images/Anomaly/095.JPG"",""pcb1/Data/Images/Normal/0648.JPG"",""pcb2/Data/Images/Normal/0483.JPG"",""candle/Data/Images/Normal/0545.JPG""]",8397c593933b1c4a4965d0f9c761ae8a9af0e18fbcd1c8664e1c4e59e0eb422d,dfeb638fba626cbcb426131ec4cbcf6031586671b91ebb4e763d77da55f2b221,"[1,1,1,0,0,0]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_CONTROL,success,3632,3633,16384.0,16384.0,1.02522611618042,0.2935866713523865,0.5933430790901184,0.42819106578826904,0,0,0,1,0.11693882814398016,0.09399891027564435,0.06956216209031091,5.281540244501534e-06,0.022346123860765222,1,1
26,11,26,"[""cashew/Data/Images/Anomaly/094.JPG"",""fryum/Data/Images/Normal/143.JPG"",""pcb4/Data/Images/Anomaly/060.JPG"",""cashew/Data/Images/Anomaly/032.JPG"",""macaroni1/Data/Images/Anomaly/062.JPG"",""macaroni1/Data/Images/Anomaly/003.JPG""]",acac221e4e83405425b3de2d2cffc2bd2bed0b1aed27a83e0e5477f7a4baaa57,85eb0fcb5ec936e582568b114bd6b65bd2e6a740a535f31066753f40a95d9acc,"[1,0,1,1,1,1]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_CONTROL,success,3633,3634,16384.0,16384.0,1.4998619556427002,0.2936020791530609,0.6101887822151184,0.8859984874725342,0,0,0,1,0.2760137745576655,0.25692328679493365,0.10086638909001386,4.948257760783662e-06,0.09999995269289597,1,1
27,11,27,"[""pcb2/Data/Images/Normal/0215.JPG"",""chewinggum/Data/Images/Anomaly/032.JPG"",""pcb3/Data/Images/Anomaly/072.JPG"",""candle/Data/Images/Anomaly/054.JPG"",""pcb4/Data/Images/Anomaly/064.JPG"",""pipe_fryum/Data/Images/Anomaly/036.JPG""]",6277e96faded164577adb33a9201a8471d75bb291af5efc5d9e0f0c49dfc4221,0689a8455b4239170cf3e80ecccbe4206ec2712c3b654151ebaf71fffb09cb68,"[0,1,1,1,1,1]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_CONTROL,success,3634,3635,16384.0,16384.0,1.3248876333236694,0.2936221659183502,0.6162922978401184,0.7049561142921448,0,0,0,1,0.15239385549307344,0.1519897192204367,0.011091097481158644,6.369700388061937e-06,0.09999994552270414,1,1
28,11,28,"[""cashew/Data/Images/Normal/181.JPG"",""macaroni1/Data/Images/Anomaly/020.JPG"",""capsules/Data/Images/Normal/046.JPG"",""candle/Data/Images/Anomaly/013.JPG"",""chewinggum/Data/Images/Anomaly/079.JPG"",""macaroni1/Data/Images/Anomaly/000.JPG""]",591243a454f9008339c1ad3cfc04189d5f1589a6c78957744fe2d14923546d5b,98a214900b7e8017728331fb2f3949db3ea7cec768bb7b2bf2f16d33682c52bd,"[0,1,0,1,1,1]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_CONTROL,success,3635,3636,16384.0,16384.0,1.1589720249176025,0.2936524450778961,0.6881510615348816,0.46706756949424744,0,0,0,1,0.05577720917236658,0.054636748247569165,0.011221533049885938,7.044193074953258e-06,0.09999994545795497,1,1
29,11,29,"[""pipe_fryum/Data/Images/Anomaly/055.JPG"",""pcb4/Data/Images/Normal/0525.JPG"",""pcb2/Data/Images/Normal/0705.JPG"",""pcb4/Data/Images/Normal/0490.JPG"",""pcb2/Data/Images/Anomaly/042.JPG"",""pcb1/Data/Images/Anomaly/047.JPG""]",6086cc99bf55d84b49c4ea07055b3396e534b90a1b0498bd928a856e2f3b47ec,81d09bf99e6fe47b3615f664f3ca29cdf8ee0c5c297dfb5f76eb0b3c85d77c4c,"[1,0,0,0,1,1]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_CONTROL,success,3636,3637,16384.0,16384.0,1.1352946758270264,0.2936896085739136,0.6394856572151184,0.4922274649143219,0,0,0,1,0.8538921098473737,0.8505419522159919,0.07556535436434239,3.924052394620953e-06,0.0999999526925296,1,1
