K_per_anomalous_sample,anchor_loss,anomaly_sample_count,arm,attempt_index,batch,consecutive_nonfinite_grad_skips,epoch,existing_task_loss,file_names,global_step_after,global_step_before,hard_background_max,hard_background_mean,image_sha256,labels,mask_sha256,nonfinite_grad_skip,nonfinite_loss_skip,optimizer_state_finite,paired_control_skip,parameters_finite,safe_anchor_effective_ratio,safe_anchor_max_family_ratio,status,successful_step,thbr_enabled,thbr_grad_norm,thbr_raw,thbr_weighted,total_loss,violation_fraction,weak_anomaly_mean,weak_anomaly_min
"[283, 182, 484]",0.2933625280857086,3,A_THBR_R1_CONTROL,20,20,,11,1.0982098579406738,"[""pcb1/Data/Images/Normal/0400.JPG"",""pipe_fryum/Data/Images/Normal/013.JPG"",""capsules/Data/Images/Anomaly/096.JPG"",""macaroni2/Data/Images/Anomaly/063.JPG"",""pcb1/Data/Images/Anomaly/074.JPG"",""capsules/Data/Images/Normal/483.JPG""]",3628,3627,0.9999932050704956,0.33184969812405996,c1bf89425511663c93dc6defd8c1bf908d4b71cc8197271f2d6a4ae174034205,"[0,0,1,1,1,0]",a8cfa52492fe1d3ec0b6cce0af05ef3bfa7f98533e9da516b962e70b420c8b7f,0,0,1,0,1,4.839984337322693e-06,0.09999994564409392,success,1,False,,0.7113479375839233,0.0,1.0982098579406738,0.6109229127566019,0.3027233038293768,1.2430347418046495e-08
"[827, 416, 75, 90]",0.29338452219963074,4,A_THBR_R1_CONTROL,21,21,,11,1.1668291091918945,"[""pcb3/Data/Images/Anomaly/036.JPG"",""pcb1/Data/Images/Anomaly/085.JPG"",""pcb4/Data/Images/Normal/0994.JPG"",""pcb3/Data/Images/Normal/0490.JPG"",""cashew/Data/Images/Anomaly/074.JPG"",""macaroni2/Data/Images/Anomaly/015.JPG""]",3629,3628,0.999962568283081,0.28338879781367154,621146b5fdd0439018bcdf001b8f214ef31888c5ac5b39e993efb2f9f7f15bd8,"[1,1,0,0,1,1]",70ab9553a0c48efcc64153c8f8fe157ef22094bdf2a2885ebc10994a708a6a50,0,0,1,0,1,1.3897088867206838e-05,0.0999999456267059,success,1,False,,0.7673897743225098,0.0,1.1668291091918945,0.6996885389089584,0.2183686401302356,6.299393451314472e-09
"[3917, 650, 1110, 525]",0.29340577125549316,4,A_THBR_R1_CONTROL,22,22,,11,1.0819919109344482,"[""pcb1/Data/Images/Normal/0654.JPG"",""pcb2/Data/Images/Anomaly/011.JPG"",""pipe_fryum/Data/Images/Anomaly/008.JPG"",""capsules/Data/Images/Normal/469.JPG"",""pipe_fryum/Data/Images/Anomaly/029.JPG"",""fryum/Data/Images/Anomaly/077.JPG""]",3630,3629,0.9999990463256836,0.13562129220326824,313b1c4a9549c30f0d0e13018bbd986ce6d33b98cc4ae8a2fbc0a8b686de5a83,"[0,1,1,0,1,1]",9d1eb63907e2d94ae2bac1166be649f28348bd81fdb45d2e6ee445b8e59d895b,0,0,1,0,1,2.2844815016974503e-06,0.035578228465995496,success,1,False,,0.640992283821106,0.0,1.0819919109344482,0.3942052535712719,0.32582666238886304,9.680763746189314e-09
[],0.2934253513813019,0,A_THBR_R1_CONTROL,23,23,,11,0.7670480012893677,"[""pcb2/Data/Images/Normal/0297.JPG"",""fryum/Data/Images/Normal/400.JPG"",""macaroni1/Data/Images/Normal/0690.JPG"",""pcb3/Data/Images/Normal/0923.JPG"",""macaroni2/Data/Images/Normal/0024.JPG"",""fryum/Data/Images/Normal/084.JPG""]",3631,3630,,,90a7fb50f6fb04d88f145c844e988699def33cafabb5b0e1b0ae625c159c1efb,"[0,0,0,0,0,0]",7efd853f374f03f6cf6fe123a530bd7ad55f820b07d4ed39d0a22bf83ee0c1dc,0,0,1,0,1,7.847423961189692e-06,0.0999999622986331,success,1,False,,0.0,0.0,0.7670480012893677,,,
"[137, 256, 1265, 74]",0.29343488812446594,4,A_THBR_R1_CONTROL,24,24,,11,1.0533781051635742,"[""capsules/Data/Images/Anomaly/091.JPG"",""capsules/Data/Images/Anomaly/097.JPG"",""macaroni2/Data/Images/Normal/0490.JPG"",""candle/Data/Images/Normal/0178.JPG"",""pcb1/Data/Images/Anomaly/092.JPG"",""macaroni2/Data/Images/Anomaly/012.JPG""]",3632,3631,0.9992606043815613,0.21051816921681166,e6999aad0067221ebc2cf7051a49b70a2a2bb92104e12298dd4b4812755bb88c,"[1,1,0,0,1,1]",2c73ceb8f2ae6733553317b3e0807a402b4c01bb6daabc1fdf36a682c47a067f,0,0,1,0,1,7.589159503791513e-06,0.02961974271278876,success,1,False,,0.6944959759712219,0.0,1.0533781051635742,0.6008822619915009,0.2634896845338517,5.602796449011294e-09
"[48, 1921, 24110]",0.2934558689594269,3,A_THBR_R1_CONTROL,25,25,,11,1.0258634090423584,"[""fryum/Data/Images/Anomaly/024.JPG"",""chewinggum/Data/Images/Anomaly/009.JPG"",""pipe_fryum/Data/Images/Anomaly/095.JPG"",""pcb1/Data/Images/Normal/0648.JPG"",""pcb2/Data/Images/Normal/0483.JPG"",""candle/Data/Images/Normal/0545.JPG""]",3633,3632,0.996936559677124,0.0667768895921957,8397c593933b1c4a4965d0f9c761ae8a9af0e18fbcd1c8664e1c4e59e0eb422d,"[1,1,1,0,0,0]",dfeb638fba626cbcb426131ec4cbcf6031586671b91ebb4e763d77da55f2b221,0,0,1,0,1,4.836638050523821e-06,0.022519614626532857,success,1,False,,0.6261837482452393,0.0,1.0258634090423584,0.4840058982372284,0.2682260165232151,8.543244334191513e-09
"[85764, 3301, 2430, 140, 89]",0.29347047209739685,5,A_THBR_R1_CONTROL,26,26,,11,1.504017949104309,"[""cashew/Data/Images/Anomaly/094.JPG"",""fryum/Data/Images/Normal/143.JPG"",""pcb4/Data/Images/Anomaly/060.JPG"",""cashew/Data/Images/Anomaly/032.JPG"",""macaroni1/Data/Images/Anomaly/062.JPG"",""macaroni1/Data/Images/Anomaly/003.JPG""]",3634,3633,0.999970555305481,0.09564961213036441,acac221e4e83405425b3de2d2cffc2bd2bed0b1aed27a83e0e5477f7a4baaa57,"[1,0,1,1,1,1]",85eb0fcb5ec936e582568b114bd6b65bd2e6a740a535f31066753f40a95d9acc,0,0,1,0,1,4.778659917930429e-06,0.09999995269289597,success,1,False,,0.6312882304191589,0.0,1.504017949104309,0.5319950357079506,0.278799195351894,4.7550319237643635e-09
"[1090, 421, 12, 6208, 82]",0.29349127411842346,5,A_THBR_R1_CONTROL,27,27,,11,1.3267995119094849,"[""pcb2/Data/Images/Normal/0215.JPG"",""chewinggum/Data/Images/Anomaly/032.JPG"",""pcb3/Data/Images/Anomaly/072.JPG"",""candle/Data/Images/Anomaly/054.JPG"",""pcb4/Data/Images/Anomaly/064.JPG"",""pipe_fryum/Data/Images/Anomaly/036.JPG""]",3635,3634,0.999987006187439,0.1894211833082636,6277e96faded164577adb33a9201a8471d75bb291af5efc5d9e0f0c49dfc4221,"[0,1,1,1,1,1]",0689a8455b4239170cf3e80ecccbe4206ec2712c3b654151ebaf71fffb09cb68,0,0,1,0,1,5.307981781137477e-06,0.09999994547507675,success,1,False,,0.7407525777816772,0.0,1.3267995119094849,0.7503219574689866,0.1532798281668562,5.388156587571302e-09
"[384, 261, 898, 181]",0.2935195565223694,4,A_THBR_R1_CONTROL,28,28,,11,1.1594947576522827,"[""cashew/Data/Images/Normal/181.JPG"",""macaroni1/Data/Images/Anomaly/020.JPG"",""capsules/Data/Images/Normal/046.JPG"",""candle/Data/Images/Anomaly/013.JPG"",""chewinggum/Data/Images/Anomaly/079.JPG"",""macaroni1/Data/Images/Anomaly/000.JPG""]",3636,3635,0.9999997615814209,0.2753615624410486,591243a454f9008339c1ad3cfc04189d5f1589a6c78957744fe2d14923546d5b,"[0,1,0,1,1,1]",98a214900b7e8017728331fb2f3949db3ea7cec768bb7b2bf2f16d33682c52bd,0,0,1,0,1,7.900416168934191e-06,0.09999994541537367,success,1,False,,0.6923069953918457,0.0,1.1594947576522827,0.574795413762331,0.35105500029923853,8.67778116031559e-09
"[107, 5039, 533]",0.29355594515800476,3,A_THBR_R1_CONTROL,29,29,,11,1.1271404027938843,"[""pipe_fryum/Data/Images/Anomaly/055.JPG"",""pcb4/Data/Images/Normal/0525.JPG"",""pcb2/Data/Images/Normal/0705.JPG"",""pcb4/Data/Images/Normal/0490.JPG"",""pcb2/Data/Images/Anomaly/042.JPG"",""pcb1/Data/Images/Anomaly/047.JPG""]",3637,3636,0.9999583959579468,0.292530595356709,6086cc99bf55d84b49c4ea07055b3396e534b90a1b0498bd928a856e2f3b47ec,"[1,0,0,0,1,1]",81d09bf99e6fe47b3615f664f3ca29cdf8ee0c5c297dfb5f76eb0b3c85d77c4c,0,0,1,0,1,4.036037456461765e-06,0.09999995269189269,success,1,False,,0.6799396276473999,0.0,1.1271404027938843,0.7690796852111816,0.32212548456262624,5.559194882209795e-09
