arm,background_count,category,far_background_count,file_name,near_background_count,near_background_fraction_of_background,top_background_1pct_count,top_background_1pct_far_fraction,top_background_1pct_near_fraction,top_background_1pct_near_score_mass_fraction
A_SAFE_ANCHOR_E10,268298,fryum,268184,fryum/Data/Images/Anomaly/033.JPG,114,0.0004249006701503552,2683,0.9575102497204622,0.04248975027953783,0.1823280155658722
A_SAFE_ANCHOR_E10,267706,fryum,266839,fryum/Data/Images/Anomaly/004.JPG,867,0.0032386274495155134,2678,0.7206870799103808,0.2793129200896191,0.6971198916435242
A_SAFE_ANCHOR_E10,267913,fryum,267428,fryum/Data/Images/Anomaly/019.JPG,485,0.001810289161033619,2680,0.9149253731343283,0.08507462686567165,0.1501622349023819
A_SAFE_ANCHOR_E10,267790,pcb1,267394,pcb1/Data/Images/Anomaly/070.JPG,396,0.0014787706785167481,2678,0.8521284540702017,0.14787154592979837,0.7472066283226013
A_SAFE_ANCHOR_E10,266916,pcb1,265178,pcb1/Data/Images/Anomaly/071.JPG,1738,0.006511411829939007,2670,0.4951310861423221,0.5048689138576778,0.9960262775421143
A_SAFE_ANCHOR_E10,267794,pcb1,267394,pcb1/Data/Images/Anomaly/017.JPG,400,0.0014936854447821833,2678,0.8506348020911128,0.14936519790888722,0.5106393694877625
A_SAFE_ANCHOR_E10,268078,pcb1,267688,pcb1/Data/Images/Anomaly/072.JPG,390,0.001454800468520356,2681,0.9015292801193584,0.09847071988064156,0.43233585357666016
A_LATE_CONVLORA_FREEZE_R1,267821,candle,267369,candle/Data/Images/Anomaly/026.JPG,452,0.0016876943928967481,2679,0.8312803284807764,0.1687196715192236,0.7893758416175842
A_LATE_CONVLORA_FREEZE_R1,267657,candle,266993,candle/Data/Images/Anomaly/023.JPG,664,0.0024807869773628187,2677,0.7612999626447516,0.23870003735524842,0.803276777267456
A_LATE_CONVLORA_FREEZE_R1,268312,candle,268222,candle/Data/Images/Anomaly/045.JPG,90,0.0003354303944661439,2684,0.966467958271237,0.03353204172876304,0.176527738571167
A_LATE_CONVLORA_FREEZE_R1,267895,candle,267457,candle/Data/Images/Anomaly/033.JPG,438,0.0016349689243920192,2679,1.0,0.0,0.0
A_LATE_CONVLORA_FREEZE_R1,267862,pcb3,267248,pcb3/Data/Images/Anomaly/070.JPG,614,0.0022922251009848357,2679,0.8305337812616648,0.1694662187383352,0.70454341173172
A_LATE_CONVLORA_FREEZE_R1,261361,pcb3,259337,pcb3/Data/Images/Anomaly/043.JPG,2024,0.007744078114179239,2614,1.0,0.0,0.0
A_LATE_CONVLORA_FREEZE_R1,267730,pcb3,266764,pcb3/Data/Images/Anomaly/084.JPG,966,0.0036081126508049153,2678,0.6736370425690814,0.3263629574309186,0.923798143863678
A_LATE_CONVLORA_FREEZE_R1,267369,pcb3,265793,pcb3/Data/Images/Anomaly/082.JPG,1576,0.005894475425348489,2674,0.5482423335826477,0.45175766641735227,0.8908187747001648
A_LATE_CONVLORA_FREEZE_R1,268042,capsules,267673,capsules/Data/Images/Anomaly/096.JPG,369,0.0013766499279963588,2681,0.8623647892577396,0.13763521074226034,0.6082836985588074
A_LATE_CONVLORA_FREEZE_R1,267050,capsules,266067,capsules/Data/Images/Anomaly/085.JPG,983,0.0036809586219809023,2671,0.6506926244852115,0.34930737551478847,0.8533719182014465
A_LATE_CONVLORA_FREEZE_R1,264068,capsules,263114,capsules/Data/Images/Anomaly/073.JPG,954,0.0036127058181983428,2641,0.6891329042029535,0.3108670957970466,0.8524601459503174
A_LATE_CONVLORA_FREEZE_R1,268143,capsules,267921,capsules/Data/Images/Anomaly/024.JPG,222,0.0008279164475671563,2682,0.9172259507829977,0.08277404921700224,0.5203776955604553
A_LATE_CONVLORA_FREEZE_R1,267648,pipe_fryum,267209,pipe_fryum/Data/Images/Anomaly/014.JPG,439,0.001640214012434242,2677,0.8360104594695554,0.16398954053044454,0.6793700456619263
A_LATE_CONVLORA_FREEZE_R1,268078,pipe_fryum,267779,pipe_fryum/Data/Images/Anomaly/021.JPG,299,0.0011153470258656064,2681,0.8884744498321522,0.11152555016784782,0.6161285638809204
A_LATE_CONVLORA_FREEZE_R1,266969,pipe_fryum,266327,pipe_fryum/Data/Images/Anomaly/019.JPG,642,0.0024047735879446676,2670,0.7752808988764045,0.2247191011235955,0.7426472306251526
A_LATE_CONVLORA_FREEZE_R1,267583,pipe_fryum,265310,pipe_fryum/Data/Images/Anomaly/084.JPG,2273,0.008494560566254208,2676,0.49177877428998507,0.5082212257100149,0.8748248219490051
A_LATE_CONVLORA_FREEZE_R1,266292,pcb4,265194,pcb4/Data/Images/Anomaly/048.JPG,1098,0.004123293226983913,2663,0.9752159218926023,0.02478407810739767,0.021647760644555092
A_LATE_CONVLORA_FREEZE_R1,266865,pcb4,266193,pcb4/Data/Images/Anomaly/041.JPG,672,0.0025181271429374403,2669,0.8235294117647058,0.17647058823529413,0.5996171236038208
A_LATE_CONVLORA_FREEZE_R1,267558,pcb4,266733,pcb4/Data/Images/Anomaly/058.JPG,825,0.00308344358980109,2676,0.8075485799701047,0.19245142002989538,0.7122334241867065
A_LATE_CONVLORA_FREEZE_R1,267365,pcb4,266915,pcb4/Data/Images/Anomaly/093.JPG,450,0.0016830924017728574,2674,1.0,0.0,0.0
A_LATE_CONVLORA_FREEZE_R1,267999,macaroni2,267632,macaroni2/Data/Images/Anomaly/052.JPG,367,0.001369408094806324,2680,0.8630597014925373,0.1369402985074627,0.2334199994802475
A_LATE_CONVLORA_FREEZE_R1,268221,macaroni2,268034,macaroni2/Data/Images/Anomaly/016.JPG,187,0.0006971862754966986,2683,0.9303019008572494,0.06969809914275066,0.4629116952419281
A_LATE_CONVLORA_FREEZE_R1,268198,macaroni2,268005,macaroni2/Data/Images/Anomaly/017.JPG,193,0.0007196175959552271,2682,0.9280387770320656,0.07196122296793438,0.43341755867004395
A_LATE_CONVLORA_FREEZE_R1,268289,macaroni2,268163,macaroni2/Data/Images/Anomaly/034.JPG,126,0.00046964281055130846,2683,0.9530376444278792,0.04696235557212076,0.1882883906364441
A_LATE_CONVLORA_FREEZE_R1,258678,pcb2,254959,pcb2/Data/Images/Anomaly/044.JPG,3719,0.014376947401789096,2587,0.799768071124855,0.20023192887514496,0.22051145136356354
A_LATE_CONVLORA_FREEZE_R1,267863,pcb2,267406,pcb2/Data/Images/Anomaly/063.JPG,457,0.001706096026700216,2679,0.8764464352370287,0.12355356476297126,0.6402812600135803
