method,image_path,teacher_norm_l2,student_norm_l2,student_to_teacher_norm_ratio,directional_cosine,sign_agreement,score_delta_abs_mean_global,score_delta_abs_mean_normal,score_delta_abs_mean_anomaly
p30,candle/Data/Images/Anomaly/041.JPG,13.840042078739392,23.0354891487374,1.664408895412518,0.8365778116331535,0.13580246913580246,6.008490345266182e-06,4.5454135033651255e-06,0.0044656675308942795
p30,candle/Data/Images/Anomaly/039.JPG,6.3178640483083175,13.295208607023405,2.1043834601954363,-0.17389523951952052,0.0,2.096790074901378e-09,2.0942056977446555e-09,3.1744780137898942e-09
p30,candle/Data/Images/Normal/0306.JPG,77.32048800295263,13.274944831358274,0.17168728721488857,0.9992684054192803,1.0,2.200998938661769e-09,2.200998938661769e-09,
p30,candle/Data/Images/Anomaly/003.JPG,13.992788489018466,136.09609448005085,9.72615962764384,0.772926673644469,0.09876543209876543,0.09356816112995148,0.0925019234418869,0.9647579789161682
p30,candle/Data/Images/Normal/0768.JPG,77.32048800295263,13.048519570376062,0.16875888794025432,0.9991420787251262,1.0,2.066760318442107e-09,2.066760318442107e-09,
p30,candle/Data/Images/Normal/0457.JPG,77.32048800295263,12.953581853840229,0.1675310411044686,0.9986313921559363,1.0,2.1361239443962177e-09,2.1361239443962177e-09,
p30,candle/Data/Images/Normal/0615.JPG,77.32048800295263,12.960970953928545,0.16762660568611007,0.9988341893937996,1.0,2.1471928679517305e-09,2.1471928679517305e-09,
p30,candle/Data/Images/Normal/0619.JPG,77.32048800295263,12.956040933844893,0.16756284483551295,0.9991192360318458,1.0,2.1627482027497535e-09,2.1627482027497535e-09,
p30,candle/Data/Images/Anomaly/024.JPG,15.608516715868735,41.81488453108832,2.6789787455316825,0.8450767459658798,0.12345679012345678,0.0034371004439890385,0.0023885236587375402,0.8654507994651794
p30,candle/Data/Images/Normal/0690.JPG,77.32048800295263,13.05854894536267,0.1688885996796089,0.9994667159586962,1.0,2.1631303415148295e-09,2.1631303415148295e-09,
p30,candle/Data/Images/Anomaly/005.JPG,14.884300517629896,136.71767679784017,9.185361222443957,0.33353130730799385,0.1111111111111111,0.09099573642015457,0.09018751978874207,0.5595887899398804
p30,candle/Data/Images/Normal/0730.JPG,77.32048800295263,6.877520594591946,0.08894823056897047,0.7980497121489255,0.9753086419753086,1.1766153384940026e-08,1.1766153384940026e-08,
p30,candle/Data/Images/Normal/0479.JPG,77.32048800295263,13.136063391117085,0.1698911081706502,0.9993148911986321,1.0,2.1967552221724418e-09,2.1967552221724418e-09,
p30,candle/Data/Images/Normal/0286.JPG,77.32048800295263,13.149419728483654,0.1700638481223957,0.9992201587488708,1.0,2.1637107661121036e-09,2.1637107661121036e-09,
p30,candle/Data/Images/Normal/0159.JPG,77.32048800295263,13.010210322793068,0.16826342744107162,0.9985696441436512,1.0,2.2117516706998686e-09,2.2117516706998686e-09,
p30,candle/Data/Images/Normal/0764.JPG,77.32048800295263,13.212692890700529,0.1708821714911574,0.9992855703901394,1.0,2.0971795411384164e-09,2.0971795411384164e-09,
p30,candle/Data/Images/Anomaly/064.JPG,19.108727397734754,137.3404246590412,7.187314037214337,0.8036843563067304,0.2716049382716049,0.08602093905210495,0.08383060246706009,0.5616493821144104
p30,candle/Data/Images/Normal/0797.JPG,77.32048800295263,13.077615499825404,0.16913519091247858,0.9992236126224756,1.0,2.130987386550487e-09,2.130987386550487e-09,
p30,candle/Data/Images/Anomaly/056.JPG,71.13484666581954,45.257759906221494,0.6362248887501708,-0.2423307270701761,0.7530864197530864,0.0030186602380126715,0.0030055390670895576,0.4431048333644867
p30,candle/Data/Images/Anomaly/063.JPG,17.92900011374345,145.33812495524492,8.106315133761207,0.966942073970888,0.16049382716049382,0.07832807302474976,0.07418279349803925,0.6472264528274536
p30,candle/Data/Images/Normal/0107.JPG,77.32048800295263,9.92030369564418,0.1283011004181111,0.550770895306742,0.9629629629629629,4.665517394641938e-08,4.665517394641938e-08,
p30,candle/Data/Images/Anomaly/025.JPG,15.915698105126685,77.78304912704554,4.887190534356169,0.9280180281053078,0.13580246913580246,0.03055666573345661,0.02929840423166752,0.9568265080451965
p30,candle/Data/Images/Normal/0488.JPG,77.32048800295263,12.581598227698871,0.16272010889556748,0.9982031483595444,1.0,2.1692549978524767e-09,2.1692549978524767e-09,
p30,candle/Data/Images/Normal/0545.JPG,77.32048800295263,12.986804428837893,0.16796071473762514,0.9993526191518508,1.0,2.185191361192551e-09,2.185191361192551e-09,
p30,candle/Data/Images/Anomaly/031.JPG,14.110447795274197,6.04342863276373,0.42829460272605707,-0.30658469252189197,0.0,8.727401912267396e-09,7.527844125831962e-09,7.775518611197185e-07
p30,candle/Data/Images/Normal/0024.JPG,77.32048800295263,13.061870578414396,0.16893155896682396,0.999079236650739,1.0,2.1880064426937906e-09,2.1880064426937906e-09,
p30,candle/Data/Images/Normal/0629.JPG,77.32048800295263,12.986758912080731,0.16796012606108754,0.9994569249672177,1.0,2.1541670669478208e-09,2.1541670669478208e-09,
p30,candle/Data/Images/Normal/0967.JPG,77.32048800295263,9.622241890531608,0.12444621262819971,0.6192017036247174,0.9382716049382716,1.0896759050638138e-08,1.0896759050638138e-08,
p30,candle/Data/Images/Normal/0755.JPG,77.32048800295263,13.111564565257043,0.16957426037916823,0.9991144078623653,1.0,2.1350856638235882e-09,2.1350856638235882e-09,
p30,candle/Data/Images/Anomaly/034.JPG,19.195053700379564,35.39839240324675,1.8441413582785018,0.8645967425864745,0.16049382716049382,0.0007926886319182813,0.0005066588637419045,0.11539986729621887
p30,candle/Data/Images/Normal/0187.JPG,77.32048800295263,13.147024002765649,0.17003286376391732,0.999413025706637,1.0,2.142150234973883e-09,2.142150234973883e-09,
p30,candle/Data/Images/Normal/0617.JPG,77.32048800295263,45.034342898424185,0.5824373857638413,-0.12754462984692438,0.8888888888888888,0.0056003094650805,0.0056003094650805,
p30,candle/Data/Images/Anomaly/093.JPG,16.191552952506203,127.32283982389242,7.8635347824486965,0.7858258923358582,0.12345679012345678,0.07252275198698044,0.07065249234437943,0.8219054341316223
p30,candle/Data/Images/Anomaly/070.JPG,16.856206003622,116.8200786654383,6.930389830329342,0.18790668618915357,0.09876543209876543,0.06500673294067383,0.06412704288959503,0.8206716775894165
p30,candle/Data/Images/Anomaly/057.JPG,12.677717322457315,31.907398498375567,2.516809429238084,0.7346686413648913,0.1111111111111111,6.555538129759952e-05,6.2751212681178e-05,0.03015965223312378
p30,candle/Data/Images/Anomaly/022.JPG,17.646845494859758,75.39372343024324,4.272362641368636,0.9535703916561584,0.19753086419753085,0.024073727428913116,0.02282208390533924,0.9878945350646973
p30,candle/Data/Images/Anomaly/036.JPG,7.378404635005414,12.345133104848742,1.673143953949021,-0.07534006838356909,0.012345679012345678,2.004348464978989e-09,2.001883547819716e-09,3.958365191181201e-09
p30,candle/Data/Images/Anomaly/040.JPG,10.228896849117316,68.32526594937842,6.679631924851645,-0.16271509627843045,0.04938271604938271,0.018217122182250023,0.01810739003121853,0.9995712041854858
p30,candle/Data/Images/Anomaly/061.JPG,18.076592135021404,146.47497794710537,8.10301946589403,0.6170141250768296,0.09876543209876543,0.08579227328300476,0.08395028859376907,0.43448150157928467
p30,candle/Data/Images/Normal/0394.JPG,77.32048800295263,12.492077339268066,0.16156231888747305,0.9985399755363707,1.0,2.2036723557050664e-09,2.2036723557050664e-09,
p30,candle/Data/Images/Normal/0011.JPG,77.32048800295263,13.26237246874306,0.17152468655185688,0.9993359788913765,1.0,2.130720933024577e-09,2.130720933024577e-09,
p30,candle/Data/Images/Anomaly/001.JPG,12.81668097899644,126.43827770391367,9.865134188103506,0.40521393142814427,0.07407407407407407,0.07181068509817123,0.07074941694736481,0.5591970682144165
p30,candle/Data/Images/Normal/0900.JPG,77.32048800295263,13.294501333503211,0.1719402150306596,0.9993439771055721,1.0,2.1375023973035923e-09,2.1375023973035923e-09,
p30,candle/Data/Images/Normal/0952.JPG,77.32048800295263,13.183105175585942,0.17049950816506124,0.9993575701059934,1.0,2.2256285703292633e-09,2.2256285703292633e-09,
p30,candle/Data/Images/Normal/0484.JPG,77.32048800295263,13.132866765954448,0.16984976563330725,0.9992515268332021,1.0,2.1657724502688325e-09,2.1657724502688325e-09,
p30,candle/Data/Images/Normal/0427.JPG,77.32048800295263,11.12149921252552,0.14383638153060835,0.6816456706348978,0.9382716049382716,7.644096022829672e-09,7.644096022829672e-09,
p30,candle/Data/Images/Normal/0694.JPG,77.32048800295263,7.313706421120401,0.09458950156705055,0.9277006861803152,1.0,1.5126115471275625e-08,1.5126115471275625e-08,
p30,candle/Data/Images/Anomaly/066.JPG,21.057993518342823,143.1111962218907,6.796050919914661,0.8949714255670794,0.18518518518518517,0.09046030044555664,0.0840679183602333,0.7960758805274963
p30,candle/Data/Images/Normal/0016.JPG,77.32048800295263,13.155705355770666,0.17014514128866193,0.9992501562512273,1.0,2.1739556821387396e-09,2.1739556821387396e-09,
p30,candle/Data/Images/Anomaly/083.JPG,14.608010789708185,139.78355348408823,9.568965651543074,0.6746973994489985,0.09876543209876543,0.08094970136880875,0.08028805255889893,0.8200298547744751
p30,candle/Data/Images/Normal/0100.JPG,77.32048800295263,13.141338038291702,0.16995932614638792,0.9992882823055518,1.0,2.1091268731510127e-09,2.1091268731510127e-09,
p30,candle/Data/Images/Normal/0520.JPG,77.32048800295263,13.28713996616411,0.1718450091217313,0.999373759322923,1.0,2.1298895980237376e-09,2.1298895980237376e-09,
p30,candle/Data/Images/Anomaly/088.JPG,19.145770745549417,243.93453684147786,12.740909733194332,-0.1731042485190858,0.07407407407407407,0.14808416366577148,0.14568646252155304,0.41992202401161194
p30,candle/Data/Images/Anomaly/038.JPG,9.529610785965122,17.591251179890026,1.8459569414731822,0.6483990312686955,0.037037037037037035,2.4037051460368275e-08,1.9911748694312337e-08,3.2470779842697084e-06
