epoch,method,n_images,pixel_auroc,pixel_ap,image_auroc,image_ap,recomputed,source,checkpoint_sha256,config_sha256,evaluator_git_sha,evaluator_sha256,evaluation_seconds
16,A05,96,0.9640327313577209,0.5423272221865045,0.9835069444444444,0.9860975174351163,True,new_anchor_checkpoint,2d030907f5234ca7367fadf4f3f4f83a9b8f5d792e65e1abbe23f54a32a354a9,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,36.28287745406851
18,P,96,0.9692251299971568,0.48556153984230804,0.9709201388888888,0.9768491037042383,False,frozen_SOURCE_BOUNDED_METRICS.csv,562cdd488c6cc1ae5e7e51f5ed2768f4a9ebfe838a8bfd78bb914601d095283d,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,
18,C_OLD_0,96,0.9569664721157103,0.36762411828863056,0.9939236111111112,0.9946653189577717,False,frozen_SOURCE_BOUNDED_METRICS.csv,8073f9f2922c02147603b0ef60c5a71a1896a319e08610e7ca770e3142167939,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,
18,C_OLD_05,96,0.9568007997639306,0.36764893164199075,0.9939236111111112,0.9946653189577717,False,frozen_SOURCE_BOUNDED_METRICS.csv,8073f9f2922c02147603b0ef60c5a71a1896a319e08610e7ca770e3142167939,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,
18,A0,96,0.9684995872272184,0.5139898163693117,0.9787326388888888,0.9817828032099363,True,new_anchor_checkpoint,25779178f390b1bc9fc22d97a520bf43504fc805d21b68fe17e1986637b55050,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,35.289336409885436
18,A05,96,0.9683533477998791,0.5139919176649518,0.9787326388888888,0.9817828032099363,True,new_anchor_checkpoint,25779178f390b1bc9fc22d97a520bf43504fc805d21b68fe17e1986637b55050,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,35.289336409885436
20,P,96,0.9610675116753277,0.47466737499420975,0.9839409722222222,0.9862724224800008,False,frozen_SOURCE_BOUNDED_METRICS.csv,c394eb6bdc2a2456495fe4e94ee7648a54608e7de9a356aa36ae9627bcd6d4fd,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,
20,C_OLD_0,96,0.9597833100867541,0.5489931900084172,0.9978298611111112,0.9980345911949685,False,frozen_SOURCE_BOUNDED_METRICS.csv,76420eb30b6f125be71fd44a56045d35fa08236d8d6dcf3904e7319b56905a4e,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,
20,C_OLD_05,96,0.9598483967623433,0.5490750703135155,0.9978298611111112,0.9980345911949685,False,frozen_SOURCE_BOUNDED_METRICS.csv,76420eb30b6f125be71fd44a56045d35fa08236d8d6dcf3904e7319b56905a4e,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,
20,A0,96,0.9713990943650904,0.5380940796113636,0.9917534722222222,0.9926053839044036,True,new_anchor_checkpoint,91f121852b6c20b8dddf31225518db10f79219b61e8b326e3afe37d06b4dbde6,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,34.919629600364715
20,A05,96,0.9711176169271775,0.5379383128662353,0.9917534722222222,0.9926053839044036,True,new_anchor_checkpoint,91f121852b6c20b8dddf31225518db10f79219b61e8b326e3afe37d06b4dbde6,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,34.919629600364715
