model,class,AUROC,AP,normalized_AP,Brier,occupancy_Spearman
M1_E_Credibility,pcb2,0.9130152626591403,0.41971401639760814,0.41603705468201935,0.08810215987659527,0.07309367657979529
M1_E_Credibility,pcb3,0.9360147374578447,0.5060460030045117,0.5029081182917453,0.12526126192032785,0.09337592379953906
M1_E_Credibility,pcb4,0.9532614517877113,0.48760579234423207,0.4807043455669362,0.11497752741526465,0.10062473692585096
M1_E_Credibility,pipe_fryum,0.9526110152184348,0.5996168781221433,0.5923856183592147,0.05751330837468124,0.08750199756895662
M2_E_Credibility_S9_R9,candle,0.9569992761580585,0.6487314714989357,0.6473054933438285,0.05224755781448349,0.056529238739406906
M2_E_Credibility_S9_R9,capsules,0.9437263941064105,0.6638797476243655,0.6616849628003116,0.10942066666045111,0.06135735626930329
M2_E_Credibility_S9_R9,cashew,0.9563991063915559,0.6222550662182831,0.6163760075168243,0.07862436150310738,0.08306829182366637
M2_E_Credibility_S9_R9,chewinggum,0.9739507282426896,0.8559734378332228,0.8542041499918775,0.08334060586737377,0.07174535118922225
M2_E_Credibility_S9_R9,fryum,0.9441658661560646,0.46141011951019795,0.4424392051008462,0.07937679092351459,0.07091154412556208
M2_E_Credibility_S9_R9,macaroni1,0.9491620287322124,0.5519267888888557,0.5508588894624131,0.05365610665646768,0.039482935584452365
M2_E_Credibility_S9_R9,macaroni2,0.9543795836898433,0.43219107115357897,0.4310190285388818,0.05917166959156833,0.02714543379464959
M2_E_Credibility_S9_R9,pcb1,0.9120209081291203,0.38342283183477716,0.3780322936051387,0.06993081269444447,0.06930786869419055
M2_E_Credibility_S9_R9,pcb2,0.9131553878814194,0.4194018988130858,0.4157229593754057,0.0873651323210161,0.06822762053161435
M2_E_Credibility_S9_R9,pcb3,0.9359163115945358,0.504748214127023,0.5016020851002033,0.12602995527125413,0.089612764793336
M2_E_Credibility_S9_R9,pcb4,0.953498403552166,0.48797911975505515,0.4810827013313546,0.11585536930501515,0.09545006730842782
M2_E_Credibility_S9_R9,pipe_fryum,0.9532108612204279,0.602877128939079,0.5957047520792034,0.0570536025750162,0.08622777806404024
M3_E_Credibility_S9_R9_S16_R16,candle,0.9569000152651221,0.6487455923771566,0.6473196715458976,0.052171495361296664,0.05642390233433169
M3_E_Credibility_S9_R9_S16_R16,capsules,0.943774541706171,0.663552869969649,0.6613559507127224,0.10966788944474937,0.061592424144228594
M3_E_Credibility_S9_R9_S16_R16,cashew,0.9564225304536813,0.622412832511842,0.6165362292167117,0.07862071696093388,0.08307323393190685
M3_E_Credibility_S9_R9_S16_R16,chewinggum,0.9739748706078422,0.8559155280555184,0.854145528824107,0.08312753611284268,0.07193708271313491
M3_E_Credibility_S9_R9_S16_R16,fryum,0.944160853032623,0.46138416456807796,0.4424123359399425,0.0793920767463786,0.07107920924252646
M3_E_Credibility_S9_R9_S16_R16,macaroni1,0.9492310704601905,0.551849449563528,0.5507813658131421,0.05367215505947104,0.03934747700292687
M3_E_Credibility_S9_R9_S16_R16,macaroni2,0.9543629035155123,0.4321903994888395,0.4310183554877258,0.05916824560141058,0.026929329213232624
M3_E_Credibility_S9_R9_S16_R16,pcb1,0.9120202513949968,0.38340718451113176,0.37801650948191545,0.06986336995757698,0.06896302279381213
M3_E_Credibility_S9_R9_S16_R16,pcb2,0.9130796959147724,0.41939157848298025,0.4157125736508916,0.08732674116586042,0.06821078807739336
M3_E_Credibility_S9_R9_S16_R16,pcb3,0.9359373548009284,0.5047757592253357,0.5016298051810922,0.1260697474027145,0.08951609403069122
M3_E_Credibility_S9_R9_S16_R16,pcb4,0.9535099890848743,0.4879971739863872,0.4811009987354525,0.11597205153683747,0.09539051597453123
M3_E_Credibility_S9_R9_S16_R16,pipe_fryum,0.9532298720347716,0.6030056180051067,0.5958355617670614,0.057077886738960665,0.08614358666684223
