lineage,method,epoch,target,pixel_auroc,pixel_ap,image_auroc,image_ap,evaluator_sha256,evaluator_git_sha,checkpoint_sha256,config_sha256,selection_rule,comparability,source
C2,P,18,ALL_MEDICAL_MACRO,0.8849673502064087,0.32938851138195085,0.6840452398666014,0.7096873564169832,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,042174cdc63d9cb635566a1dae5b774056045383,C2_E18_SHA_IN_FINAL_MATRIX,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,max current P pixel AP among frozen candidates,same evaluator implementation hash; historical selection provenance remains separate,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/research_artifacts/cir_rmt_v2/final_extension_anchor_e20_20260831/FINAL_MEDICAL_MATRIX.csv
C_OLD,C_OLD_0,14,Brain,0.9328744662518912,0.2836919737495881,0.7877634654471545,0.9321822137178211,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,042174cdc63d9cb635566a1dae5b774056045383,C_OLD_E14_SHA_IN_FINAL_MATRIX,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,max current old-CIR pixel AP among frozen candidates,SAME_EVALUATOR_SOURCE_HASH; legacy bridge bypass recorded where applicable,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/research_artifacts/cir_rmt_v2/final_extension_anchor_e20_20260831/FINAL_MEDICAL_MATRIX.csv
C_OLD,C_OLD_0,14,Liver,0.964626195473647,0.08406371060088826,0.6034522900069118,0.5159042189116466,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,042174cdc63d9cb635566a1dae5b774056045383,C_OLD_E14_SHA_IN_FINAL_MATRIX,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,max current old-CIR pixel AP among frozen candidates,SAME_EVALUATOR_SOURCE_HASH; legacy bridge bypass recorded where applicable,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/research_artifacts/cir_rmt_v2/final_extension_anchor_e20_20260831/FINAL_MEDICAL_MATRIX.csv
C_OLD,C_OLD_0,14,Retina,0.869586090897863,0.27840692134288214,0.7452082421755158,0.7282015910701547,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,042174cdc63d9cb635566a1dae5b774056045383,C_OLD_E14_SHA_IN_FINAL_MATRIX,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,max current old-CIR pixel AP among frozen candidates,SAME_EVALUATOR_SOURCE_HASH; legacy bridge bypass recorded where applicable,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/research_artifacts/cir_rmt_v2/final_extension_anchor_e20_20260831/FINAL_MEDICAL_MATRIX.csv
C_OLD,C_OLD_0,14,Colon_clinicDB,0.8153801727630375,0.4005615645963548,,,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,042174cdc63d9cb635566a1dae5b774056045383,C_OLD_E14_SHA_IN_FINAL_MATRIX,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,max current old-CIR pixel AP among frozen candidates,SAME_EVALUATOR_SOURCE_HASH; legacy bridge bypass recorded where applicable,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/research_artifacts/cir_rmt_v2/final_extension_anchor_e20_20260831/FINAL_MEDICAL_MATRIX.csv
C_OLD,C_OLD_0,14,Colon_colonDB,0.8123232186117018,0.314789050431088,,,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,042174cdc63d9cb635566a1dae5b774056045383,C_OLD_E14_SHA_IN_FINAL_MATRIX,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,max current old-CIR pixel AP among frozen candidates,SAME_EVALUATOR_SOURCE_HASH; legacy bridge bypass recorded where applicable,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/research_artifacts/cir_rmt_v2/final_extension_anchor_e20_20260831/FINAL_MEDICAL_MATRIX.csv
C_OLD,C_OLD_0,14,Colon_Kvasir,0.8148606308442269,0.49939028193576723,,,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,042174cdc63d9cb635566a1dae5b774056045383,C_OLD_E14_SHA_IN_FINAL_MATRIX,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,max current old-CIR pixel AP among frozen candidates,SAME_EVALUATOR_SOURCE_HASH; legacy bridge bypass recorded where applicable,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/research_artifacts/cir_rmt_v2/final_extension_anchor_e20_20260831/FINAL_MEDICAL_MATRIX.csv
C_OLD,C_OLD_0,14,ALL_MEDICAL_MACRO,0.8682751291403945,0.3101505837760947,0.7121413325431941,0.7254293412332075,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,042174cdc63d9cb635566a1dae5b774056045383,C_OLD_E14_SHA_IN_FINAL_MATRIX,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,max current old-CIR pixel AP among frozen candidates,same evaluator implementation hash; historical selection provenance remains separate,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/research_artifacts/cir_rmt_v2/final_extension_anchor_e20_20260831/FINAL_MEDICAL_MATRIX.csv
A0,A0,12,Brain,0.9377691931832263,0.29202271160764554,0.8054197154471545,0.9460910506719351,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,1564a0c9f32a7e93fb333ca8b0950a2fb2c73cc2,A0_E12_SHA_IN_FINAL_MATRIX,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,max current A0 pixel AP among frozen candidates,SAME_EVALUATOR_SOURCE_HASH; legacy bridge bypass recorded where applicable,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/research_artifacts/cir_rmt_v2/final_extension_anchor_e20_20260831/FINAL_MEDICAL_MATRIX.csv
A0,A0,12,Liver,0.9517330883399017,0.03822270569783547,0.5960820691913129,0.491763033442829,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,1564a0c9f32a7e93fb333ca8b0950a2fb2c73cc2,A0_E12_SHA_IN_FINAL_MATRIX,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,max current A0 pixel AP among frozen candidates,SAME_EVALUATOR_SOURCE_HASH; legacy bridge bypass recorded where applicable,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/research_artifacts/cir_rmt_v2/final_extension_anchor_e20_20260831/FINAL_MEDICAL_MATRIX.csv
