class,outer_fold,family,config_id,matched_win,b1_matched_win,delta_vs_b1,aligned_minus_shifted,C_AP_delta,R_pos_delta,R_neg_delta,pixel_auroc,pixel_ap
screw,FOLD_3,CSRC,csrc_spearman_average_tie_adjacent_max,0.5745098039215686,0.5535947712418301,0.020915032679738488,0.0725490196078431,-0.009355805008235827,-0.03886139577740147,-0.014266800521316455,0.5119853053235318,0.0029136122184918734
transistor,FOLD_3,CSRC,csrc_spearman_average_tie_adjacent_max,0.48816413009466436,0.47885226557286814,0.00931186452179622,-0.00032044877909015446,-0.008153830597488303,0.012163340734361842,-0.012664075069395531,0.49827072322846594,0.048388483430498015
wood,FOLD_4,CSRC,csrc_spearman_average_tie_adjacent_max,0.49701492537313435,0.6733032948465221,-0.17628836947338772,-0.01862855533652491,-0.034251121129263803,0.0013047296827129913,-0.03690144350280153,0.45780255575194984,0.03487479247179538
toothbrush,FOLD_4,CSRC,csrc_spearman_average_tie_adjacent_max,0.4610535794687078,0.7442593426384512,-0.2832057631697434,0.028365601080594327,-0.018863804872871356,-0.03462609596948418,-0.012019722097768014,0.4840654019865427,0.014821902208593552
zipper,FOLD_4,CSRC,csrc_spearman_average_tie_adjacent_max,0.49179859576323426,0.5514260370153203,-0.05962744125208608,-0.014455820666636643,-0.07058380912346836,-0.01736212051007419,-0.06569083961971124,0.4767736189013152,0.019559142147484054
carpet,FOLD_0,ASR,asr_energy_95_mean,0.6549276549276549,0.8438828438828438,-0.18895518895518892,0.12070512070512074,-0.04673812679908251,-0.030877588399001198,-0.062105530227404435,0.7694745347121414,0.11300678665393973
bottle,FOLD_0,ASR,asr_energy_95_mean,0.5291744631177794,0.5238099325356634,0.005364530582115945,0.016436921703603335,-0.010750457646669393,0.01143294070354537,-0.03895182518502231,0.7493581734108068,0.21216354232732074
cable,FOLD_0,ASR,asr_energy_95_mean,0.42867948412929985,0.3202644892242637,0.10841499490503614,-0.06687869497102383,-0.001313911128426569,0.008628223973427895,-0.008524388169274606,0.6334916703561819,0.05093911810662899
grid,FOLD_1,ASR,asr_energy_95_median,0.7544392897136458,0.8395456726923692,-0.08510638297872342,0.24540073588225886,-0.021903810986914674,-0.0495806236482305,-0.03046496433771247,0.8803837064997311,0.16949338865952948
capsule,FOLD_1,ASR,asr_energy_95_median,0.6857353950076521,0.7256319594701567,-0.03989656446250456,0.2349992084014988,-0.010852007203463875,0.009653491584172003,-0.01514521778321119,0.7928441918837672,0.03639339616551437
