scope,method_group,method,epoch,target,n_images,elapsed_seconds,images_per_second,peak_allocated_vram_bytes,peak_reserved_vram_bytes,peak_inference_rss_mib,peak_metric_rss_mib,rss_after_teardown_mib,rss_final_mib,spool_bytes_before_metric,checkpoint_sha256,evaluator_git_sha,telemetry_status
source,P,P,10,VisA_SOURCE,2162,370.1841983557679,5.840335729085324,3624653312,5930745856,3532.172,3930.891,3518.301,3519.395,2900582587,31ca8344c646693d0ee51941d39f28aa07b6a102c49d1efdc5e3cdf2ec8bcc50,042174cdc63d9cb635566a1dae5b774056045383,COMPLETE
source,P,P,12,VisA_SOURCE,2162,370.3465530369431,5.83777540865713,3623449088,5851054080,3815.117,4119.02,3794.465,3707.523,2900582587,6a531e91ce77d84d1baf4493183de2f09a0e4124f996986f862c2ea3b32d9bac,042174cdc63d9cb635566a1dae5b774056045383,COMPLETE
source,P,P,14,VisA_SOURCE,2162,369.62523887399584,5.849167677472964,3623449088,5851054080,5111.793,5507.371,5095.953,5095.875,2900582587,3eb6e2fe12f96b84745baf0f8a013f88c7f3a739283493a2ba5e31a35ad2f6c2,042174cdc63d9cb635566a1dae5b774056045383,COMPLETE
source,P,P,16,VisA_SOURCE,2162,369.1553040477447,5.856613669894277,3623449088,5851054080,5105.258,5507.023,5095.605,5095.527,2900582587,7be7d0be6b2dbac57c48a2aedd264a04fcb1e6724240f8ab1fc1af561264f3bb,042174cdc63d9cb635566a1dae5b774056045383,COMPLETE
source,P,P,18,VisA_SOURCE,2162,369.54282098123804,5.850472197671961,3623449088,5851054080,5120.211,5507.105,5095.648,5095.609,2900582587,562cdd488c6cc1ae5e7e51f5ed2768f4a9ebfe838a8bfd78bb914601d095283d,042174cdc63d9cb635566a1dae5b774056045383,COMPLETE
source,P,P,20,VisA_SOURCE,2162,369.118406470865,5.857199104945338,3623449088,5851054080,5119.598,5507.113,5095.672,5095.617,2900582587,c394eb6bdc2a2456495fe4e94ee7648a54608e7de9a356aa36ae9627bcd6d4fd,042174cdc63d9cb635566a1dae5b774056045383,COMPLETE
medical,CIR,C05,10,Brain,3715,554.2149337287992,6.703175562241176,3623449088,5855248384,3739.062,11320.211,3715.047,3714.168,9968236894,e4a2bfaef8f44a64dba87999c90f19accf7863eeba2e99eb587ef8cc65601722,042174cdc63d9cb635566a1dae5b774056045383,COMPLETE
medical,CIR,C05,10,Colon_Kvasir,1000,152.039428062737,6.577241263939533,3623449088,5855248384,3754.539,5777.664,3730.512,3730.496,2683240294,e4a2bfaef8f44a64dba87999c90f19accf7863eeba2e99eb587ef8cc65601722,042174cdc63d9cb635566a1dae5b774056045383,COMPLETE
medical,CIR,C05,10,Colon_clinicDB,612,91.59839863004163,6.681339511969172,3623449088,5855248384,3744.375,4983.297,3730.461,3730.434,1642143174,e4a2bfaef8f44a64dba87999c90f19accf7863eeba2e99eb587ef8cc65601722,042174cdc63d9cb635566a1dae5b774056045383,COMPLETE
medical,CIR,C05,10,Colon_colonDB,380,57.999921585898846,6.551732995659549,3623449088,5855248384,3755.082,4508.355,3730.461,3730.434,1019631494,e4a2bfaef8f44a64dba87999c90f19accf7863eeba2e99eb587ef8cc65601722,042174cdc63d9cb635566a1dae5b774056045383,COMPLETE
