target_kind,target,epoch,n_images,target_count,image_metric_support,parent_checkpoint_sha256,cir_checkpoint_sha256,parent_config_sha256,cir_config_sha256,evaluator_git_sha,evaluator_sha256,parent_pixel_auroc,c0_pixel_auroc,c05_pixel_auroc,train_effect_pixel_auroc,rmt_inference_effect_pixel_auroc,total_cir_effect_pixel_auroc,parent_pixel_ap,c0_pixel_ap,c05_pixel_ap,train_effect_pixel_ap,rmt_inference_effect_pixel_ap,total_cir_effect_pixel_ap,parent_image_auroc,c0_image_auroc,c05_image_auroc,train_effect_image_auroc,rmt_inference_effect_image_auroc,total_cir_effect_image_auroc,parent_image_ap,c0_image_ap,c05_image_ap,train_effect_image_ap,rmt_inference_effect_image_ap,total_cir_effect_image_ap
target,Colon_colonDB,12,380,1,0,6a531e91ce77d84d1baf4493183de2f09a0e4124f996986f862c2ea3b32d9bac,32ea4b7083a6727fe217e22dec33b622900d2ea6f0e5193fe795d342fd81abfb,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.8255413526137173,0.8114314870138133,0.8113421876552669,-0.014109865599904015,-8.929935854640192e-05,-0.014199164958450416,0.27352580130574883,0.29778734900917503,0.2977478096635459,0.0242615477034262,-3.9539345629113765e-05,0.024222008357797087,,,,,,,,,,,,
target,Colon_Kvasir,12,1000,1,0,6a531e91ce77d84d1baf4493183de2f09a0e4124f996986f862c2ea3b32d9bac,32ea4b7083a6727fe217e22dec33b622900d2ea6f0e5193fe795d342fd81abfb,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.8478697965083609,0.8079861647181491,0.8079080174224353,-0.039883631790211815,-7.814729571375967e-05,-0.039961779085925575,0.5306139762707818,0.47682418034279167,0.47678715476166944,-0.0537897959279901,-3.7025581122229756e-05,-0.05382682150911233,,,,,,,,,,,,
target,Brain,14,3715,1,1,3eb6e2fe12f96b84745baf0f8a013f88c7f3a739283493a2ba5e31a35ad2f6c2,c78444c94bd669bae68b02d462b584df9c603a28a21834be76ea341fd867e15c,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.9200918243375679,0.9328744662518912,0.9328502320023387,0.012782641914323323,-2.423424955244613e-05,0.012758407664770877,0.26965247920985946,0.2836919737495881,0.28372121262978334,0.014039494539728636,2.9238880195237016e-05,0.014068733419923873,0.7401435467479675,0.7877634654471545,0.7877766768292683,0.047619918699187025,1.3211382113853531e-05,0.04763313008130088,0.9200850733640894,0.9321822137178211,0.9321852373783227,0.012097140353731661,3.0236605016442653e-06,0.012100164014233306
target,Liver,14,1493,1,1,3eb6e2fe12f96b84745baf0f8a013f88c7f3a739283493a2ba5e31a35ad2f6c2,c78444c94bd669bae68b02d462b584df9c603a28a21834be76ea341fd867e15c,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.9475544715174292,0.964626195473647,0.9645957461465103,0.01707172395621781,-3.044932713669457e-05,0.017041274629081116,0.040162958169862276,0.08406371060088826,0.0840410575651748,0.04390075243102598,-2.2653035713457448e-05,0.04387809939531252,0.6403907017352396,0.6034522900069118,0.6034431954600021,-0.03693841172832779,-9.094546909671486e-06,-0.03694750627523746,0.5139758495920072,0.5159042189116466,0.5159185394141497,0.001928369319639467,1.432050250305128e-05,0.0019426898221425182
target,Retina,14,1805,1,1,3eb6e2fe12f96b84745baf0f8a013f88c7f3a739283493a2ba5e31a35ad2f6c2,c78444c94bd669bae68b02d462b584df9c603a28a21834be76ea341fd867e15c,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.9071612078354148,0.869586090897863,0.8695552307397597,-0.03757511693755178,-3.086015810327414e-05,-0.03760597709565505,0.3680437474718761,0.27840692134288214,0.27824021107304747,-0.08963682612899398,-0.00016671026983466897,-0.08980353639882865,0.653387801700942,0.7452082421755158,0.7452057274771037,0.09182044047457383,-2.5146984121704463e-06,0.09181792577616166,0.6805090934692453,0.7282015910701547,0.728179000697414,0.047692497600909434,-2.259037274066067e-05,0.04766990722816877
target,Colon_clinicDB,14,612,1,0,3eb6e2fe12f96b84745baf0f8a013f88c7f3a739283493a2ba5e31a35ad2f6c2,c78444c94bd669bae68b02d462b584df9c603a28a21834be76ea341fd867e15c,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.8539984839978226,0.8153801727630375,0.815259217538771,-0.0386183112347851,-0.00012095522426658345,-0.03873926645905168,0.44866773258901466,0.4005615645963548,0.4006069225974794,-0.048106167992659876,4.535800112459576e-05,-0.04806080999153528,,,,,,,,,,,,
target,Colon_colonDB,14,380,1,0,3eb6e2fe12f96b84745baf0f8a013f88c7f3a739283493a2ba5e31a35ad2f6c2,c78444c94bd669bae68b02d462b584df9c603a28a21834be76ea341fd867e15c,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.8207809308990199,0.8123232186117018,0.8122235455542574,-0.008457712287318175,-9.967305744440491e-05,-0.00855738534476258,0.27535700232295757,0.314789050431088,0.31474521610771405,0.039432048108130446,-4.3834323373959094e-05,0.03938821378475649,,,,,,,,,,,,
target,Colon_Kvasir,14,1000,1,0,3eb6e2fe12f96b84745baf0f8a013f88c7f3a739283493a2ba5e31a35ad2f6c2,c78444c94bd669bae68b02d462b584df9c603a28a21834be76ea341fd867e15c,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.8439890187406086,0.8148606308442269,0.8148083585306317,-0.029128387896381724,-5.2272313595169706e-05,-0.029180660209976894,0.537966227487028,0.49939028193576723,0.4994688304895053,-0.038575945551260815,7.854855373806702e-05,-0.03849739699752275,,,,,,,,,,,,
target,Brain,16,3715,1,1,7be7d0be6b2dbac57c48a2aedd264a04fcb1e6724240f8ab1fc1af561264f3bb,dfacf3c857c47832ac0a771443320d2c26b727e066824ecd58976093ec6b56a0,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.9132872683270515,0.9315204673634176,0.9314953780876649,0.01823319903636611,-2.508927575273212e-05,0.018208109760613378,0.22522074234410602,0.2657641351940519,0.26581054537439874,0.040543392849945875,4.64101803468453e-05,0.04058980303029272,0.7227002032520325,0.7792688008130081,0.7792876016260163,0.05656859756097554,1.88008130082018e-05,0.056587398373983744,0.9128585686430409,0.9290688966131796,0.9290823991937669,0.01621032797013866,1.3502580587299029e-05,0.01622383055072596
target,Liver,16,1493,1,1,7be7d0be6b2dbac57c48a2aedd264a04fcb1e6724240f8ab1fc1af561264f3bb,dfacf3c857c47832ac0a771443320d2c26b727e066824ecd58976093ec6b56a0,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,0.9460918390647318,0.963883448000006,0.9638322024728821,0.017791608935274206,-5.124552712387764e-05,0.017740363408150328,0.03924083019251135,0.07540646257066688,0.07542121268212067,0.03616563237815553,1.4750111453784576e-05,0.036180382489609315,0.6327949361562807,0.5857306558987231,0.5857524828113063,-0.0470642802575576,2.182691258323377e-05,-0.047042453344974366,0.5034712658879801,0.4965568750795262,0.49659321302035975,-0.006914390808453852,3.63379408335196e-05,-0.006878052867620332
