epoch,batch,parameter_group,pre_projection_cls_grad_norm,pre_projection_seg_grad_norm,pre_projection_cosine,post_projection_cls_grad_norm,post_projection_seg_grad_norm,post_projection_cosine,final_combined_grad_norm,projection_applied,number_of_parameters,number_of_valid_gradient_tensors
2,2,m_i_w,0.0250084288418293,2.2487131445814157e-07,0.1347990781068802,0.0250084288418293,2.2487131445814157e-07,0.1347990781068802,0.025008458644151688,False,3,3
2,2,hard_text_adapter,0.20754851400852203,2.38092320614669e-06,-0.3393614590167999,0.19551719725131989,2.239629338873783e-06,0.28805220127105713,0.19551785290241241,True,15,15
2,2,soft_prompt,,,,,,,,False,0,0
3,0,shared_image_lora,0.06974658370018005,4.0638358768774197e-05,0.5916478037834167,0.06974658370018005,4.0638358768774197e-05,0.5916478037834167,0.06977063417434692,False,27,27
3,0,m_i_w,0.04419465735554695,1.7328824469586834e-05,0.2861829996109009,0.04419465735554695,1.7328824469586834e-05,0.2861829996109009,0.044199615716934204,False,3,3
3,0,hard_text_adapter,0.2733667194843292,0.017159458249807358,0.30084916949272156,0.2733667194843292,0.017159458249807358,0.30084916949272156,0.27900946140289307,False,15,15
3,0,soft_prompt,,,,,,,,False,0,0
3,1,shared_image_lora,0.0213560089468956,1.0424974789202679e-05,0.05970068275928497,0.0213560089468956,1.0424974789202679e-05,0.05970068275928497,0.021356632933020592,False,27,27
3,1,m_i_w,0.04365776851773262,1.2765999599650968e-05,0.43052440881729126,0.04365776851773262,1.2765999599650968e-05,0.43052440881729126,0.04366326704621315,False,3,3
3,1,hard_text_adapter,0.24293504655361176,0.00962568074464798,0.4352031350135803,0.24293504655361176,0.00962568074464798,0.4352031350135803,0.24727608263492584,False,15,15
3,1,soft_prompt,,,,,,,,False,0,0
3,2,shared_image_lora,0.15656152367591858,5.948094212726573e-07,0.27253222465515137,0.15656152367591858,5.948094212726573e-07,0.27253222465515137,0.1565617024898529,False,27,27
3,2,m_i_w,0.07203781604766846,2.414168420727947e-07,0.0018918687710538507,0.07203781604766846,2.414168420727947e-07,0.0018918687710538507,0.07203781604766846,False,3,3
3,2,hard_text_adapter,0.2755372226238251,2.686078460101271e-06,0.16390204429626465,0.2755372226238251,2.686078460101271e-06,0.16390204429626465,0.2755376398563385,False,15,15
3,2,soft_prompt,,,,,,,,False,0,0
4,0,shared_image_lora,0.055686913430690765,0.00011080496187787503,0.6521991491317749,0.055686913430690765,0.00011080496187787503,0.6521991491317749,0.0557592436671257,False,27,27
4,0,m_i_w,0.08647644519805908,0.00014729710528627038,0.30973029136657715,0.08647644519805908,0.00014729710528627038,0.30973029136657715,0.0865221843123436,False,3,3
4,0,hard_text_adapter,0.22528506815433502,0.007817802019417286,0.3378801941871643,0.22528506815433502,0.007817802019417286,0.3378801941871643,0.2280452996492386,False,15,15
4,0,soft_prompt,0.0812206044793129,0.00228013820014894,-0.054791904985904694,0.08109859377145767,0.002276713028550148,0.054791904985904694,0.08125514537096024,True,2,2
4,1,shared_image_lora,0.060481298714876175,0.015061196871101856,0.25433534383773804,0.060481298714876175,0.015061196871101856,0.25433534383773804,0.06594077497720718,False,27,27
4,1,m_i_w,0.09792307764291763,0.02915094792842865,-0.20732659101486206,0.09579537808895111,0.028517549857497215,0.20732663571834564,0.10546456277370453,True,3,3
