epoch,method,metric,value,checkpoint_sha256,source
16,PA,pearson_sample,0.7105084122252227,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,new_PA_checkpoint
16,PA,mae,0.001672293059527874,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,new_PA_checkpoint
16,PA,max_abs_change,0.9999962449073792,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,new_PA_checkpoint
16,PA,deployed_minus_raw_pixel_ap,-0.09540290009836633,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,new_PA_checkpoint
16,PA,normal_raw_p99,4.916170723845426e-07,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,new_PA_checkpoint
16,PA,normal_deployed_p99,2.1356527213356458e-07,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,new_PA_checkpoint
16,PA,normal_raw_p99.9,0.000122972356621176,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,new_PA_checkpoint
16,PA,normal_deployed_p99.9,5.5284246627707034e-05,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,new_PA_checkpoint
16,PA,anomaly_raw_p50,5.188697471680825e-09,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,new_PA_checkpoint
16,PA,anomaly_deployed_p50,6.012798259291685e-09,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,new_PA_checkpoint
16,PA,anomaly_raw_p90,1.955535935849184e-06,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,new_PA_checkpoint
16,PA,anomaly_deployed_p90,1.5520613487751689e-06,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,new_PA_checkpoint
18,PA,raw_pixel_auroc,0.9645307893792936,b167d424140f208e3b055f6e29bca37f39e94517c4c5a65a2d5711a92de5e18d,new_PA_checkpoint
18,PA,raw_pixel_ap,0.6008637213774578,b167d424140f208e3b055f6e29bca37f39e94517c4c5a65a2d5711a92de5e18d,new_PA_checkpoint
18,PA,deployed_pixel_auroc,0.9685566723752889,b167d424140f208e3b055f6e29bca37f39e94517c4c5a65a2d5711a92de5e18d,new_PA_checkpoint
18,PA,deployed_pixel_ap,0.5504762630031887,b167d424140f208e3b055f6e29bca37f39e94517c4c5a65a2d5711a92de5e18d,new_PA_checkpoint
18,PA,pearson_sample,0.6852712743024864,b167d424140f208e3b055f6e29bca37f39e94517c4c5a65a2d5711a92de5e18d,new_PA_checkpoint
18,PA,mae,0.0011721695773303509,b167d424140f208e3b055f6e29bca37f39e94517c4c5a65a2d5711a92de5e18d,new_PA_checkpoint
18,PA,max_abs_change,0.9999902248382568,b167d424140f208e3b055f6e29bca37f39e94517c4c5a65a2d5711a92de5e18d,new_PA_checkpoint
18,PA,deployed_minus_raw_pixel_ap,-0.050387458374269056,b167d424140f208e3b055f6e29bca37f39e94517c4c5a65a2d5711a92de5e18d,new_PA_checkpoint
18,PA,normal_raw_p99,2.7030340632450134e-08,b167d424140f208e3b055f6e29bca37f39e94517c4c5a65a2d5711a92de5e18d,new_PA_checkpoint
18,PA,normal_deployed_p99,1.6226165300281536e-08,b167d424140f208e3b055f6e29bca37f39e94517c4c5a65a2d5711a92de5e18d,new_PA_checkpoint
18,PA,normal_raw_p99.9,1.9452716060186503e-07,b167d424140f208e3b055f6e29bca37f39e94517c4c5a65a2d5711a92de5e18d,new_PA_checkpoint
18,PA,normal_deployed_p99.9,4.313762502761165e-08,b167d424140f208e3b055f6e29bca37f39e94517c4c5a65a2d5711a92de5e18d,new_PA_checkpoint
18,PA,anomaly_raw_p50,3.3027478529845666e-09,b167d424140f208e3b055f6e29bca37f39e94517c4c5a65a2d5711a92de5e18d,new_PA_checkpoint
18,PA,anomaly_deployed_p50,3.477296450782319e-09,b167d424140f208e3b055f6e29bca37f39e94517c4c5a65a2d5711a92de5e18d,new_PA_checkpoint
18,PA,anomaly_raw_p90,5.80940060501689e-08,b167d424140f208e3b055f6e29bca37f39e94517c4c5a65a2d5711a92de5e18d,new_PA_checkpoint
18,PA,anomaly_deployed_p90,7.076968699948338e-08,b167d424140f208e3b055f6e29bca37f39e94517c4c5a65a2d5711a92de5e18d,new_PA_checkpoint
20,PA,raw_pixel_auroc,0.9696959623618442,22c44a28f6dd88c59525fa9699249acb2744f4c23c7d69f8bd882311d52837ee,new_PA_checkpoint
20,PA,raw_pixel_ap,0.6129896470337037,22c44a28f6dd88c59525fa9699249acb2744f4c23c7d69f8bd882311d52837ee,new_PA_checkpoint
20,PA,deployed_pixel_auroc,0.9741179344698371,22c44a28f6dd88c59525fa9699249acb2744f4c23c7d69f8bd882311d52837ee,new_PA_checkpoint
20,PA,deployed_pixel_ap,0.5476727072159776,22c44a28f6dd88c59525fa9699249acb2744f4c23c7d69f8bd882311d52837ee,new_PA_checkpoint
