target,epoch,method,n_images,pixel_auroc,pixel_ap,image_auroc,image_ap,checkpoint_sha256,parent_config_sha256,evaluator_git_sha,evaluator_sha256,source,status
Colon_Kvasir,16,PA,1000,0.8521426709503978,0.5261269467058441,,,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,0987f67e92020e74cdae65e51b8a8676e08f3c84,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_PA_native_medical_cell,COMPLETE
Brain,18,PA,3715,0.9345799439933593,0.31622689516900787,0.8284791666666667,0.949003295371091,b167d424140f208e3b055f6e29bca37f39e94517c4c5a65a2d5711a92de5e18d,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,0987f67e92020e74cdae65e51b8a8676e08f3c84,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_PA_native_medical_cell,COMPLETE
Liver,18,PA,1493,0.9668003564476703,0.057367333291807515,0.6380861435483284,0.490640318965872,b167d424140f208e3b055f6e29bca37f39e94517c4c5a65a2d5711a92de5e18d,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,0987f67e92020e74cdae65e51b8a8676e08f3c84,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_PA_native_medical_cell,COMPLETE
Retina,18,PA,1805,0.9125949383022892,0.3082469367800528,0.7581941447762169,0.7518044159529063,b167d424140f208e3b055f6e29bca37f39e94517c4c5a65a2d5711a92de5e18d,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,0987f67e92020e74cdae65e51b8a8676e08f3c84,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_PA_native_medical_cell,COMPLETE
Colon_clinicDB,18,PA,612,0.8608523602023552,0.43312940098696356,,,b167d424140f208e3b055f6e29bca37f39e94517c4c5a65a2d5711a92de5e18d,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,0987f67e92020e74cdae65e51b8a8676e08f3c84,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_PA_native_medical_cell,COMPLETE
Colon_colonDB,18,PA,380,0.829205530212202,0.2953582892067137,,,b167d424140f208e3b055f6e29bca37f39e94517c4c5a65a2d5711a92de5e18d,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,0987f67e92020e74cdae65e51b8a8676e08f3c84,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_PA_native_medical_cell,COMPLETE
Colon_Kvasir,18,PA,1000,0.8478778737819531,0.5104897005946727,,,b167d424140f208e3b055f6e29bca37f39e94517c4c5a65a2d5711a92de5e18d,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,0987f67e92020e74cdae65e51b8a8676e08f3c84,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_PA_native_medical_cell,COMPLETE
Brain,20,PA,3715,0.9374588386619926,0.3040113690379261,0.8166422764227642,0.9437267560675118,22c44a28f6dd88c59525fa9699249acb2744f4c23c7d69f8bd882311d52837ee,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,0987f67e92020e74cdae65e51b8a8676e08f3c84,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_PA_native_medical_cell,COMPLETE
Liver,20,PA,1493,0.9675944184925024,0.06007437361438642,0.6146895121685038,0.47467257681620123,22c44a28f6dd88c59525fa9699249acb2744f4c23c7d69f8bd882311d52837ee,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,0987f67e92020e74cdae65e51b8a8676e08f3c84,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_PA_native_medical_cell,COMPLETE
Retina,20,PA,1805,0.9141962436638257,0.3151454896310984,0.7509807323807656,0.7382675171648747,22c44a28f6dd88c59525fa9699249acb2744f4c23c7d69f8bd882311d52837ee,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,0987f67e92020e74cdae65e51b8a8676e08f3c84,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_PA_native_medical_cell,COMPLETE
Colon_clinicDB,20,PA,612,0.8588917536386173,0.4174375044251459,,,22c44a28f6dd88c59525fa9699249acb2744f4c23c7d69f8bd882311d52837ee,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,0987f67e92020e74cdae65e51b8a8676e08f3c84,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_PA_native_medical_cell,COMPLETE
Colon_colonDB,20,PA,380,0.8298920390880868,0.28890841059256983,,,22c44a28f6dd88c59525fa9699249acb2744f4c23c7d69f8bd882311d52837ee,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,0987f67e92020e74cdae65e51b8a8676e08f3c84,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_PA_native_medical_cell,COMPLETE
Colon_Kvasir,20,PA,1000,0.8502673671257855,0.5107654387582374,,,22c44a28f6dd88c59525fa9699249acb2744f4c23c7d69f8bd882311d52837ee,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,0987f67e92020e74cdae65e51b8a8676e08f3c84,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_PA_native_medical_cell,COMPLETE
