epoch,method,cohort,stat,value,n,checkpoint_sha256,source
14,PA,anomaly,p99,0.0014419465069659102,12879552,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,new_PA_checkpoint
14,PA,anomaly,p99.5,0.007147462342399971,12879552,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,new_PA_checkpoint
14,PA,anomaly,p99.9,0.44283010426157093,12879552,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,new_PA_checkpoint
14,PA,all,top_precision_0.001,0.6546837998369502,25759,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,new_PA_checkpoint
14,PA,all,top_precision_0.005,0.22228174788036895,128796,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,new_PA_checkpoint
14,PA,all,top_precision_0.01,0.12866520957642152,257591,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,new_PA_checkpoint
14,PA,all,top_precision_0.02,0.06744994972650442,515182,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,new_PA_checkpoint
14,PA,all,top_precision_0.05,0.02789538454371465,1287955,1a69943c1ec3fb7513000f2f4f274ffb4071ee4ff4c81394a0b597a3241be4b6,new_PA_checkpoint
16,PA,normal,p10,2.6258577534576943e-09,12879552,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,new_PA_checkpoint
16,PA,normal,p50,2.973228552249907e-09,12879552,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,new_PA_checkpoint
16,PA,normal,p90,6.860684020892904e-09,12879552,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,new_PA_checkpoint
16,PA,normal,p95,1.4127886416304136e-08,12879552,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,new_PA_checkpoint
16,PA,normal,p99,2.135652768231489e-07,12879552,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,new_PA_checkpoint
16,PA,normal,p99.5,1.0608618845253625e-06,12879552,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,new_PA_checkpoint
16,PA,normal,p99.9,5.5284247468079084e-05,12879552,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,new_PA_checkpoint
16,PA,anomaly,p10,2.9477904561758805e-09,12879552,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,new_PA_checkpoint
16,PA,anomaly,p50,6.01279803724708e-09,12879552,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,new_PA_checkpoint
16,PA,anomaly,p90,1.5520613487751689e-06,12879552,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,new_PA_checkpoint
16,PA,anomaly,p95,1.1061658733524374e-05,12879552,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,new_PA_checkpoint
16,PA,anomaly,p99,0.004582202276214973,12879552,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,new_PA_checkpoint
16,PA,anomaly,p99.5,0.030539137562736223,12879552,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,new_PA_checkpoint
16,PA,anomaly,p99.9,0.6618967484235665,12879552,1e275f2f6a4b7d348af7a81398ca497b5b8c394d8e7d1d92978425e58634ff62,new_PA_checkpoint
